source,backend,logical_error_probability,ci95_low,ci95_high,shots
paper,full_state,0.387,,,
paper,clifford,0.181,,,
independent_proxy,full_state_proxy,0.9052,0.8967420233231349,0.9131813906219143,5000
independent_proxy,pauli_twirl_proxy,0.17979,0.1781091716396372,0.18148011440827821,200000
