register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
5,2,2;4,0;1;3,2,0.008896387807463286,-0.003696861537112308
5,2,3;4,0;1;2,2,0.013896945191872335,-0.00485376335459698
5,2,0;1;2,3;4,3,0.013896945191872392,-0.0048537633545970025
5,2,0;1;3,2;4,3,0.008896387807463211,-0.00369686153711232
5,2,0;1;4,2;3,3,0.013055035359005629,-0.004662134335576588
5,2,0;2;3,1;4,3,0.012976458360887174,-0.004221314118037819
5,2,0;2;4,1;3,3,0.010808083114459383,-0.003527450171073316
5,2,0;3;4,1;2,3,0.012169949010383962,-0.004128717550104774
5,2,1;2;3,0;4,3,0.013295702977868811,-0.004637974077723328
5,2,1;2;4,0;3,3,0.012141614970580025,-0.004360950462170049
5,2,1;3;4,0;2,3,0.012112532058972936,-0.004572824003407197
5,2,2;3;4,0;1,3,0.011608753298769552,-0.003906334632932531
5,2,0;1;2;3,4,4,0.0083609078838433,-0.002622442834656631
5,2,0;1;2;4,3,4,0.007359613976315212,-0.0027582384109863145
5,2,0;1;3;4,2,4,0.00836495318710675,-0.003026502430134099
5,2,0;2;3;4,1,4,0.006708219261909714,-0.002337147793388544
5,2,1;2;3;4,0,4,0.008770909751103865,-0.002755748196698106
6,0,,0;1;2;3;4;5,0,0.0,0.0023437499999999834
6,0,0,1;2;3;4;5,1,0.008880697520105006,-0.0015839732716901433
6,0,1,0;2;3;4;5,1,0.008158676829581487,-0.0016023861097290474
6,0,2,0;1;3;4;5,1,0.007317046597364964,-0.0013706001948161114
6,0,3,0;1;2;4;5,1,0.008501966386713224,-0.0015136440417376522
6,0,4,0;1;2;3;5,1,0.007952771267424462,-0.0015877580616670108
6,0,5,0;1;2;3;4,1,0.0076428813900781475,-0.0015299768458215653
6,0,0;1,2;3;4;5,2,0.012997885506292496,-0.002424494644955066
6,0,0;2,1;3;4;5,2,0.0127603782766421,-0.0023321413693306856
6,0,0;3,1;2;4;5,2,0.013222827489416167,-0.0025267793805289554
6,0,0;4,1;2;3;5,2,0.013294943442552306,-0.0024206863527693285
6,0,0;5,1;2;3;4,2,0.013208630005555074,-0.002670053544432668
6,0,1;2,0;3;4;5,2,0.013152421558683612,-0.002567515262771807
6,0,1;3,0;2;4;5,2,0.012634063966344072,-0.002549566212478009
6,0,1;4,0;2;3;5,2,0.012997285284429044,-0.0024719934412229263
6,0,1;5,0;2;3;4,2,0.013109261394091366,-0.0022817216988773423
6,0,2;3,0;1;4;5,2,0.012698979082536577,-0.002340964027533379
6,0,2;4,0;1;3;5,2,0.011962545536644617,-0.0023883553126231296
6,0,2;5,0;1;3;4,2,0.013171159458472718,-0.0023962724604437804
6,0,3;4,0;1;2;5,2,0.012801698798350351,-0.0024750725044434614
6,0,3;5,0;1;2;4,2,0.013850536410522725,-0.0026235560261207947
6,0,4;5,0;1;2;3,2,0.012872125589586818,-0.0028536762562258416
6,0,0;1;2,3;4;5,3,0.013760437864725217,-0.0029177105981610055
6,0,0;1;3,2;4;5,3,0.013480187579929732,-0.0027725801080969747
6,0,0;1;4,2;3;5,3,0.014349578920107907,-0.0026512724701840172
6,0,0;1;5,2;3;4,3,0.013212240382483604,-0.0029252017117047946
6,0,0;2;3,1;4;5,3,0.013264328770579927,-0.0023049039861365948
6,0,0;2;4,1;3;5,3,0.01403627290693671,-0.0025640167077189083
6,0,0;2;5,1;3;4,3,0.013810885023707146,-0.002807221062056845
6,0,0;3;4,1;2;5,3,0.0145705903139821,-0.002777102885967214
6,0,0;3;5,1;2;4,3,0.014291615603198577,-0.002622421029733765
6,0,0;4;5,1;2;3,3,0.013352192733547256,-0.0023941297916332295
6,0,1;2;3,0;4;5,3,0.013352192733547213,-0.0023941297916332013
6,0,1;2;4,0;3;5,3,0.014291615603198391,-0.0026224210297337647
6,0,1;2;5,0;3;4,3,0.01457059031398209,-0.0027771028859672185
6,0,1;3;4,0;2;5,3,0.013810885023707089,-0.0028072210620568336
6,0,1;3;5,0;2;4,3,0.014036272906936702,-0.0025640167077189196
6,0,1;4;5,0;2;3,3,0.013264328770579972,-0.00230490398613658
6,0,2;3;4,0;1;5,3,0.013212240382483595,-0.002925201711704783
6,0,2;3;5,0;1;4,3,0.014349578920107917,-0.002651272470184004
6,0,2;4;5,0;1;3,3,0.01348018757992969,-0.0027725801080969886
6,0,3;4;5,0;1;2,3,0.013760437864725271,-0.002917710598160999
6,0,0;1;2;3,4;5,4,0.012872125589586829,-0.0028536762562258264
6,0,0;1;2;4,3;5,4,0.013850536410522701,-0.0026235560261208
6,0,0;1;2;5,3;4,4,0.012801698798350433,-0.002475072504443474
6,0,0;1;3;4,2;5,4,0.01317115945847276,-0.00239627246044378
6,0,0;1;3;5,2;4,4,0.011962545536644576,-0.002388355312623153
6,0,0;1;4;5,2;3,4,0.01269897908253663,-0.0023409640275333992
6,0,0;2;3;4,1;5,4,0.013109261394091238,-0.002281721698877358
6,0,0;2;3;5,1;4,4,0.012997285284429083,-0.002471993441222948
6,0,0;2;4;5,1;3,4,0.012634063966343905,-0.002549566212478007
6,0,0;3;4;5,1;2,4,0.01315242155868368,-0.002567515262771822
6,0,1;2;3;4,0;5,4,0.013208630005555066,-0.0026700535444326755
6,0,1;2;3;5,0;4,4,0.013294943442552347,-0.0024206863527693303
6,0,1;2;4;5,0;3,4,0.013222827489416162,-0.0025267793805289506
6,0,1;3;4;5,0;2,4,0.012760378276642127,-0.0023321413693307013
6,0,2;3;4;5,0;1,4,0.012997885506292484,-0.002424494644955104
6,0,0;1;2;3;4,5,5,0.007642881390078094,-0.001529976845821551
6,0,0;1;2;3;5,4,5,0.007952771267424469,-0.0015877580616670127
6,0,0;1;2;4;5,3,5,0.008501966386713381,-0.0015136440417376842
6,0,0;1;3;4;5,2,5,0.007317046597364968,-0.0013706001948161082
6,0,0;2;3;4;5,1,5,0.008158676829581442,-0.001602386109729048
6,0,1;2;3;4;5,0,5,0.008880697520104905,-0.0015839732716901643
6,1,,0;1;2;3;4;5,0,0.0,0.002343749999999987
6,1,0,1;2;3;4;5,1,0.008217284094283878,-0.0016980819641042777
6,1,1,0;2;3;4;5,1,0.008078371694416922,-0.0014436483375547238
6,1,2,0;1;3;4;5,1,0.007522116624163255,-0.00157418926960973
