register_qubits,dimension,phase_radians,positive_eigenvalues,negative_eigenvalues,normalized_trace_real,normalized_trace_imag,explicit_matrix_formula_error
2,4,0.2,4,0,0.9800665778412416,0.19866933079506122,0.0
2,4,1.1,4,0,0.4535961214255773,0.8912073600614354,0.0
3,8,0.2,6,2,0.4900332889206208,0.09933466539753061,0.0
3,8,1.1,6,2,0.22679806071278866,0.4456036800307177,0.0
4,16,0.2,12,4,0.4900332889206208,0.09933466539753061,5.551115123125783e-17
4,16,1.1,12,4,0.22679806071278866,0.4456036800307177,2.7755575615628914e-17
5,32,0.2,21,11,0.306270805575388,0.06208416587345663,5.551115123125783e-17
5,32,1.1,21,11,0.14174878794549292,0.27850230001919857,2.7755575615628914e-17
6,64,0.2,40,24,0.2450166444603104,0.049667332698765304,1.3877787807814457e-17
6,64,1.1,40,24,0.11339903035639433,0.22280184001535885,6.938893903907228e-17
7,128,0.2,75,53,0.1684489430664634,0.034146291230401145,1.1295700899707568e-16
7,128,1.1,75,53,0.0779618333700211,0.1531762650105592,1.6653345369377348e-16
8,256,0.2,144,112,0.1225083222301552,0.024833666349382652,8.441528768080324e-17
8,256,1.1,144,112,0.056699515178197164,0.11140092000767943,1.1295700899707568e-16
9,512,0.2,278,234,0.0842244715332317,0.017073145615200572,not_run
9,512,1.1,278,234,0.03898091668501055,0.0765881325052796,not_run
10,1024,0.2,544,480,0.0612541611150776,0.012416833174691326,not_run
10,1024,1.1,544,480,0.028349757589098582,0.055700460003839714,not_run
