expected_x,expected_y,kind,left_commutator_norm,measured_x,measured_y,operator_pair_gram_determinant,operator_schmidt_rank,sample
-0.012544606637300497,0.008080453314912651,haar,1.4139319734858946,-0.012544606637300504,0.00808045331491266,,3,0
,,phase_times_involution,2.1591737477284387e-19,,,9.672143450268311e-15,2,0
0.06759500886842888,0.05643771788045277,haar,1.4047938243945108,0.06759500886842887,0.05643771788045277,,3,1
,,phase_times_involution,6.2204066455765e-18,,,-1.797650949863139e-15,2,1
-0.0122335806959997,0.0010930415168655698,haar,1.4140019005648157,-0.012233580695999705,0.0010930415168655672,,3,2
,,phase_times_involution,2.0584244357977476e-18,,,3.870236582045251e-15,2,2
-0.02035460354346569,-0.07122527888973855,haar,1.408218204623516,-0.02035460354346569,-0.07122527888973856,,3,3
,,phase_times_involution,4.142312492771317e-18,,,-2.2188973171274122e-15,2,3
-0.08587702673025091,-0.04185449261296546,haar,1.4040064547702802,-0.08587702673025088,-0.04185449261296546,,3,4
,,phase_times_involution,1.6694019785025678e-17,,,6.125962027535418e-16,2,4
-0.020064163538758197,0.10037987066751468,haar,1.4022553748032718,-0.020064163538758187,0.10037987066751466,,3,5
,,phase_times_involution,3.705105042011789e-18,,,3.895173359101859e-15,2,5
-0.02010321005572202,-0.10878158799887228,haar,1.4009968808212052,-0.02010321005572202,-0.10878158799887229,,3,6
,,phase_times_involution,1.4627143399046784e-17,,,-3.763752178846372e-15,2,6
-0.10232667059480059,-0.05676869763193504,haar,1.3989255853099096,-0.10232667059480058,-0.05676869763193505,,3,7
,,phase_times_involution,8.812708513741334e-18,,,-7.826984148137759e-16,2,7
-0.06401491576212101,0.03932607284478213,haar,1.4072043464326873,-0.06401491576212101,0.03932607284478214,,3,8
,,phase_times_involution,5.429807725355506e-18,,,3.2458520106185623e-17,2,8
-0.08290403224521788,0.04277219559815251,haar,1.4025569750188371,-0.08290403224521788,0.04277219559815251,,3,9
,,phase_times_involution,1.0328080894029694e-17,,,-2.8401262071373324e-15,2,9
0.14472776386658148,-0.08326831952758292,haar,1.3820676892978445,0.1447277638665815,-0.08326831952758293,,3,10
,,phase_times_involution,6.944639779283257e-18,,,-1.0265158546105129e-15,2,10
-0.04218176666786141,-0.03221091528959622,haar,1.410221394095512,-0.042181766667861414,-0.03221091528959623,,3,11
,,phase_times_involution,3.0890685036344597e-18,,,4.565435403355228e-18,2,11
0.09024280561325242,0.09557656754267138,haar,1.3934129478485295,0.09024280561325243,0.0955765675426714,,3,12
,,phase_times_involution,2.0313795034406596e-20,,,5.124789310024172e-17,2,12
0.027734468666523394,0.11429056342241148,haar,1.3998463669217855,0.02773446866652339,0.11429056342241149,,3,13
