geometric_discord,kind,minimum_eigenvalue,t1,t2,t3
0.5,bell_vertex,0.0,-1,-1,-1
0.5,bell_vertex,0.0,-1,1,1
0.5,bell_vertex,0.0,1,-1,1
0.5,bell_vertex,0.0,1,1,-1
0.0,separable_vertex,0.0,1,0,0
0.0,separable_vertex,0.0,-1,0,0
0.0,separable_vertex,0.0,0,1,0
0.0,separable_vertex,0.0,0,-1,0
0.0,separable_vertex,0.0,0,0,1
0.0,separable_vertex,0.0,0,0,-1
0.05555555555555554,separable_facet_center,0.16666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
0.05555555555555554,separable_facet_center,2.7755575615628914e-17,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
0.05555555555555554,separable_facet_center,2.7755575615628914e-17,-0.3333333333333333,0.3333333333333333,-0.3333333333333333
0.05555555555555554,separable_facet_center,0.16666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333
0.05555555555555554,separable_facet_center,2.7755575615628914e-17,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
0.05555555555555554,separable_facet_center,0.16666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333
0.05555555555555554,separable_facet_center,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333
0.05555555555555554,separable_facet_center,2.7755575615628914e-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.0625,separable_true_maximum,0.0,0.0,-0.5,-0.5
0.0625,separable_true_maximum,0.0,0.0,-0.5,0.5
0.0625,separable_true_maximum,0.0,0.0,0.5,-0.5
0.0625,separable_true_maximum,0.0,0.0,0.5,0.5
0.0625,separable_true_maximum,0.0,-0.5,0.0,-0.5
0.0625,separable_true_maximum,0.0,-0.5,0.0,0.5
0.0625,separable_true_maximum,0.0,0.5,0.0,-0.5
0.0625,separable_true_maximum,0.0,0.5,0.0,0.5
0.0625,separable_true_maximum,0.0,-0.5,-0.5,0.0
0.0625,separable_true_maximum,0.0,-0.5,0.5,0.0
0.0625,separable_true_maximum,0.0,0.5,-0.5,0.0
0.0625,separable_true_maximum,0.0,0.5,0.5,0.0
0.0,zero_discord_axis_1,0.0,-1.0,0.0,0.0
0.0,zero_discord_axis_1,0.0050000000000000044,-0.98,0.0,0.0
0.0,zero_discord_axis_1,0.010000000000000009,-0.96,0.0,0.0
0.0,zero_discord_axis_1,0.01499999999999996,-0.94,0.0,0.0
0.0,zero_discord_axis_1,0.020000000000000004,-0.92,0.0,0.0
0.0,zero_discord_axis_1,0.02499999999999998,-0.9,0.0,0.0
0.0,zero_discord_axis_1,0.03,-0.88,0.0,0.0
0.0,zero_discord_axis_1,0.03500000000000002,-0.86,0.0,0.0
0.0,zero_discord_axis_1,0.04000000000000002,-0.84,0.0,0.0
0.0,zero_discord_axis_1,0.04499999999999997,-0.8200000000000001,0.0,0.0
0.0,zero_discord_axis_1,0.04999999999999999,-0.8,0.0,0.0
0.0,zero_discord_axis_1,0.05500000000000001,-0.78,0.0,0.0
0.0,zero_discord_axis_1,0.06000000000000001,-0.76,0.0,0.0
0.0,zero_discord_axis_1,0.065,-0.74,0.0,0.0
0.0,zero_discord_axis_1,0.06999999999999994,-0.72,0.0,0.0
0.0,zero_discord_axis_1,0.07500000000000001,-0.7,0.0,0.0
0.0,zero_discord_axis_1,0.08,-0.6799999999999999,0.0,0.0
0.0,zero_discord_axis_1,0.08500000000000003,-0.6599999999999999,0.0,0.0
0.0,zero_discord_axis_1,0.09,-0.64,0.0,0.0
0.0,zero_discord_axis_1,0.095,-0.62,0.0,0.0
0.0,zero_discord_axis_1,0.1,-0.6,0.0,0.0
0.0,zero_discord_axis_1,0.10499999999999998,-0.5800000000000001,0.0,0.0
0.0,zero_discord_axis_1,0.10999999999999999,-0.56,0.0,0.0
0.0,zero_discord_axis_1,0.11499999999999999,-0.54,0.0,0.0
0.0,zero_discord_axis_1,0.12000000000000001,-0.52,0.0,0.0
0.0,zero_discord_axis_1,0.125,-0.5,0.0,0.0
0.0,zero_discord_axis_1,0.13,-0.48,0.0,0.0
0.0,zero_discord_axis_1,0.135,-0.45999999999999996,0.0,0.0
