expected_rank,expected_rank_min,family,max_left_commutator_norm,observed_rank,perturbation,zero_discord
3,,bell_diagonal_small_components,1.4142135623730945,3,1e-08,False
,2,near_global_phase_dqc1,0.8109982249088885,2,1e-08,False
