absolute_error,closed_form_discord,direct_dephasing_distance,max_left_commutator_norm,operator_schmidt_rank,sample
5.551115123125783e-17,0.04085257802863096,0.040852578028630904,1.3244637515519433,4,0
1.3877787807814457e-17,0.04043183194893167,0.04043183194893166,1.4047112600528504,4,1
9.71445146547012e-17,0.009885110690372068,0.009885110690372165,1.279565732477333,4,2
8.326672684688674e-17,0.06558787510427219,0.06558787510427211,1.3998119328617442,4,3
1.3877787807814457e-17,0.05408657391096776,0.054086573910967745,1.3297992784715624,4,4
4.163336342344337e-17,0.0884382413903591,0.08843824139035907,1.3740851901877325,4,5
4.163336342344337e-17,0.07012737190736221,0.07012737190736217,1.4046207552067225,4,6
2.7755575615628914e-17,0.034171203932346544,0.03417120393234652,1.35105289240744,4,7
1.3877787807814457e-17,0.01026137060697968,0.010261370606979667,1.4066044280993144,4,8
1.3877787807814457e-17,0.07449711607751235,0.07449711607751236,1.3909666439464297,4,9
2.7755575615628914e-17,0.16465737517462717,0.16465737517462714,1.379919768134332,4,10
4.163336342344337e-17,0.04376396822035511,0.04376396822035507,1.3734432501542606,4,11
1.3877787807814457e-17,0.049733104537296804,0.04973310453729679,1.4069440137694402,4,12
1.3877787807814457e-17,0.038327372310825225,0.03832737231082524,1.3846254840537608,4,13
1.1102230246251565e-16,0.13841773485517073,0.13841773485517062,1.4055696812708267,4,14
2.7755575615628914e-17,0.023035199942706808,0.02303519994270678,1.3703456987443956,4,15
2.7755575615628914e-17,0.06531615180730857,0.06531615180730854,1.3131934548767943,4,16
4.163336342344337e-17,0.11391319788064175,0.1139131978806417,1.4129385189630344,4,17
6.938893903907228e-17,0.020044002141920092,0.020044002141920023,1.2332859645259888,4,18
0.0,0.07113018255036682,0.07113018255036682,1.312300661310859,4,19
5.551115123125783e-17,0.04033906374998686,0.0403390637499868,1.3813747978508344,4,20
8.326672684688674e-17,0.07630327296190909,0.076303272961909,1.344076276359695,4,21
1.0408340855860843e-17,0.013829576637665084,0.013829576637665073,1.4067930921779168,4,22
3.469446951953614e-18,0.016619886344246798,0.0166198863442468,1.3899778988472073,4,23
2.7755575615628914e-17,0.04096921252546204,0.04096921252546207,1.3075491209597778,4,24
5.551115123125783e-17,0.03053100749381138,0.030531007493811435,1.359665855297338,4,25
2.0816681711721685e-17,0.03190358308167979,0.03190358308167981,1.3962832329278034,4,26
2.7755575615628914e-17,0.0687065115001875,0.06870651150018747,1.4013765652443575,4,27
2.7755575615628914e-17,0.050432040316124305,0.05043204031612428,1.367699487634779,4,28
1.3877787807814457e-17,0.033470963171381415,0.0334709631713814,1.3497337450832274,4,29
2.7755575615628914e-17,0.03945683108742731,0.039456831087427285,1.2807754539768574,4,30
6.938893903907228e-18,0.021815938693593148,0.021815938693593155,1.4051634944981766,4,31
1.3877787807814457e-17,0.02335106236055226,0.023351062360552274,1.3784673441635722,4,32
1.5612511283791264e-16,0.01002191832239574,0.010021918322395896,1.3853895272763819,4,33
1.3877787807814457e-17,0.09194190344184948,0.09194190344184947,1.3917617788944463,4,34
2.7755575615628914e-17,0.056317613752949,0.05631761375294897,1.3844621921602127,4,35
0.0,0.05167020269841843,0.05167020269841843,1.4081656258226323,4,36
2.7755575615628914e-17,0.11144833648368108,0.11144833648368105,1.3282826902818359,4,37
5.551115123125783e-17,0.054598855725509904,0.05459885572550996,1.3238069700284838,4,38
2.7755575615628914e-17,0.06295436237102606,0.06295436237102603,1.36688891193318,4,39
1.3877787807814457e-17,0.11639052716147869,0.11639052716147867,1.3637289095570442,4,40
2.7755575615628914e-17,0.03729655063331064,0.03729655063331061,1.406877354727507,4,41
2.7755575615628914e-17,0.11917656873439644,0.11917656873439642,1.4003407262684255,4,42
6.938893903907228e-17,0.06406091008784556,0.0640609100878455,1.2737026864475958,4,43
4.163336342344337e-17,0.07954366695142766,0.07954366695142762,1.3984700496207059,4,44
4.163336342344337e-17,0.0684016544911898,0.06840165449118984,1.4057420358747619,4,45
0.0,0.08370120951930995,0.08370120951930995,1.3676489419560474,4,46
0.0,0.061339707752138345,0.061339707752138345,1.3567152571011936,4,47
6.938893903907228e-18,0.042841942567740265,0.04284194256774027,1.3291831989244283,4,48
2.7755575615628914e-17,0.018216220566534047,0.018216220566534075,1.4005364885781006,4,49
1.3877787807814457e-17,0.038920037773350874,0.03892003777335086,1.3539777150582168,4,50
1.3877787807814457e-16,0.07066559228168778,0.07066559228168792,1.3126110202840011,4,51
5.204170427930421e-17,0.015007943728721856,0.015007943728721908,1.3750920939510214,4,52
5.551115123125783e-17,0.164914281182863,0.16491428118286294,1.3999660131105591,4,53
1.3877787807814457e-17,0.09057152355040131,0.0905715235504013,1.3828054864309423,4,54
0.0,0.038485639461339,0.038485639461339,1.353886119570371,4,55
1.3877787807814457e-17,0.01911180436934251,0.019111804369342497,1.413715212216151,4,56
4.163336342344337e-17,0.04222228195407263,0.042222281954072585,1.3685480906430663,4,57
1.3877787807814457e-17,0.06656232902903841,0.06656232902903843,1.4056572413261843,4,58
5.551115123125783e-17,0.13541144421663287,0.13541144421663281,1.3246162626814963,4,59
0.0,0.04979283829080722,0.04979283829080722,1.380948298303954,4,60
2.7755575615628914e-17,0.03784669546852887,0.03784669546852884,1.3337769611409311,4,61
1.3877787807814457e-17,0.07408272620551282,0.0740827262055128,1.3785143465242768,4,62
1.3877787807814457e-17,0.06071700612319578,0.06071700612319576,1.3818389547312988,4,63
