beta_eps,fermion,boson,ex2,ex3,ex4
3.48000,0.02988668,0.03178668,0.05977336,0.05803877,0.08626568
3.50000,0.02931223,0.03113766,0.05862446,0.05695498,0.08466841
3.52000,0.02874850,0.03050229,0.05749699,0.05589023,0.08309873
3.54000,0.02819529,0.02988025,0.05639058,0.05484423,0.08155622
3.56000,0.02765242,0.02927127,0.05530484,0.05381668,0.08004050
3.58000,0.02711972,0.02867503,0.05423943,0.05280731,0.07855116
3.60000,0.02659699,0.02809128,0.05319399,0.05181584,0.07708781
3.62000,0.02608408,0.02751973,0.05216815,0.05084198,0.07565006
3.64000,0.02558079,0.02696011,0.05116158,0.04988547,0.07423751
3.66000,0.02508696,0.02641216,0.05017392,0.04894602,0.07284980
3.68000,0.02460243,0.02587564,0.04920486,0.04802337,0.07148653
3.70000,0.02412702,0.02535027,0.04825404,0.04711724,0.07014734
3.72000,0.02366058,0.02483584,0.04732116,0.04622739,0.06883184
3.74000,0.02320294,0.02433209,0.04640588,0.04535354,0.06753968
3.76000,0.02275394,0.02383880,0.04550789,0.04449544,0.06627048
3.78000,0.02231344,0.02335573,0.04462688,0.04365283,0.06502389
3.80000,0.02188127,0.02288267,0.04376254,0.04282547,0.06379955
3.82000,0.02145729,0.02241941,0.04291458,0.04201309,0.06259711
3.84000,0.02104135,0.02196572,0.04208269,0.04121547,0.06141621
3.86000,0.02063330,0.02152141,0.04126659,0.04043234,0.06025652
3.88000,0.02023300,0.02108627,0.04046599,0.03966348,0.05911769
3.90000,0.01984031,0.02066011,0.03968061,0.03890865,0.05799938
3.92000,0.01945508,0.02024273,0.03891017,0.03816761,0.05690127
3.94000,0.01907720,0.01983395,0.03815439,0.03744014,0.05582302
3.96000,0.01870651,0.01943358,0.03741302,0.03672600,0.05476431
3.98000,0.01834289,0.01904144,0.03668578,0.03602498,0.05372482
4.00000,0.01798621,0.01865736,0.03597242,0.03533684,0.05270423
