artifact_state,parameter_match,length,dimension,beta,boundary,time,observable,display_offset,mixed_exact,representative,lower_68,upper_68,lower_95,upper_95
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.0,sigma_x,0.0,-1.3097162243624894e-16,-0.042535656209951166,-0.07816887833262953,0.10966485358548718,-0.14306016720608347,0.12865668686965517
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.0,sigma_y,0.4,2.0816681711721685e-17,-0.05959221253551984,-0.05515049928450935,0.143342133927293,-0.058913634472799424,0.23673930139629534
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.0,sigma_z,-0.2,-0.5704712896913182,-0.634192328602387,-0.7127020383531016,-0.4395202970503479,-0.822530240395783,-0.405749866641214
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.0,sigma_x_sigma_x,1.0,-0.35796951059306104,-0.26654577405797797,-0.38867932488275314,-0.15928358425196026,-0.6224473273231782,-0.15023330438034033
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.125,sigma_x,0.0,-0.08473880970409112,-0.11564779047026794,-0.1568896795856581,-0.0035334064993808043,-0.20326686573704467,0.018161545722507024
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.125,sigma_y,0.4,0.08965635600454999,0.00836400919676996,0.009397842024548707,0.24130561985407867,0.0004680105264154497,0.4315952688120345
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.125,sigma_z,-0.2,-0.5459882993513233,-0.6221827560354697,-0.6669312268665947,-0.4341431861401482,-0.7913244893276994,-0.38025452427324924
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.125,sigma_x_sigma_x,1.0,-0.3509506430834013,-0.2536892857589172,-0.37463075656630107,-0.17487257330493522,-0.6107306824655793,-0.14465723257128843
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.25,sigma_x,0.0,-0.17683841002777384,-0.19567920674520098,-0.27135015561628767,-0.1220648797983177,-0.2760063785009962,-0.04893568110823242
scaled_down_reproduction,paper_exact_reconstructed_metadata,6,64,0.5,periodic,0.25,sigma_y,0.4,0.08690680719850426,0.008921185205158494,0.009919362514306841,0.25447228485862794,0.007549150076163976,0.44138895440508863
