bond_dimension,paper_lambda,reproduced_lambda,lambda_abs_error,lambda_print_tolerance,paper_m,reproduced_m,m_abs_error,m_print_tolerance,nu,ground_probability_residual,stationarity_relative_residual
50,0.9918,0.9917807049910429,1.929500895714309e-05,5e-05,0.02885,0.028807892239155024,4.210776084497686e-05,5e-06,-11.238182559767257,6.661338147750939e-16,0.0
100,0.9983,0.9983351127055317,3.5112705531692434e-05,5e-05,0.1074,0.10728310634822429,0.00011689365177570965,5e-05,-11.232828232432052,7.771561172376096e-16,0.0
150,0.9997,0.9996769272692129,2.3072730787165874e-05,5e-05,0.3254,0.3250344842989801,0.00036551570101994724,5e-05,-11.23039475672697,3.3306690738754696e-16,0.0
