level,energy,stable_schmidt_lower_bound,probability,log_probability,effective_b_to_next
1,0.0,4.0000000000000000000,0.590448282177036284851634818298478461967357757358794872978836,-0.526873230284431654688068433852798458576598243900703886487207,
2,1.0000000000000000000,9.0000000000000000000,0.219346696563090133297967028651897032483785876905481919026971,-1.51710171160143990140072962750379201918094971983628920127723,0.7399026110222288687236433961974792996203
3,2.0000000000000000000,16.000000000000000000,0.104663553834007398822770877777816025078577807208915351284587,-2.25700432262366877012437302370127131880125926720817008121599,0.3697965561802722040149687986217245233795
4,4.0000000000000000000,25.000000000000000000,0.0499567606357010909450050988994085757760412263128510894182312,-2.99659743498421317815431062094472036556027662794209639455105,0.2456514016854860464708179730589536738927
5,7.0000000000000000000,36.000000000000000000,0.0239077730658499150652873037228345823161506307839261567084411,-3.73355164004067131756676454012158138723838254384604829188402,0.1791470549024726514083876349090850748772
6,11.000000000000000000,49.000000000000000000,0.0116769337243151770173348726495653223780867014300306105829330,-4.45013985965056192320031507975792168674737380201808135980147,
