bin_index,excitation_energy,state_count,s_min,s_1
0,0.0,1,0.901838011179688,2.627054012032868
6,0.6000000000000001,3,1.3592341164514066,2.481751811226197
17,1.7000000000000002,5,1.5082763916226454,2.705399456358544
23,2.3000000000000003,12,1.8016113686057018,3.365417602215991
24,2.4000000000000004,12,1.9627942372057727,3.2794924507837937
27,2.7,18,1.9230898727897814,3.4332918942480934
30,3.0,3,1.6003117743400583,3.913962524991002
34,3.4000000000000004,21,2.266555874057626,3.6761839200389788
35,3.5,21,2.2598968855220267,3.655639053789695
36,3.6,20,2.3832690247607493,3.599945598352773
38,3.8000000000000003,72,2.372703196953112,3.903600343813087
39,3.9000000000000004,9,2.229878248009472,4.058440830229901
41,4.1000000000000005,6,3.1841464603073053,4.542844932535722
43,4.3,8,3.1603081996772016,4.529023090034105
45,4.5,36,2.695893174773465,4.277287272604368
46,4.6000000000000005,53,2.9709946234855056,4.665663248996428
47,4.7,36,2.821803550584208,4.29641432554405
48,4.800000000000001,43,2.8708995129883736,4.510611866477393
49,4.9,42,2.801320655498759,4.459713208227262
50,5.0,139,2.982641815326063,4.55468813547047
51,5.1000000000000005,100,2.9578547657419114,4.337196863292271
52,5.2,58,2.8880312860072177,4.5863821606731685
53,5.300000000000001,46,2.775228768167097,4.238729813616561
54,5.4,83,2.9159593612795405,4.333686747285887
55,5.5,52,3.162795136534916,4.857228914865005
56,5.6000000000000005,108,3.3527362899219844,4.898623945972604
57,5.7,55,3.496107460789354,5.016015997988733
58,5.800000000000001,87,3.257157035172946,5.180497151962701
59,5.9,209,3.387796907164971,5.044252777935608
60,6.0,94,3.4533072709244013,5.160746988975188
61,6.1000000000000005,54,3.772555727016274,5.332152773942278
62,6.2,64,3.2386414752995822,4.9923876189942815
63,6.300000000000001,293,3.3683814140324673,5.024761716288005
64,6.4,110,3.473020661036582,5.249518529443587
65,6.5,192,3.5138161012457836,5.131748031719355
66,6.6000000000000005,94,3.3951716379935246,5.088654413784082
67,6.7,250,3.649262526436942,5.247911892491869
68,6.800000000000001,205,3.6877803359057784,5.3793270807086735
69,6.9,230,3.8714797669407854,5.573547838970879
70,7.0,258,3.677094270304921,5.301149220277143
71,7.1000000000000005,377,4.022799429653768,5.655165161585479
72,7.2,235,3.549873033159784,5.189823704755847
73,7.300000000000001,372,3.961738636815084,5.62924971462549
74,7.4,281,3.886565002738856,5.403463722727192
75,7.5,447,3.836550215176934,5.428020367351249
76,7.6000000000000005,477,3.7925698001174903,5.383708560697424
77,7.7,276,4.256489383140031,5.914494414730356
78,7.800000000000001,355,4.164492437967965,5.808591064520992
79,7.9,376,4.169245943887417,5.8027592364051355
80,8.0,356,4.003714734455108,5.701679475703574
81,8.1,381,4.257692298086353,5.904847702228293
82,8.200000000000001,545,4.2872402873249555,5.929805922340739
83,8.3,598,4.166202284725888,5.763668008161381
84,8.4,379,4.18548358501578,5.784577251669858
85,8.5,355,4.422901398307729,6.052379775722365
86,8.6,825,4.139402670802769,5.7829935364153195
87,8.700000000000001,593,4.403693736991761,6.115575842477116
88,8.8,597,4.209383318181139,5.730603617451366
89,8.9,404,4.4504472322368995,6.099043371010769
90,9.0,1060,4.366484446218296,5.962451777854888
91,9.1,449,4.267105936081086,6.0068562805821815
92,9.200000000000001,622,4.4972263852288235,6.153664596591904
93,9.3,795,4.36958411073524,5.978634980410913
94,9.4,737,4.396511375618647,6.0102839493153395
95,9.5,965,4.494085412192987,6.13153680461272
96,9.600000000000001,856,4.499419060672865,6.147398113923749
97,9.700000000000001,814,4.446521478169839,6.052167892104272
98,9.8,964,4.336817059288752,5.921909850374108
99,9.9,1040,4.621037425157346,6.228370866495177
100,10.0,664,4.623796953069251,6.20775139395594
101,10.100000000000001,816,4.502831571907685,6.040146130338569
102,10.200000000000001,826,4.611955337516653,6.250794216864405
103,10.3,845,4.592418004266744,6.229933211403873
104,10.4,1019,4.5348379487398995,6.158519022571174
105,10.5,868,4.587833841274849,6.1935298910118535
106,10.600000000000001,1114,4.497373091918037,6.109003196272481
107,10.700000000000001,922,4.502209811097799,6.159885202973242
108,10.8,915,4.4138391518495474,5.996871660257592
109,10.9,1159,4.642235299625734,6.247707573118966
110,11.0,1056,4.547003158447553,6.15137525968203
111,11.100000000000001,1083,4.523976234988326,6.114840766865789
112,11.200000000000001,1218,4.619502281540573,6.1650054427916245
113,11.3,879,4.675574055973179,6.273902293581924
114,11.4,1114,4.52294311335984,6.0684159109396765
115,11.5,1073,4.512547218927099,6.090107301647282
116,11.600000000000001,778,4.536949121697921,6.16010608657117
117,11.700000000000001,1235,4.480992914678098,6.000167033755622
118,11.8,868,4.661712989733635,6.2437579817211235
119,11.9,1019,4.359139388260606,5.8931291266739905
120,12.0,1119,4.614375274320623,6.1997385109709375
121,12.100000000000001,1078,4.455464301410555,5.99396928130162
122,12.200000000000001,1162,4.4253448107387605,5.9459742814280725
123,12.3,1210,4.473520154290035,6.007704428192552
124,12.4,867,4.3481933805362765,5.943042635674893
125,12.5,678,4.404597694414873,6.055671241753707
126,12.600000000000001,783,4.369381395376867,5.934407889006308
127,12.700000000000001,1115,4.3649174985075305,5.834565942120685
128,12.8,1080,4.388075911857058,5.845436547101465
129,12.9,824,4.301767195425617,5.821481008536117
130,13.0,823,4.438401563605401,5.955699776094113
131,13.100000000000001,934,4.3886679039901155,5.879501910432694
132,13.200000000000001,1039,4.049878257787623,5.519737713308388
133,13.3,636,4.373033392233891,5.976643091483691
134,13.4,680,4.132954811666212,5.56087692158893
135,13.5,510,4.135448683187043,5.655628685387762
136,13.600000000000001,966,4.224951729617515,5.656366129785898
137,13.700000000000001,687,4.232151475232314,5.757667256975541
138,13.8,610,3.970825521897578,5.373414064299584
139,13.9,732,4.171381544946792,5.563197331888445
140,14.0,502,4.224724860708441,5.6577709221150965
141,14.100000000000001,589,4.09804512153369,5.57666945672445
142,14.200000000000001,911,3.602183776242274,4.922316933704908
143,14.3,466,4.082300207592261,5.593866237461266
144,14.4,358,4.109217726641983,5.41071179012036
145,14.5,487,4.0198513005246586,5.445959230613996
146,14.600000000000001,661,3.6434515725218177,4.947733571997514
147,14.700000000000001,364,3.864498127844063,5.282796269542087
148,14.8,325,3.870045407708232,5.198007475284394
149,14.9,246,3.665659644160919,5.134297996150808
150,15.0,456,3.78529739040891,5.095275211051141
151,15.100000000000001,190,3.9712786585676634,5.215747883808433
152,15.200000000000001,663,3.366597476723088,4.585904748834141
153,15.3,224,3.8732148997128806,5.165206986860255
154,15.4,138,3.3680257579677932,4.635021435685654
155,15.5,147,3.705250884058051,5.019006265686942
156,15.600000000000001,260,3.4393215906515766,4.593503388925726
157,15.700000000000001,325,3.242662723867035,4.510947771814497
158,15.8,155,3.4417517435120932,4.712423270977259
159,15.9,15,2.7603239738585303,4.460150935261648
160,16.0,138,3.4368208759932513,4.602455597998642
161,16.1,118,3.330630923723845,4.559436103354922
162,16.2,404,2.6027281342689563,3.707161074910952
163,16.3,66,3.0641504888039264,4.282409943231885
