distance,atom_pL,hybrid_unboosted_pL,hybrid_boosted_pL,ion_pL,atom_round_ms,hybrid_round_ms,ion_qccd_round_ms,ion_next_round_ms
8.2,0.05473154197175983,4.9499227603500196e-05,7.499882970227303e-07,9.019801531907794e-09,2.0,2.0,102.49999999999999,32.8
8.3,0.05437414503539868,4.5569067775919666e-05,6.904404208472677e-07,7.561762549505802e-09,2.0,2.0,103.75000000000001,33.2
8.4,0.05401908190081837,4.1950956378550176e-05,6.356205511901541e-07,6.339413639294831e-09,2.0,2.0,105.0,33.6
8.5,0.05366633732829462,3.862011726307477e-05,5.851532918647693e-07,5.314655812976279e-09,2.0,2.0,106.25,34.0
8.6,0.053315896177618616,3.5553741467888623e-05,5.38693052543767e-07,4.455548733296486e-09,2.0,2.0,107.5,34.4
8.7,0.05296774340744706,3.2730831026607385e-05,4.959216822213241e-07,3.73531517625458e-09,2.0,2.0,108.74999999999999,34.8
8.8,0.05262186407465661,3.0132055177931267e-05,4.565462905747162e-07,3.1315064206771175e-09,2.0,2.0,110.00000000000001,35.2
8.9,0.05227824333370256,2.77396179922171e-05,4.202972423063197e-07,2.6253025514636498e-09,2.0,2.0,111.25,35.6
9.0,0.05193686643598155,2.5537136508289244e-05,3.869263107316552e-07,2.200925867886697e-09,2.0,2.0,112.5,36.0
9.1,0.0515977187291986,2.35095285459941e-05,3.562049779696076e-07,1.8451491136639311e-09,2.0,2.0,113.75,36.4
9.2,0.05126078565673822,2.1642909426258814e-05,3.279228700948305e-07,1.5468832009884204e-09,2.0,2.0,114.99999999999999,36.8
9.3,0.05092605275703961,1.9924496891412887e-05,3.018863165365589e-07,1.2968315784238557e-09,2.0,2.0,116.25000000000001,37.2
9.4,0.05059350566297596,1.8342523574684904e-05,2.779170238588622e-07,1.0872004697721866e-09,2.0,2.0,117.5,37.6
9.5,0.05026313010123778,1.6886156419481524e-05,2.5585085484062915e-07,9.114559524448419e-10,2.0,2.0,118.75,38.0
9.6,0.04993491189172027,1.554542249664768e-05,2.3553670449466183e-07,7.641203037938448e-10,2.0,2.0,120.0,38.4
9.7,0.04960883694691473,1.431114071171797e-05,2.1683546532906017e-07,6.406012677890016e-10,2.0,2.0,121.24999999999999,38.8
9.8,0.04928489127130385,1.3174858934503553e-05,1.9961907476520534e-07,5.370489205108077e-10,2.0,2.0,122.50000000000001,39.2
9.9,0.04896306096076109,1.2128796120489787e-05,1.837696381892392e-07,4.5023567314703437e-10,2.0,2.0,123.75,39.6
10.0,0.04864333220195381,1.1165789027702506e-05,1.6917862163185615e-07,3.7745567234611686e-10,2.0,2.0,125.0,40.0
10.100000000000001,0.04832569127175043,1.0279243164170432e-05,1.5574610854803685e-07,3.1644046237031745e-10,2.0,2.0,126.25000000000001,40.400000000000006
10.2,0.04801012453663142,9.46308763008092e-06,1.4338011560728667e-07,2.6528828035022926e-10,2.0,2.0,127.49999999999999,40.8
10.3,0.04769661845210411,8.711733545396409e-06,1.3199596280903649e-07,2.2240478086781774e-10,2.0,2.0,128.75,41.2
10.4,0.047385159562121366,8.02003577825224e-06,1.2151569360988245e-07,1.8645334233220095e-10,2.0,2.0,130.0,41.6
10.5,0.04707573449850405,7.383257712058415e-06,1.1186754109179416e-07,1.563134062640082e-10,2.0,2.0,131.25,42.0
10.600000000000001,0.0467683299803672,6.797038810037523e-06,1.0298543651572005e-07,1.31045550979308e-10,2.0,2.0,132.50000000000003,42.400000000000006
10.7,0.04646293281355005,6.257364755086708e-06,9.480855689525315e-08,1.0986221106631118e-10,2.0,2.0,133.75,42.8
10.8,0.046159529890049664,5.760539960486861e-06,8.728090849222518e-08,9.210313001991522e-11,2.0,2.0,135.0,43.2
10.9,0.045858108187458384,5.303162263217976e-06,8.035094338209055e-08,7.721478092540146e-11,2.0,2.0,136.25,43.6
11.0,0.04555865476840486,4.88209962658471e-06,7.39712064634047e-08,6.473311376137344e-11,2.0,2.0,137.5,44.0
11.100000000000001,0.04526115677999876,4.494468692616513e-06,6.80980104941896e-08,5.4269091578350754e-11,2.0,2.0,138.75000000000003,44.400000000000006
11.2,0.04496560145327914,4.13761503737301e-06,6.269113692989408e-08,4.5496564734953546e-11,2.0,2.0,140.0,44.8
11.3,0.04467197610266632,3.8090949939465826e-06,5.7713560514342164e-08,3.814210524776047e-11,2.0,2.0,141.25,45.2
11.4,0.04438026812541751,3.5066589186897615e-06,5.313119573772366e-08,3.197648440506431e-11,2.0,2.0,142.5,45.6
11.5,0.044090465001085766,3.2282357860773513e-06,4.8912663425414414e-08,2.6807528013083587e-11,2.0,2.0,143.75,46.0
11.600000000000001,0.04380255429098268,2.971919006712053e-06,4.502907585927353e-08,2.247412658217184e-11,2.0,2.0,145.00000000000003,46.400000000000006
11.7,0.043516523637644494,2.7359533713578482e-06,4.1453838959967397e-08,1.8841213758500047e-11,2.0,2.0,146.25,46.8
11.8,0.04323236076430162,2.5187230315962683e-06,3.8162470175701036e-08,1.5795556485611995e-11,2.0,2.0,147.5,47.2
11.9,0.04295005347435183,2.3187404347995185e-06,3.513243083029573e-08,1.3242225680795131e-11,2.0,2.0,148.75,47.6
12.0,0.04266958965083668,2.134636137649009e-06,3.234297178256074e-08,1.1101637421944615e-11,2.0,2.0,150.0,48.0
12.100000000000001,0.04239095725592143,1.9651494284443477e-06,2.9774991340065875e-08,9.307072422656396e-12,2.0,2.0,151.25000000000003,48.400000000000006
12.2,0.04211414433037844,1.8091196939860585e-06,2.741090445433422e-08,7.802596480889096e-12,2.0,2.0,152.5,48.8
12.3,0.041839138993073774,1.6654784719140196e-06,2.523452230172757e-08,6.541317084347582e-12,2.0,2.0,153.75,49.2
12.4,0.04156592944045734,1.5332421340776345e-06,2.3230941425418704e-08,5.4839218333000286e-12,2.0,2.0,155.0,49.6
12.5,0.04129450394605619,1.4115051508346972e-06,2.1386441679313593e-08,4.597453125412007e-12,2.0,2.0,156.25,50.0
12.600000000000001,0.04102485085997123,1.2994338901542325e-06,1.968839227506413e-08,3.854280911156118e-12,2.0,2.0,157.50000000000003,50.400000000000006
12.7,0.04075695860837724,1.1962609090606944e-06,1.81251652887984e-08,3.2312415019503294e-12,2.0,2.0,158.75,50.8
12.8,0.04049081569302602,1.1012796983283707e-06,1.6686056035278346e-08,2.708915588821036e-12,2.0,2.0,160.0,51.2
12.9,0.040226410690752966,1.013839844438731e-06,1.5361209764223196e-08,2.271022968394161e-12,2.0,2.0,161.25,51.6
13.0,0.03996373225298672,9.333425756706066e-07,1.4141554176827373e-08,1.903915110628631e-12,2.0,2.0,162.5,52.0
13.100000000000001,0.03970276910526207,8.592366618237454e-07,1.301873730035978e-08,1.5961497523044342e-12,2.0,2.0,163.75000000000003,52.400000000000006
13.2,0.03944351004673608,7.910146394977814e-07,1.198507029542093e-08,1.3381342569103986e-12,2.0,2.0,165.0,52.8
13.3,0.0391859439497073,7.282093370780232e-07,1.1033474804212473e-08,1.1218266249341314e-12,2.0,2.0,166.25,53.2
13.4,0.03893005975913816,6.703906756318664e-07,1.0157434479270702e-08,9.404848354430682e-13,2.0,2.0,167.5,53.6
13.5,0.0386758464921805,6.171627238089055e-07,9.350950360740994e-09,7.884567062671644e-13,2.0,2.0,168.75,54.0
13.600000000000001,0.038423293237704104,5.681609865773044e-07,8.608499796625823e-09,6.610037230050542e-13,2.0,2.0,170.00000000000003,54.400000000000006
13.7,0.038172389155828504,5.230499092301769e-07,7.924998624699649e-09,5.541533458382368e-13,2.0,2.0,171.25,54.8
13.8,0.03792312347745756,4.81520579569875e-07,7.295766357119317e-09,4.64575190753294e-13,2.0,2.0,172.5,55.2
13.9,0.0376754855038174,4.432886125352022e-07,6.716494129321246e-09,3.8947722590573923e-13,2.0,2.0,173.75,55.6
14.0,0.03742946460599708,4.0809220278584e-07,6.183215193724848e-09,3.265187477042534e-13,2.0,2.0,175.0,56.0
14.1,0.03718505022449248,3.7569033190847887e-07,5.6922777561890735e-09,2.7373742419577727e-13,2.0,2.0,176.25,56.4
14.200000000000001,0.036942231868753006,3.458611179679226e-07,5.240319969210948e-09,2.294881317908551e-13,2.0,2.0,177.5,56.800000000000004
14.3,0.03670099911673138,3.184002961012097e-07,4.82424691062439e-09,1.9239167895139949e-13,2.0,2.0,178.75,57.2
14.4,0.03646134161443626,2.931198197501361e-07,4.441209390153577e-09,1.6129181862647145e-13,2.0,2.0,180.0,57.6
14.5,0.03622324907548788,2.698465729536922e-07,4.0885844386923055e-09,1.352192095709414e-13,2.0,2.0,181.25,58.0
14.6,0.035986711280676514,2.4842118488242723e-07,3.763957346703443e-09,1.1336120326929797e-13,2.0,2.0,182.5,58.4
14.700000000000001,0.035751718077523885,2.2869693849689717e-07,3.4651051287408664e-09,9.503651476324469e-14,2.0,2.0,183.75,58.800000000000004
14.8,0.03551825937984738,2.1053876585689447e-07,3.1899813008620374e-09,7.967398790650108e-14,2.0,2.0,185.0,59.2
14.9,0.03528632516732716,1.9382232320152212e-07,2.936701866689729e-09,6.679479318806356e-14,2.0,2.0,186.25,59.6
15.0,0.03505590548507606,1.7843313946643952e-07,2.7035324161581746e-09,5.5997503253783264e-14,2.0,2.0,187.5,60.0
15.1,0.03482699044321234,1.6426583240748076e-07,2.4888762485981934e-09,4.694558095013042e-14,2.0,2.0,188.75,60.4
15.200000000000001,0.03459957021643515,1.5122338696281076e-07,2.291263438830466e-09,3.9356889909129125e-14,2.0,2.0,190.0,60.800000000000004
15.3,0.03437363504360289,1.3921649091197507e-07,2.1093407713935615e-09,3.299490073335681e-14,2.0,2.0,191.25,61.2
15.4,0.03414917522731418,1.281629232825629e-07,1.9418624739782257e-09,2.7661318689502093e-14,2.0,2.0,192.5,61.6
15.5,0.033926181133491655,1.1798699131640842e-07,1.7876816866122488e-09,2.318990312550484e-14,2.0,2.0,193.75,62.0
15.600000000000001,0.03370464319096851,1.086190121397788e-07,1.6457426081784666e-09,1.9441285970736888e-14,2.0,2.0,195.00000000000003,62.400000000000006
15.700000000000001,0.03348455189107762,9.999483558812179e-08,1.5150732664866938e-09,1.6298627818771568e-14,2.0,2.0,196.25,62.800000000000004
15.8,0.033265897787243474,9.205540491777023e-08,1.394778862390458e-09,1.3663976198626294e-14,2.0,2.0,197.5,63.2
15.9,0.033048671494576666,8.474635239643585e-08,1.2840356423702402e-09,1.1455212526639424e-14,2.0,2.0,198.75,63.6
16.0,0.03283286368947112,7.801762700317533e-08,1.1820852576238687e-09,9.603492579536867e-15,2.0,2.0,200.0,64.0
16.1,0.03261846510920393,7.182315168838558e-08,1.088229571036145e-09,8.051100711640482e-15,2.0,2.0,201.25000000000003,64.4
16.200000000000003,0.03240546655153772,6.612050784680864e-08,1.0018258764667976e-09,6.7496509350251285e-15,2.0,2.0,202.50000000000003,64.80000000000001
16.3,0.03219385887432577,6.087064484287834e-08,9.222824976193687e-10,5.65857879268822e-15,2.0,2.0,203.75,65.2
16.4,0.031983632995119526,5.603761259929082e-08,8.490547363528913e-10,4.7438770184256465e-15,2.0,2.0,204.99999999999997,65.6
16.5,0.031774779890778836,5.158831541761763e-08,7.816411426911763e-10,3.977035575615923e-15,2.0,2.0,206.25,66.0
16.6,0.03156729059708466,4.749228534516986e-08,7.195800809874221e-10,3.334153037332283e-15,2.0,2.0,207.50000000000003,66.4
16.700000000000003,0.03136115620835428,4.3721473536171465e-08,6.624465687298707e-10,2.7951916106836593e-15,2.0,2.0,208.75000000000003,66.80000000000001
16.8,0.031156367877059107,4.025005817852395e-08,6.09849366341272e-10,2.3433525854853258e-15,2.0,2.0,210.0,67.2
16.9,0.03095291681344488,3.7054267670879295e-08,5.614282980436257e-10,1.964552740825405e-15,2.0,2.0,211.24999999999997,67.6
17.0,0.03075079428515444,3.4112217839172264e-08,5.16851785442004e-10,1.646985389817155e-15,2.0,2.0,212.5,68.0
17.1,0.030549991616852925,3.1403762077900745e-08,4.7581457693789e-10,1.380752380886189e-15,2.0,2.0,213.75000000000003,68.4
17.200000000000003,0.03035050018985539,2.8910353389949123e-08,4.3803565742347154e-10,1.1575555855626215e-15,2.0,2.0,215.00000000000003,68.80000000000001
17.3,0.03015231144175692,2.6614917380230533e-08,4.032563239428869e-10,9.704382568634358e-16,2.0,2.0,216.25,69.2
17.4,0.029955416866065065,2.4501735333431146e-08,3.7123841414289615e-10,8.135681967500616e-16,2.0,2.0,217.49999999999997,69.6
17.5,0.02975980801183479,2.2556336575195734e-08,3.4176267538175356e-10,6.820559742795542e-16,2.0,2.0,218.75,70.0
17.6,0.029565476483305708,2.07653993796636e-08,3.1462726332823634e-10,5.71802528551085e-16,2.0,2.0,220.00000000000003,70.4
17.700000000000003,0.02937241393954177,1.9116659744787993e-08,2.8964635976951506e-10,4.793714064344579e-16,2.0,2.0,221.25000000000003,70.80000000000001
17.8,0.029180612094073216,1.7598827410750194e-08,2.666489001628817e-10,4.0188165290077337e-16,2.0,2.0,222.5,71.2
17.9,0.028990062714540934,1.6201508546377448e-08,2.4547740221784014e-10,3.369180154893949e-16,2.0,2.0,223.74999999999997,71.6
18.0,0.02880075762234309,1.491513457413646e-08,2.2598688748691605e-10,2.824556641040255e-16,2.0,2.0,225.0,72.0
18.1,0.028612688692284144,1.3730896646309011e-08,2.0804388858043957e-10,2.367970797541319e-16,2.0,2.0,226.25000000000003,72.4
18.200000000000003,0.028425847852226068,1.2640685323654597e-08,1.9152553520688785e-10,1.985191451477979e-16,2.0,2.0,227.50000000000003,72.80000000000001
18.3,0.0282402270827419,1.163703504349145e-08,1.763187127801735e-10,1.664287880202418e-16,2.0,2.0,228.75,73.2
18.4,0.028055818416771513,1.0713072996923247e-08,1.623192878321704e-10,1.3952579465957784e-16,2.0,2.0,229.99999999999997,73.6
18.5,0.027872613939279686,9.862472065132785e-09,1.4943139492625432e-10,1.1697163457693893e-16,2.0,2.0,231.25,74.0
18.6,0.02769060578691637,9.079407492458946e-09,1.375667801887719e-10,9.806332462742009e-17,2.0,2.0,232.50000000000003,74.4
18.700000000000003,0.02750978614767919,8.358516999562192e-09,1.2664419696306352e-10,8.22115179612841e-17,2.0,2.0,233.75000000000003,74.80000000000001
18.8,0.02733014726057816,7.694864063541346e-09,1.1658884944759615e-10,6.892213486721549e-17,2.0,2.0,235.0,75.2
18.9,0.027151681415302525,7.083904113550454e-09,1.0733188050834022e-10,5.77809629654531e-17,2.0,2.0,236.24999999999997,75.6
19.0,0.02697438095188986,6.521453410429993e-09,9.880990015803019e-11,4.844074675932809e-17,2.0,2.0,237.5,76.0
19.1,0.026798238260397303,6.003660397245731e-09,9.096455147342018e-11,4.061036414371145e-17,2.0,2.0,238.75000000000003,76.4
19.200000000000003,0.026623245780574907,5.526979324549098e-09,8.374211097801664e-11,3.4045752516547695e-17,2.0,2.0,240.00000000000003,76.80000000000001
19.3,0.026449396001541156,5.088145969749956e-09,7.709312075378721e-11,2.854230167245399e-17,2.0,2.0,241.25,77.2
19.4,0.026276681461460585,4.684155284332427e-09,7.097204976261254e-11,2.3928476375001816e-17,2.0,2.0,242.49999999999997,77.6
19.5,0.026105094747223497,4.312240815846244e-09,6.533698205827643e-11,2.0060469831751596e-17,2.0,2.0,243.75,78.0
19.6,0.025934628494127816,3.9698557637592186e-09,6.014932975392755e-11,1.681772142797309e-17,2.0,2.0,245.00000000000003,78.4
19.700000000000003,0.02576527538556296,3.6546555394447644e-09,5.5373568779466124e-11,1.4099159012778178e-17,2.0,2.0,246.25000000000003,78.80000000000001
19.8,0.025597028152695808,3.3644817108787143e-09,5.0976995619374456e-11,1.1820048614728632e-17,2.0,2.0,247.5,79.2
19.9,0.02542987957415871,3.0973472221015713e-09,4.6929503365175325e-11,9.909353396746909e-18,2.0,2.0,248.74999999999997,79.6
20.0,0.02526382247573955,2.8514227862319713e-09,4.3203375548969264e-11,8.30751953247134e-18,2.0,2.0,250.0,80.0
20.1,0.02509884973007381,2.625024358853194e-09,3.977309634626052e-11,6.964619992768585e-18,2.0,2.0,251.25000000000003,80.4
20.200000000000003,0.024934954256338654,2.416601605992791e-09,3.661517584837562e-11,5.8387983866999396e-18,2.0,2.0,252.50000000000003,80.80000000000001
20.3,0.024772129019949032,2.2247272877263073e-09,3.370798920797435e-11,4.8949643535365246e-18,2.0,2.0,253.75,81.2
20.4,0.024610367032255713,2.0480874847059153e-09,3.103162855615023e-11,4.10369984292876e-18,2.0,2.0,254.99999999999997,81.6
20.5,0.024449661350245334,1.8854726006871502e-09,2.8567766677078035e-11,3.440342193439381e-18,2.0,2.0,256.25,82.0
20.6,0.024290005076242425,1.735769079440681e-09,2.6299531506676986e-11,2.884215430218238e-18,2.0,2.0,257.5,82.4
20.700000000000003,0.024131391357613323,1.5979517793280666e-09,2.4211390595879798e-11,2.4179858223907094e-18,2.0,2.0,258.75000000000006,82.80000000000001
20.8,0.02397381338647207,1.471076953324081e-09,2.228904474733456e-11,2.027121613741632e-18,2.0,2.0,260.0,83.2
20.9,0.02381726439938818,1.3542757864140578e-09,2.0519330097182692e-11,1.6994400872192091e-18,2.0,2.0,261.25,83.6
21.0,0.023661737677096367,1.2467484461116167e-09,1.889012797138813e-11,1.4247278458625911e-18,2.0,2.0,262.5,84.0
21.1,0.023507226544208157,1.1477586053558019e-09,1.739028189933033e-11,1.1944224748150426e-18,2.0,2.0,263.75,84.4
21.200000000000003,0.023353724368925355,1.0566284002814453e-09,1.6009521216385536e-11,1.0013456622514027e-18,2.0,2.0,265.00000000000006,84.80000000000001
21.3,0.0232012245627554,9.727337883345506e-10,1.4738390732341674e-11,8.394794609545293e-19,2.0,2.0,266.25,85.2
21.4,0.023049720580228583,8.955002749459052e-10,1.3568185984028867e-11,7.037787169118183e-19,2.0,2.0,267.5,85.6
21.5,0.0228992059186171,8.243989795000175e-10,1.2490893628788143e-11,5.900138185809293e-19,2.0,2.0,268.75,86.0
21.6,0.02274967411765598,7.589430136598506e-10,1.1499136570603797e-11,4.946388655286204e-19,2.0,2.0,270.0,86.4
21.700000000000003,0.02260111875926575,6.986841472467933e-10,1.0586123443133232e-11,4.1468114743465233e-19,2.0,2.0,271.25000000000006,86.80000000000001
21.8,0.02245353346727702,6.432097388444602e-10,9.745602103703943e-12,3.476484886684892e-19,2.0,2.0,272.5,87.2
21.9,0.022306911907156765,5.921399101076535e-10,8.971816819812932e-12,2.9145157049255617e-19,2.0,2.0,273.75,87.6
22.0,0.022161247785736447,5.451249444267005e-10,8.259468854950008e-12,2.4433880977856883e-19,2.0,2.0,275.0,88.0
22.1,0.022016534850941936,5.018428921336989e-10,7.603680183843923e-12,2.048417644931937e-19,2.0,2.0,276.25,88.4
22.2,0.02187276689152514,4.6199736585156445e-10,6.9999600886600675e-12,1.717293643147052e-19,2.0,2.0,277.5,88.8
22.3,0.0217299377367974,4.253155108888529e-10,6.444174407406862e-12,1.4396953980989777e-19,2.0,2.0,278.75,89.2
22.400000000000002,0.021588041256364654,3.9154613678201216e-10,5.932517223969881e-12,1.2069705420378632e-19,2.0,2.0,280.0,89.60000000000001
22.5,0.021447071359864327,3.604579971901906e-10,5.461484805911979e-12,1.0118653510115829e-19,2.0,2.0,281.25,90.0
22.6,0.02130702199670388,3.318382063636597e-10,5.0278516115706015e-12,8.482986559465407e-20,2.0,2.0,282.5,90.4
22.7,0.021167887155801167,3.0549078134213136e-10,4.628648202153505e-12,7.111723007031543e-20,2.0,2.0,283.75,90.8
22.8,0.021029660865326375,2.8123529990019203e-10,4.261140907578667e-12,5.96212239335774e-20,2.0,2.0,285.0,91.2
22.900000000000002,0.020892337192445765,2.5890566504974567e-10,3.922813106814328e-12,4.9983531977035254e-20,2.0,2.0,286.25,91.60000000000001
23.0,0.020755910243066986,2.3834896763898564e-10,3.6113479945300852e-12,4.190376017242916e-20,2.0,2.0,287.5,92.0
23.1,0.020620374161586102,2.1942443925919747e-10,3.3246127160484464e-12,3.5130072788677726e-20,2.0,2.0,288.75,92.4
23.2,0.020485723130636277,2.0200248828910052e-10,3.0606437619560685e-12,2.945134300739439e-20,2.0,2.0,290.0,92.8
23.3,0.02035195137083807,1.8596381247572297e-10,2.8176335223594387e-12,2.4690572381015573e-20,2.0,2.0,291.25,93.2
23.400000000000002,0.02021905314055138,1.71198581974952e-10,2.593917908711394e-12,2.0699374026818056e-20,2.0,2.0,292.5,93.60000000000001
23.5,0.020087022735629036,1.5760568725735632e-10,2.3879649584447926e-12,1.7353347605321453e-20,2.0,2.0,293.75,94.0
23.6,0.019955854489171906,1.4509204672908913e-10,2.1983643443801386e-12,1.4548201927312364e-20,2.0,2.0,295.0,94.4
23.7,0.01982554277128575,1.3357196932659324e-10,2.0238177170695946e-12,1.219650433631338e-20,2.0,2.0,296.25,94.8
23.8,0.01969608198883949,1.2296656772026447e-10,1.863129813943401e-12,1.0224955549073212e-20,2.0,2.0,297.5,95.2
23.900000000000002,0.019567466585225225,1.1320321810881581e-10,1.715200274375997e-12,8.572105014486893e-21,2.0,2.0,298.75,95.60000000000001
24.0,0.019439691040119687,1.0421506290510452e-10,1.5790161046227958e-12,7.186435581722614e-21,2.0,2.0,300.0,96.0
24.1,0.01931274986924731,9.594055290791305e-11,1.4536447410289857e-12,6.02475777921158e-21,2.0,2.0,301.25,96.4
24.2,0.01918663762414486,8.832302582456382e-11,1.3382276640085427e-12,5.050863656314859e-21,2.0,2.0,302.5,96.8
24.3,0.01906134889192754,8.131031825816307e-11,1.2319745190630768e-12,4.234398229702876e-21,2.0,2.0,303.75,97.2
24.400000000000002,0.018936878295056716,7.485440850244352e-11,1.1341577045824776e-12,3.5499133589348926e-21,2.0,2.0,305.0,97.60000000000001
24.5,0.018813220491109058,6.891108769812469e-11,1.0441073893655257e-12,2.9760745617987735e-21,2.0,2.0,306.25,98.0
24.6,0.018690370172547262,6.343965709893496e-11,9.612069257414387e-13,2.4949960469015908e-21,2.0,2.0,307.5,98.4
24.7,0.01856832206649225,5.840264937423101e-11,8.84888626882288e-13,2.0916832373622184e-21,2.0,2.0,308.75,98.8
24.8,0.01844707093449682,5.3765572039742605e-11,8.146298793900394e-13,1.7535654098111003e-21,2.0,2.0,310.0,99.2
24.900000000000002,0.018326611572320847,4.949667125951021e-11,7.499495645380335e-13,1.4701038816775076e-21,2.0,2.0,311.25,99.60000000000001
25.0,0.018206938809707883,4.5566714401570784e-11,6.904047636601634e-13,1.2324635344832107e-21,2.0,2.0,312.5,100.0
25.1,0.018088047510163248,4.1948789858376e-11,6.35587725126909e-13,1.0332374349611097e-21,2.0,2.0,313.75,100.4
25.200000000000003,0.017969932570733572,3.861812276115146e-11,5.851230721386586e-13,8.66215970805712e-22,2.0,2.0,315.00000000000006,100.80000000000001
25.3,0.017852588921787777,3.555190532624116e-11,5.386652322157752e-13,7.261933053239876e-22,2.0,2.0,316.25,101.2
25.400000000000002,0.017736011526799458,3.272914067168201e-11,4.958960707830608e-13,6.088051184358252e-22,2.0,2.0,317.5,101.60000000000001
25.5,0.01762019538213073,3.01304990344946e-11,4.565227126438576e-13,5.103925766271016e-22,2.0,2.0,318.75,102.0
25.6,0.017505135516817465,2.7738185404090578e-11,4.202755364256148e-13,4.278882919797755e-22,2.0,2.0,320.0,102.4
25.700000000000003,0.017390826992355914,2.5535817665378054e-11,3.8690632826330387e-13,3.5872071577392074e-22,2.0,2.0,321.25000000000006,102.80000000000001
25.8,0.01727726490249078,2.3508314417109392e-11,3.5618658207741504e-13,3.0073398673744745e-22,2.0,2.0,322.5,103.2
25.900000000000002,0.017164444373004583,2.1641791697273612e-11,3.2790593480717596e-13,2.521207357202028e-22,2.0,2.0,323.75,103.60000000000001
26.0,0.0170523605615085,1.9923467908328813e-11,3.018707258837699e-13,2.113657524036063e-22,2.0,2.0,325.0,104.0
26.1,0.016941008657234483,1.8341576291218673e-11,2.779026710790708e-13,1.7719875821210532e-22,2.0,2.0,326.25,104.4
26.200000000000003,0.016830383880828817,1.6885284348813622e-11,2.5583764164869124e-13,1.4855481342102437e-22,2.0,2.0,327.50000000000006,104.80000000000001
26.3,0.016720481484146964,1.5544619667001768e-11,2.355245404091177e-13,1.2454112440302579e-22,2.0,2.0,328.75,105.2
26.400000000000002,0.01661129675004975,1.4310401625467146e-11,2.168242670525325e-13,1.0440921643926155e-22,2.0,2.0,330.0,105.60000000000001
26.5,0.01650282499220093,1.317417853052384e-11,1.996087656139976e-13,8.753160475878745e-23,2.0,2.0,331.25,106.0
26.6,0.016395061554866017,1.2128169739502273e-11,1.8376014756821625e-13,7.338223667357621e-23,2.0,2.0,332.5,106.4
26.700000000000003,0.016288001812712494,1.1165212380367664e-11,1.6916988455102522e-13,6.152009521653545e-23,2.0,2.0,333.75000000000006,106.80000000000001
26.8,0.016181641170611244,1.02787123017155e-11,1.5573806517750758e-13,5.157545322973826e-23,2.0,2.0,335.0,107.2
26.900000000000002,0.016075975063439336,9.462598917259308e-12,1.4337271086756527e-13,4.3238349461103174e-23,2.0,2.0,336.25,107.60000000000001
