distance,atom_pL,hybrid_unboosted_pL,hybrid_boosted_pL,ion_pL,atom_round_ms,hybrid_round_ms,ion_qccd_round_ms,ion_next_round_ms
6.0,0.06321687452965918,0.0003055065589591501,4.62888725695682e-06,4.36338757232111e-07,2.0,2.0,75.0,24.0
6.1,0.06280406837676687,0.000281249824799551,4.261360981811379e-06,3.65805174500088e-07,2.0,2.0,76.25,24.4
6.2,0.06239395784780619,0.00025891903669523147,3.923015707503507e-06,3.0667325208486447e-07,2.0,2.0,77.5,24.8
6.3,0.06198652534035451,0.00023836127759711834,3.6115345090472477e-06,2.5709992668319765e-07,2.0,2.0,78.75,25.2
6.4,0.06158175336693294,0.0002194357718262624,3.3247844216100366e-06,2.1554006373602425e-07,2.0,2.0,80.0,25.6
6.5,0.06117962455425588,0.00020201292106839108,3.060801834369562e-06,1.8069829764119345e-07,2.0,2.0,81.25,26.0
6.6,0.06078012164248523,0.00018597341690895587,2.817779044075089e-06,1.514886569320805e-07,2.0,2.0,82.5,26.4
6.7,0.06038322748448965,0.00017120742383148463,2.5940518762346156e-06,1.2700071599265553e-07,2.0,2.0,83.75,26.8
6.8,0.05998892504510855,0.00015761382708456362,2.3880882891600547e-06,1.0647121830302213e-07,2.0,2.0,85.0,27.2
6.9,0.05959719740042092,0.00014509954026698172,2.1984778828330563e-06,8.926028674976408e-08,2.0,2.0,86.25,27.6
7.0,0.059208027737018956,0.00013357886788951294,2.023922240750196e-06,7.483147950814769e-08,2.0,2.0,87.5,28.0
7.1,0.0588213993512864,0.0001229729185482768,1.8632260386102546e-06,6.273506986457366e-08,2.0,2.0,88.75,28.4
7.2,0.05843729564868157,0.00011320906469119994,1.715288858957575e-06,5.259402883360628e-08,2.0,2.0,90.0,28.8
7.3,0.05805570014302516,0.0001042204452781597,1.5790976557296923e-06,4.409227366641109e-08,2.0,2.0,91.25,29.2
7.4,0.057676596455792595,9.594550792912102e-05,1.4537198171078944e-06,3.696481597225434e-08,2.0,2.0,92.5,29.6
7.5,0.057299968315411065,8.832758742498026e-05,1.3382967791663677e-06,3.0989502383124624e-08,2.0,2.0,93.75,30.0
7.6,0.05692579955656111,8.131451767477248e-05,1.2320381465874617e-06,2.5980090328990717e-08,2.0,2.0,95.0,30.4
7.7,0.056554074119482795,7.485827449206321e-05,1.134216280182776e-06,2.178044310482605e-08,2.0,2.0,96.25,30.8
7.8,0.05618477604928639,6.891464673432627e-05,1.0441613141564588e-06,1.825966329736746e-08,2.0,2.0,97.5,31.2
7.9,0.05581788949526765,6.344293355333118e-05,9.612565689898662e-07,1.530801288699917e-08,2.0,2.0,98.75,31.6
8.0,0.05545339871022734,5.8405665683366944e-05,8.849343285358628e-07,1.2833492859767971e-08,2.0,2.0,100.0,32.0
8.1,0.055091288049795496,5.376834885873771e-05,8.146719524051168e-07,1.0758975720590826e-08,2.0,2.0,101.25,32.4
