t_over_T,g_plus,g_minus,r_plus,r_minus,concurrence_approx,survival
0.0,0.5,0.0,0.5,0.0,0.0,1.0
0.0025,0.4999537414608556,4.6258539144389266e-05,0.4999537414608426,4.6258539157434386e-05,0.0,0.9999979166688368
0.005,0.4998150285997589,0.00018497140024109626,0.49981502859892507,0.00018497140107492926,0.0,0.9999958333420139
0.0075,0.4995840495246307,0.00041595047536929775,0.4995840495151427,0.00041595048485729147,0.0,0.9999937500195312
0.01,0.4992611172123507,0.0007388827876492754,0.4992611171591191,0.0007388828408809167,0.0,0.9999916667013888
0.0125,0.4988466687065106,0.0011533312934893791,0.4988466685038307,0.0011533314961693075,0.0,0.9999895833875866
0.015,0.4983412639987276,0.0016587360012724206,0.49834126339492163,0.0016587366050783703,0.0,0.9999875000781246
0.0175,0.4977455845979472,0.0022544154020527896,0.49774558307951344,0.002254416920486585,0.0,0.999985416773003
0.02,0.4970604317933888,0.002939568206611176,0.49706042842063947,0.0029395715793605337,0.0,0.9999833334722215
0.0225,0.4962867246179778,0.0037132753820222075,0.4962867178047198,0.003713282195280193,0.0,0.9999812501757801
0.025,0.4954254975202644,0.00457450247973562,0.4954254847507365,0.0045745152492635,0.0,0.999979166883679
0.0275,0.4944778977539397,0.005522102246060312,0.4944778752309611,0.005522124769038933,0.0,0.9999770835959181
0.03,0.49344518249511954,0.006554817504880461,0.49344514471422074,0.0065548552857792874,0.0,0.9999750003124974
0.0325,0.49232871569857345,0.007671284301426551,0.4923286549437598,0.007671345056240175,0.0,0.9999729170334168
0.035,0.4911299647050217,0.00887003529497829,0.491129870462754,0.008870129537246002,0.0,0.9999708337586765
0.0375,0.48985049661250274,0.01014950338749726,0.489850354901459,0.010149645098541021,0.0,0.9999687504882762
0.04,0.4884919744256253,0.01150802557437472,0.488491767040822,0.011508232959177994,0.0,0.999966667222216
0.0425,0.48705615299725735,0.012943847002742648,0.4870558566681453,0.012944143331854674,0.0,0.999964583960496
0.045,0.48554487477786545,0.014455125222134574,0.4855444602410643,0.01445553975893571,0.0,0.9999625007031162
0.0475,0.4839600653883002,0.01603993461169978,0.4839594963766876,0.016040503623312385,0.0,0.9999604174500765
0.05,0.482303729032327,0.017696270967672983,0.48230296118323823,0.017697038816761768,0.0,0.9999583342013768
0.0525,0.4805779437656158,0.019422056234384172,0.48057692345193054,0.019423076548069462,0.0,0.9999562509570173
0.055,0.47878485663824266,0.021215143361757366,0.4787835197271242,0.021216480272875787,0.0,0.9999541677169979
0.0575,0.4769266787280012,0.023073321271998792,0.4769249492730011,0.023075050726998864,0.0,0.9999520844813184
0.06,0.47500568008199084,0.024994319918009128,0.475003468955128,0.024996531044871984,0.0,0.9999500012499791
0.0625,0.47302418458402684,0.02697581541597316,0.4730213880552868,0.026978611944713154,0.0,0.9999479180229799
0.065,0.47098456476541706,0.029015435234582915,0.47098106303788606,0.02901893696211394,0.0,0.9999458348003207
0.0675,0.4688892365765662,0.031110763423433746,0.46888489228610486,0.031115107713895168,0.0,0.9999437515820015
0.07,0.4667406541367044,0.0332593458632956,0.46673531082567826,0.03326468917432174,0.0,0.9999416683680225
0.0725,0.46454130447879793,0.035458695521202094,0.46453478505390294,0.03546521494609706,0.0,0.9999395851583834
0.075,0.4622937023063849,0.03770629769361508,0.46228580749103443,0.037714192508965544,0.0,0.9999375019530843
0.0775,0.46000038477869426,0.03999961522130574,0.4599908915707688,0.04000910842923122,0.0,0.9999354187521252
0.08,0.4576639063399518,0.0423360936600482,0.457652566485945,0.04234743351405498,0.0,0.9999333355555061
0.0825,0.4552868336082652,0.04471316639173478,0.4552733721049948,0.0447266278950052,0.0,0.9999312523632271
0.085,0.4528717403389022,0.04712825966109782,0.4528558539739843,0.047144146026015715,0.0,0.999929169175288
0.08750000000000001,0.45042120247614825,0.04957879752385175,0.4504025584183682,0.049597441581631846,0.0,0.9999270859916889
0.09,0.44793779330725303,0.05206220669274694,0.44791602775779527,0.05208397224220476,0.0,0.9999250028124297
0.0925,0.4454240787312503,0.054575921268749716,0.44539879564648865,0.05460120435351137,0.0,0.9999229196375105
0.095,0.44288261265467305,0.05711738734532695,0.4428533825508635,0.057146617449136544,0.0,0.9999208364669312
0.0975,0.4403159325253919,0.05968406747460811,0.4402822913751636,0.05971770862483636,0.0,0.9999187533006919
0.1,0.43772655501497415,0.06227344498502585,0.4376880032449859,0.062311996755014115,0.0,0.9999166701387925
0.10250000000000001,0.43511697185911513,0.06488302814088484,0.4350729734576332,0.06492702654236684,0.0,0.9999145869812329
0.105,0.4324896458648225,0.06751035413517747,0.4324396276072977,0.06756037239270227,0.0,0.9999125038280133
0.1075,0.42984700709215323,0.07015299290784677,0.4297903578921297,0.07020964210787031,0.0,0.9999104206791336
0.11,0.4271914492174127,0.07280855078258733,0.42712751960929635,0.07287248039070365,0.0,0.9999083375345938
0.1125,0.42452532608383176,0.07547467391616827,0.42445342784319756,0.07554657215680244,0.0,0.999906254394394
0.115,0.4218509484448454,0.07814905155515459,0.421770354351067,0.078229645648933,0.0,0.9999041712585339
0.11750000000000001,0.419170580904211,0.080829419095789,0.41908052464927115,0.08091947535072885,0.0,0.9999020881270136
0.12,0.41648643905632843,0.0835135609436716,0.416386115302718,0.08361388469728198,0.0,0.9999000049998333
0.1225,0.4138006868292643,0.08619931317073568,0.413689251418911,0.08631074858108903,0.0,0.9998979218769929
0.125,0.41111543403214146,0.08888456596785851,0.41099200434733385,0.08900799565266618,0.0,0.9998958387584922
0.1275,0.40843273410773323,0.09156726589226677,0.40829638958403525,0.09170361041596475,0.0,0.9998937556443314
0.13,0.405754582090312,0.09424541790968796,0.40560436488049556,0.09439563511950447,0.0,0.9998916725345103
0.1325,0.4030829127680359,0.09691708723196413,0.40291782855511205,0.09708217144488798,0.0,0.9998895894290292
0.135,0.4004195990484233,0.09958040095157675,0.4002386180049299,0.09976138199507015,0.0,0.9998875063278877
0.1375,0.39776645052477166,0.10223354947522834,0.39756850841458,0.10243149158541995,0.0,0.9998854232310861
0.14,0.3951252122407113,0.10487478775928871,0.39490921165876075,0.10509078834123925,0.0,0.9998833401386242
0.14250000000000002,0.39249756364946425,0.10750243635053575,0.39226237539402053,0.10773762460597949,0.0,0.9998812570505021
0.145,0.3898851177637966,0.11011488223620342,0.38962958233506706,0.11037041766493291,0.0,0.9998791739667199
0.1475,0.38728942049210974,0.11271057950789026,0.3870123497103398,0.11298765028966018,0.0,0.9998770908872773
0.15,0.3847119501556193,0.11528804984438071,0.3844121288911412,0.11558787110885885,0.0,0.9998750078121745
0.1525,0.3821541171811127,0.11784588281888733,0.3818303051882298,0.11816969481177017,0.0,0.9998729247414114
0.155,0.3796172639633666,0.12038273603663338,0.37926819780943055,0.12073180219056948,0.0,0.9998708416749881
0.1575,0.3771026648909358,0.12289733510906417,0.3767270599715131,0.12327294002848688,0.0,0.9998687586129045
0.16,0.3746115265286993,0.12538847347130072,0.3742080791593368,0.1257919208406632,0.0,0.9998666755551605
0.1625,0.37214498795026996,0.12785501204973002,0.3717123775250447,0.12828762247495532,0.0,0.9998645925017563
