mean_phonon,n60_anharmonic,n60_total,n80_anharmonic,n80_total,parameter_match
0.1,0.00037847472354137174,0.012723518709375038,9.462099051305211e-05,0.005385576646019115,proxy_model
0.1020931412693436,0.00037902312084320776,0.012724067106676874,9.475812223352329e-05,0.005385713777739587,proxy_model
0.10423009494242151,0.00037958496579829353,0.01272462895163196,9.4898616895691e-05,0.005385854272401755,proxy_model
0.10641177807473735,0.00038016062315847593,0.012725204608992142,9.504256572645647e-05,0.00538599822123252,proxy_model
0.10863912691706201,0.00038075046883198,0.012725794454665646,9.519006274354342e-05,0.005386145718249607,proxy_model
0.1109130973172176,0.00038135489026582935,0.012726398876099495,9.534120485119016e-05,0.005386296860357254,proxy_model
0.11323466513027154,0.00038197428684256683,0.012727018272676234,9.549609193942139e-05,0.005386451747445484,proxy_model
0.11560482663731628,0.0003826090702918379,0.012727653056125504,9.565482698704115e-05,0.0053866104824931045,proxy_model
0.11802459897301507,0.00038325966511742744,0.012728303650951093,9.581751616849401e-05,0.0053867731716745575,proxy_model
0.12049502056209653,0.0003839265090403601,0.012728970494874026,9.598426896474848e-05,0.005386939924470812,proxy_model
0.12301715156498587,0.00038461005345870303,0.01272965403929237,9.615519827836166e-05,0.005387110853784425,proxy_model
0.12559207433276354,0.000385310763924734,0.0127303547497584,9.633042055289181e-05,0.005387286076058955,proxy_model
0.1282208938716473,0.00038602912064016434,0.01273107310647383,9.651005589683167e-05,0.005387465711402895,proxy_model
0.13090473831719604,0.0003867656189701373,0.012731809604803804,9.669422821224269e-05,0.005387649883718306,proxy_model
0.13364475941843953,0.00038752076997674786,0.012732564755810414,9.688306532827744e-05,0.005387838720834341,proxy_model
0.13644213303214184,0.0003882951009728647,0.01273333908680653,9.707669913978571e-05,0.005388032354645849,proxy_model
0.1392980596274103,0.0003890891560970633,0.01273413314193073,9.727526575120725e-05,0.005388230921257271,proxy_model
0.14221376480086648,0.00038990349691051565,0.012734947482744181,9.747890562596265e-05,0.005388434561132026,proxy_model
0.1451904998026007,0.0003907387030167138,0.01273578268885038,9.768776374156285e-05,0.0053886434192476265,proxy_model
0.14822954207313518,0.0003915953727049429,0.01273663935853861,9.790198975066607e-05,0.0053888576452567295,proxy_model
0.151332195791627,0.00039247412361845507,0.01273751810945212,9.812173814832146e-05,0.005389077393654385,proxy_model
0.15449979243554543,0.00039337559344833605,0.012738419579282002,9.834716844564744e-05,0.005389302823951711,proxy_model
0.15773369135206403,0.00039430044065409653,0.012739344426487763,9.857844535020384e-05,0.005389534100856267,proxy_model
0.16103528034141315,0.0003952493452120619,0.012740293331045729,9.881573895332704e-05,0.00538977139445939,proxy_model
0.16440597625244244,0.00039622300939268034,0.012741266995226347,9.905922492470895e-05,0.005390014880430773,proxy_model
0.16784722559064957,0.0003972221585679128,0.01274226614440158,9.930908471451133e-05,0.005390264740220575,proxy_model
0.17136050513893572,0.00039824754204991874,0.012743291527883584,9.956550576332038e-05,0.005390521161269384,proxy_model
0.17494732259135443,0.00039929993396229865,0.012744343919795965,9.982868172025747e-05,0.005390784337226321,proxy_model
0.1786092172001258,0.0004003801341452097,0.012745424119978876,0.00010009881266957641,0.00539105446817564,proxy_model
0.1823477604361932,0.00040148896909572205,0.012746532954929389,0.00010037610536609041,0.0053913317608721536,proxy_model
0.18616455666360693,0.0004026272929448421,0.01274767127877851,0.00010066077347978619,0.0053916164289858496,proxy_model
0.19006124382802345,0.000403795988472686,0.012748839974306352,0.00010095303784999777,0.005391908693356061,proxy_model
0.19403949415961558,0.00040499596816334887,0.012750039953997015,0.0001012531267495278,0.005392208782255591,proxy_model
0.1981010148906961,0.00040622817530107944,0.012751272161134745,0.00010156127615911993,0.005392516931665183,proxy_model
0.20224754898836175,0.0004074935851094344,0.012752537570943101,0.00010187773005270305,0.005392833385558767,proxy_model
0.20648087590247313,0.00040879320593515913,0.012753837191768825,0.00010220274069384523,0.005393158396199908,proxy_model
0.21080281232928993,0.0004101280804786093,0.012755172066312276,0.00010253656894387347,0.005393492224449937,proxy_model
0.21521521299109125,0.00041149928707260734,0.012756543272906274,0.00010287948458213413,0.005393835140088198,proxy_model
0.2197199714321135,0.00041290794101170227,0.012757951926845368,0.00010323176663888905,0.005394187422144953,proxy_model
0.22431902083114902,0.0004143551959338857,0.012759399181767552,0.00010359370374136214,0.005394549359247425,proxy_model
0.22901433483115327,0.00041584224525689946,0.012760886231090566,0.00010396559447347338,0.005394921249979537,proxy_model
0.23380792838621695,0.00041737032367136035,0.012762414309505027,0.00010434774774981871,0.005395303403255882,proxy_model
0.23870185862626617,0.00041894070869301836,0.012763984694526685,0.00010474048320447841,0.0053956961387105415,proxy_model
0.24369822573986283,0.00042055472227656127,0.012765598708110228,0.00010514413159525942,0.005396099787101323,proxy_model
0.24879917387548203,0.00042221373249347815,0.012767257718327145,0.00010555903522400372,0.005396514690730068,proxy_model
0.25400689206165566,0.00042391915527659825,0.012768963141110265,0.00010598554837361993,0.005396941203879684,proxy_model
0.25932361514637525,0.0004256724562340309,0.012770716442067698,0.00010642403776252334,0.0053973796932685865,proxy_model
0.26475162475615777,0.0004274751525353425,0.012772519138369008,0.00010687488301719763,0.005397830538523261,proxy_model
0.2702932502751867,0.0004293288148729279,0.012774372800706594,0.00010733847716362152,0.005398294132669685,proxy_model
0.2759508698449468,0.00043123506950165256,0.01277627905533532,0.00010781522713833446,0.005398770882644398,proxy_model
0.2817269113847841,0.0004331956003599712,0.012778239586193637,0.00010830555431994726,0.0053992612098260106,proxy_model
0.2876238536338261,0.0004352121512758605,0.012780256137109527,0.00010880989508193779,0.005399765550588001,proxy_model
