mean_phonon,low_l_n60_4K,circ60_300K,circ60_4K,circ60_anharmonic,circ80_300K,circ80_4K,circ80_anharmonic
0.1,0.012723518709375038,0.0005323168664744509,0.00013683172471814603,0.00011582376270363195,0.00021762262063818163,5.596378354329379e-05,5.098372866313018e-05
0.1020931412693436,0.012724067106676874,0.0005324847241603447,0.00013699958240403977,0.00011599162038952569,0.00021769651242584134,5.603767533095349e-05,5.105762045078988e-05
0.10423009494242151,0.01272462895163196,0.0005326566982729469,0.00013717155651664202,0.00011616359450212791,0.00021777221631380387,5.611337921891601e-05,5.11333243387524e-05
0.10641177807473735,0.012725204608992142,0.0005328329004780222,0.00013734775872171736,0.00011633979670720327,0.00021784978146003494,5.619094436514709e-05,5.1210889484983484e-05
0.10863912691706201,0.012725794454665646,0.0005330134458573766,0.00013752830410107168,0.00011652034208655758,0.0002179292585263902,5.627042143150236e-05,5.129036655133875e-05
0.1109130973172176,0.012726398876099495,0.0005331984530259839,0.00013771331126967906,0.00011670534925516498,0.00021801069973018307,5.635186263529522e-05,5.1371807755131615e-05
0.11323466513027154,0.012727018272676234,0.0005333880442534955,0.00013790290249719058,0.00011689494048267649,0.0002180941588976818,5.643532180279395e-05,5.145526692263034e-05
0.11560482663731628,0.012727653056125504,0.0005335823455903019,0.00013809720383399705,0.00011708924181948297,0.00021817969151961198,5.652085442472414e-05,5.1540799544560535e-05
0.11802459897301507,0.012728303650951093,0.000533781486998332,0.00013829634524202712,0.00011728838322751302,0.00021826735480874398,5.6608517713856124e-05,5.1628462833692515e-05
0.12049502056209653,0.012728970494874026,0.0005339856024867723,0.0001385004607304674,0.00011749249871595332,0.00021835720775964762,5.669837066475976e-05,5.171831578459615e-05
0.12301715156498587,0.01272965403929237,0.0005341948302529061,0.0001387096884966013,0.00011770172648208719,0.00021844931121070083,5.6790474115813e-05,5.181041923564939e-05
0.12559207433276354,0.0127303547497584,0.0005344093128282733,0.00013892417107196835,0.00011791620905745426,0.00021854372790844134,5.688489081355351e-05,5.19048359333899e-05
0.1282208938716473,0.01273107310647383,0.0005346291972303627,0.0001391440554740578,0.00011813609345954373,0.00021864052257435467,5.698168547946683e-05,5.200163059930322e-05
0.13090473831719604,0.012731809604803804,0.0005348546351200598,0.00013936949336375493,0.00011836153134924084,0.00021873976197419584,5.708092487930801e-05,5.21008699991444e-05
0.13364475941843953,0.012732564755810414,0.0005350857829650755,0.00013960064120877068,0.00011859267919425657,0.0002188415149899456,5.718267789505775e-05,5.220262301489414e-05
0.13644213303214184,0.01273333908680653,0.0005353228022095982,0.0001398376604532933,0.0001188296984387792,0.00021894585269450632,5.728701559961847e-05,5.230696071945486e-05
0.1392980596274103,0.01273413314193073,0.0005355658594504153,0.00014008071769411052,0.00011907275567959643,0.00021905284842924734,5.739401133435948e-05,5.2413956454195874e-05
0.14221376480086648,0.012734947482744181,0.0005358151266197658,0.00014032998486346093,0.00011932202284894685,0.00021916257788451348,5.750374078962565e-05,5.252368590946204e-05
0.1451904998026007,0.01273578268885038,0.0005360707811751895,0.00014058563941888463,0.00011957767740437054,0.00021927511918321576,5.7616282088327935e-05,5.263622720816433e-05
0.14822954207313518,0.01273663935853861,0.000536333006296658,0.0001408478645403531,0.000119839902525839,0.00021939055296762744,5.77317158727396e-05,5.275166099257599e-05
0.151332195791627,0.01273751810945212,0.0005366019910912758,0.00014111684933497092,0.00012010888732045683,0.0002195089624895145,5.785012539462666e-05,5.287007051446305e-05
0.15449979243554543,0.012738419579282002,0.0005368779308058582,0.0001413927890495534,0.00012038482703503932,0.00021963043370373442,5.7971596608846586e-05,5.299154172868298e-05
0.15773369135206403,0.012739344426487763,0.0005371610270477012,0.00014167588529139636,0.00012066792327688225,0.00021975505536544256,5.8096218270554735e-05,5.3116163390391126e-05
0.16103528034141315,0.012740293331045729,0.0005374514880138732,0.0001419663462575683,0.00012095838424305421,0.00021988291913105154,5.822408203616369e-05,5.324402715600008e-05
0.16440597625244244,0.012741266995226347,0.0005377495287293731,0.0001422643869730682,0.00012125642495855411,0.00022001411966309466,5.8355282568206815e-05,5.337522768804321e-05
