regime,decay,anharmonic_10_mode,technical,generated_total,generated_fidelity
low_l_4K_EIT,0.012,2.4e-05,0.001,0.013024,0.986976
circ60_300K_EIT,0.00042,7.2e-06,0.001,0.0014272,0.9985728
circ60_4K_EIT,2.1e-05,7.2e-06,0.001,0.0010282,0.9989718
circ60_4K_GSC,2.1e-05,7.2e-08,0.0003,0.000321072,0.999678928
circ80_4K_GSC,5e-06,3.2e-08,0.0003,0.00030503199999999995,0.999694968
