state,C4_J_m4,generated_d_CZ_um,eta_paper,lifetime_4K_us,decay_4K,anharmonic_nbar1
low_l_n60,1.1e-47,6.478902410382491,0.00188,200.0,0.012345043985833666,0.0007900632175906325
circular_n60,2.1e-46,11.686023633268444,0.00104,119000.0,2.1007962014514095e-05,0.00024187787360170792
circular_n80,1.6e-45,17.54069907143107,0.00069,502000.0,4.98005488016361e-06,0.00010648119723926774
