mode,frequency_over_COM,residual_real,residual_imag,residual_abs
1,0.9999999999999971,3.039235529911366e-15,-1.4085954624931674e-15,3.3497901103251175e-15
2,1.7320508075688752,-4.3021142204224816e-15,-1.6930901125533637e-15,4.623282480531262e-15
3,2.4168423481991836,-3.3306690738754696e-16,-1.8318679906315083e-15,1.8619006149354546e-15
4,3.0671821118581644,-5.10702591327572e-15,-5.495603971894525e-15,7.502224783007543e-15
5,3.6914404150743403,1.049160758270773e-14,1.7763568394002505e-15,1.0640924456569287e-14
6,4.295508978559686,3.83026943495679e-15,1.5543122344752192e-15,4.133624374154424e-15
7,4.8834694071613365,-7.771561172376096e-15,-2.7755575615628914e-15,8.252325904466731e-15
8,5.458191822187297,-1.887379141862766e-15,-5.551115123125783e-16,1.967320211922957e-15
9,6.0217624569023,1.9984014443252818e-15,-6.494804694057166e-15,6.795299577401158e-15
10,6.575751632831298,-2.220446049250313e-16,8.715250743307479e-15,8.718078878130083e-15
