t_over_T,g_down_real,g_down_imag,g_up_real,g_up_imag,r_down_real,r_down_imag,r_up_real,r_up_imag
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.0025,4.361700439797709e-05,-0.0055533752927186255,-4.361700439797709e-05,0.0055533752927186255,8.723400879595418e-05,-0.011106750585437251,0.0,0.0
0.005,0.00017445725574869776,-0.01110538037318071,-0.00017445725574869776,0.01110538037318071,0.0003489145114973955,-0.02221076074636142,0.0,0.0
0.0075,0.0003924884711779883,-0.01665464536720909,-0.0003924884711779883,0.01665464536720909,0.0007849769423559766,-0.03330929073441818,0.0,0.0
0.01,0.0006976568547459087,-0.022199801076701914,-0.0006976568547459087,0.022199801076701914,0.0013953137094918173,-0.04439960215340383,0.0,0.0
0.0125,0.001089887110720118,-0.027739479317461818,-0.001089887110720118,0.027739479317461818,0.002179774221440236,-0.055478958634923636,0.0,0.0
0.015,0.0015690824621540328,-0.03327231325677488,-0.0015690824621540328,0.03327231325677488,0.0031381649243080656,-0.06654462651354975,0.0,0.0
0.0175,0.002135124674765028,-0.038796937750656145,-0.002135124674765028,0.038796937750656145,0.004270249349530056,-0.07759387550131229,0.0,0.0
0.02,0.0027878740861070313,-0.04431198968067847,-0.0027878740861070313,0.04431198968067847,0.005575748172214063,-0.08862397936135694,0.0,0.0
0.0225,0.0035271696400301254,-0.04981610829030162,-0.0035271696400301254,0.04981610829030162,0.007054339280060251,-0.09963221658060324,0.0,0.0
0.025,0.004352828926418608,-0.05530793552061857,-0.004352828926418608,0.05530793552061857,0.008705657852837216,-0.11061587104123714,0.0,0.0
0.0275,0.00526464822619828,-0.0607861163454362,-0.00526464822619828,0.0607861163454362,0.01052929645239656,-0.1215722326908724,0.0,0.0
0.03,0.006262402561600641,-0.06624929910560778,-0.006262402561600641,0.06624929910560778,0.012524805123201282,-0.13249859821121557,0.0,0.0
0.0325,0.007345845751673272,-0.07169613584253462,-0.007345845751673272,0.07169613584253462,0.014691691503346545,-0.14339227168506924,0.0,0.0
0.035,0.008514710473020824,-0.07712528263075462,-0.008514710473020824,0.07712528263075462,0.017029420946041648,-0.15425056526150924,0.0,0.0
0.0375,0.009768708325763506,-0.08253539990953583,-0.009768708325763506,0.08253539990953583,0.01953741665152701,-0.16507079981907166,0.0,0.0
0.04,0.011107529904695043,-0.08792515281339308,-0.011107529904695043,0.08792515281339308,0.022215059809390085,-0.17585030562678616,0.0,0.0
0.0425,0.01253084487562407,-0.09329321150144593,-0.01253084487562407,0.09329321150144593,0.02506168975124814,-0.18658642300289185,0.0,0.0
0.045,0.014038302056879047,-0.09863825148553708,-0.014038302056879047,0.09863825148553708,0.028076604113758095,-0.19727650297107416,0.0,0.0
0.0475,0.015629529505957064,-0.10395895395703,-0.015629529505957064,0.10395895395703,0.03125905901191413,-0.20791790791406,0.0,0.0
0.05,0.01730413461129511,-0.10925400611220525,-0.01730413461129511,0.10925400611220525,0.03460826922259022,-0.2185080122244105,0.0,0.0
0.0525,0.019061704189141077,-0.11452210147617509,-0.019061704189141077,0.11452210147617509,0.03812340837828215,-0.22904420295235017,0.0,0.0
0.055,0.020901804585500724,-0.1197619402252367,-0.020901804585500724,0.1197619402252367,0.04180360917100145,-0.2395238804504734,0.0,0.0
0.0575,0.022823981783135276,-0.12497222950758412,-0.022823981783135276,0.12497222950758412,0.04564796356627055,-0.24994445901516824,0.0,0.0
0.06,0.0248277615135833,-0.1301516837623001,-0.0248277615135833,0.1301516837623001,0.0496555230271666,-0.2603033675246002,0.0,0.0
0.0625,0.026912649374179635,-0.13529902503654923,-0.026912649374179635,0.13529902503654923,0.05382529874835927,-0.27059805007309845,0.0,0.0
0.065,0.029078130950041418,-0.14041298330089336,-0.029078130950041418,0.14041298330089336,0.058156261900082835,-0.2808259666017867,0.0,0.0
0.0675,0.03132367194099263,-0.14549229676265255,-0.03132367194099263,0.14549229676265255,0.06264734388198526,-0.2909845935253051,0.0,0.0
0.07,0.03364871829339457,-0.15053571217723352,-0.03364871829339457,0.15053571217723352,0.06729743658678913,-0.30107142435446704,0.0,0.0
0.0725,0.03605269633685007,-0.15554198515734893,-0.03605269633685007,0.15554198515734893,0.07210539267370014,-0.31108397031469787,0.0,0.0
0.075,0.0385350129257485,-0.16050988048005152,-0.0385350129257485,0.16050988048005152,0.077070025851497,-0.32101976096010304,0.0,0.0
0.0775,0.04109505558561522,-0.16543817239150654,-0.04109505558561522,0.16543817239150654,0.08219011117123044,-0.3308763447830131,0.0,0.0
