distance,pure_atom,hybrid_unheralded_ansatz,hybrid_plus_66x_boost,pure_ion
12,3.510646001070472e-05,6.109685134093788e-11,9.257098688020892e-13,1.1101637421944615e-11
18,8.932032365841829e-07,3.415168491655824e-15,5.174497714630036e-17,2.824556641040255e-16
24,2.272550469632055e-08,1.9089978567494e-19,2.8924209950748486e-21,7.186435581722614e-21
