measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
0,0.0226973982828439,-0.05248846097160222,0.057185753680243256,-37285.53125075464,0.6015666666666667,0.06875
1,0.08075390689478533,-0.04990275539621738,0.09492880740273923,-37226.306549428526,0.6011666666666666,0.069075
2,0.013411722490330007,-0.028186049334254434,0.031214222355052328,-37226.286675649084,0.6033,0.069
3,0.044866511564566905,-0.049975874474369034,0.06716094020672511,-37187.040060957115,0.6015166666666667,0.0715
4,0.050830872263227876,-0.023707396338214302,0.056087594137899745,-37427.41438988135,0.6019,0.067825
5,0.04790025795130058,-0.05324149310160602,0.07161767449093483,-37241.31070373959,0.6008666666666667,0.06935
6,0.005249004027973205,-0.03234740218591112,0.03277051222460165,-37080.58574939738,0.6040666666666666,0.070325
7,-0.01920051369760121,-0.0829408110654986,0.08513423439753544,-37108.161602887165,0.6041833333333333,0.07185
8,0.06542727351701885,-0.030541451606897065,0.07220462856442952,-37215.449347176196,0.6040666666666666,0.070075
9,0.013738250405545764,-0.0452353238505426,0.04727551213967911,-37103.78313767701,0.6016666666666667,0.0706
10,0.017039524159999295,-0.01887952353374362,0.0254319050104466,-37183.28878394063,0.60055,0.0706
11,0.0037816008969043403,-0.04242994128413628,0.04259812698603919,-37007.31018929304,0.6054,0.0726
12,-0.004382018519004604,-0.05326130875208298,0.05344126772715642,-37243.25895202976,0.6017166666666667,0.069325
13,0.025315274301288247,-0.07126756637940432,0.07563021308043674,-37199.34726201963,0.60255,0.07305
14,0.004092457867831103,-0.06902315775633651,0.06914437444981399,-36893.52567747338,0.6066833333333334,0.0745
15,0.03432855233947147,-0.04048953122338556,0.053083440397296656,-36718.89089800729,0.6071166666666666,0.07705
16,0.007438041594495559,-0.011107810557617013,0.013368168092351099,-36650.65059713039,0.6077666666666667,0.078325
17,-0.0032643325375102225,-0.040717039553548155,0.04084768263831686,-36549.28115661791,0.6068,0.080675
