particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
1200,1.1,0,local_minimum_gap,4,-600.753514502403,-600.4223272515394,-0.587920876971225,0.33118725086364975
1300,1.1,0,local_minimum_gap,5,-650.5518294696961,-650.2134524806046,-0.3826409751503661,0.33837698909155733
1400,1.1,0,local_minimum_gap,5,-700.689538547453,-700.3724163223061,-0.53097743487956,0.31712222514693167
600,1.1,1,midpoint_nearest,2,-300.4858326372937,-299.94154590070747,-0.2136892690006107,0.5442867365862298
700,1.1,1,midpoint_nearest,3,-350.18997043398707,-349.61453012893634,0.09774971853829584,0.5754403050507335
800,1.1,1,midpoint_nearest,3,-400.40904493204766,-399.8857069849142,-0.14737595848089313,0.5233379471334842
900,1.1,1,midpoint_nearest,4,-450.1237111531835,-449.5685562009501,0.15386632293319735,0.5551549522333517
1000,1.1,1,midpoint_nearest,4,-500.3372283927515,-499.8268047529184,-0.08201657283495933,0.5104236398331068
1100,1.1,1,midpoint_nearest,5,-550.0582716252478,-549.5166298409315,0.21254926691040055,0.5416417843163117
1200,1.1,1,midpoint_nearest,5,-600.2683078591193,-599.766301686873,-0.01730477299611266,0.502006172246297
1300,1.1,1,midpoint_nearest,5,-650.4634436326538,-649.9933447930312,-0.22839421284243144,0.47009883962266485
1400,1.1,1,midpoint_nearest,6,-700.2011768174909,-699.704848070136,0.046987556186536494,0.49632874735493715
600,1.1,1,straddling,2,-300.4858326372937,-299.94154590070747,-0.2136892690006107,0.5442867365862298
700,1.1,1,straddling,3,-350.18997043398707,-349.61453012893634,0.09774971853829584,0.5754403050507335
800,1.1,1,straddling,3,-400.40904493204766,-399.8857069849142,-0.14737595848089313,0.5233379471334842
900,1.1,1,straddling,4,-450.1237111531835,-449.5685562009501,0.15386632293319735,0.5551549522333517
1000,1.1,1,straddling,4,-500.3372283927515,-499.8268047529184,-0.08201657283495933,0.5104236398331068
1100,1.1,1,straddling,5,-550.0582716252478,-549.5166298409315,0.21254926691040055,0.5416417843163117
1200,1.1,1,straddling,5,-600.2683078591193,-599.766301686873,-0.01730477299611266,0.502006172246297
1300,1.1,1,straddling,5,-650.4634436326538,-649.9933447930312,-0.22839421284243144,0.47009883962266485
1400,1.1,1,straddling,6,-700.2011768174909,-699.704848070136,0.046987556186536494,0.49632874735493715
600,1.1,1,local_minimum_gap,1,-301.0095492914895,-300.4858326372937,-0.7476909643916088,0.5237166541958231
700,1.1,1,local_minimum_gap,2,-350.69630386915816,-350.18997043398707,-0.44313715157261413,0.5063334351710864
800,1.1,1,local_minimum_gap,2,-400.9023212217046,-400.40904493204766,-0.6556830768761301,0.49327628965693293
900,1.1,1,local_minimum_gap,3,-450.61219740088575,-450.1237111531835,-0.36795427703464156,0.48848624770226934
1000,1.1,1,local_minimum_gap,3,-500.810334961832,-500.3372283927515,-0.5737816772917768,0.4731065690804712
1100,1.1,1,local_minimum_gap,3,-551.010053183298,-550.5355087492738,-0.7727809662859499,0.4745444340242102
1200,1.1,1,local_minimum_gap,4,-600.7276750684559,-600.2683078591193,-0.49799146378768455,0.45936720933661945
1300,1.1,1,local_minimum_gap,4,-650.9205029174544,-650.4634436326538,-0.6919732750541243,0.4570592848006072
1400,1.1,1,local_minimum_gap,5,-700.6512386429152,-700.2011768174909,-0.42620773020303204,0.4500618254243136
600,1.15,0,midpoint_nearest,5,-300.0939804505445,-299.4598031801157,0.22310818466985438,0.6341772704287791
700,1.15,0,midpoint_nearest,5,-350.43554582013996,-349.9535598009723,-0.1945528105561607,0.4819860191676639
800,1.15,0,midpoint_nearest,6,-400.32928199518807,-399.80823548752886,-0.06875874135846516,0.5210465076592072
900,1.15,0,midpoint_nearest,7,-450.21324080865884,-449.66015808006426,0.06330055563842052,0.5530827285945747
1000,1.15,0,midpoint_nearest,8,-500.086674954153,-499.51053177760417,0.20139663412140862,0.5761431765488396
1100,1.15,0,midpoint_nearest,8,-550.4106860322969,-549.9520515583126,-0.1813687953047065,0.4586344739842616
