coupling,mass_threshold,branch,fitted_width_n_exponent,fitted_width_amplitude,minimum_width,maximum_width
1.1,0.5,pair_lower,-0.8235901918229981,6.840099244868057,0.016666666666666666,0.041666666666666664
1.1,0.5,pair_upper,-1.0000000000000004,8.00000000000004,0.005555555555555556,0.016666666666666666
1.1,0.75,pair_lower,-0.31818596001978483,0.8805559304072322,0.08888888888888889,0.125
1.1,0.75,pair_upper,-0.1045457618992385,0.14360374782830235,0.06666666666666667,0.075
1.1,0.9,pair_lower,-3.211447566948435e-16,0.1583333333333338,0.15833333333333333,0.15833333333333333
1.1,0.9,pair_upper,-3.211447566948435e-16,0.1583333333333338,0.15833333333333333,0.15833333333333333
1.1,0.99,pair_lower,-0.06507025402050533,0.29908652312146944,0.18611111111111112,0.2
1.1,0.99,pair_upper,-0.08919441165655072,0.36133046441981465,0.18888888888888888,0.20833333333333334
1.5,0.5,pair_lower,-1.3066781055895877,198.28462440085954,0.016666666666666666,0.06666666666666667
1.5,0.5,pair_upper,0.2121423206871533,0.005027429856155745,0.016666666666666666,0.029166666666666667
1.5,0.75,pair_lower,-0.5323935856492837,8.027929456072956,0.17916666666666667,0.31666666666666665
1.5,0.75,pair_upper,-0.030324528959187007,0.2641829334364559,0.19444444444444445,0.24583333333333332
1.5,0.9,pair_lower,-0.12430912168270564,1.2918422275111243,0.5291666666666667,0.6083333333333333
1.5,0.9,pair_upper,-0.01308534040468484,0.6013683407479979,0.5388888888888889,0.5625
1.5,0.99,pair_lower,-0.012019721685993603,0.7261938704092337,0.6666666666666666,0.675
1.5,0.99,pair_upper,-0.011051791206383523,0.7229499345523668,0.6666666666666667,0.675
2.0,0.5,pair_lower,-0.32359019182299675,0.2549154480728303,0.016666666666666666,0.041666666666666664
2.0,0.5,pair_upper,-0.6927778107665395,2.8209295918919746,0.01388888888888889,0.0375
2.0,0.75,pair_lower,-0.059275698667030814,0.4599482369610036,0.25416666666666665,0.3416666666666667
2.0,0.75,pair_upper,-0.32567249302375934,2.7954904768233315,0.23333333333333334,0.35833333333333334
2.0,0.9,pair_lower,-0.01596948524420342,0.9189881053058273,0.8,0.8416666666666667
2.0,0.9,pair_upper,-0.0750277179601194,1.3698559491575553,0.775,0.85
2.0,0.99,pair_lower,-0.010289029274014575,1.0741251050471396,0.9972222222222222,1.0083333333333333
2.0,0.99,pair_upper,-0.009643072670103512,1.0709206298896972,0.9972222222222222,1.0083333333333333
