particles,sector,coupling_real,coupling_imaginary,energy_real,energy_imaginary,energy_per_particle_real,matrix_norm,relative_eigenvalue_gap,relative_energy_center_error,eigenvector_condition_number,relative_characteristic_backward_error,relative_derivative_backward_error
10,0,1.5806429359451528,1.090454438033149,-4.699063711426139,-1.1243386738261227,-0.4699063711426139,5.944045765079935,1.483332812291282e-07,1.2491816399819296e-14,5940483.271568585,8.799745497756053e-15,1.2143471679076527e-14
10,0,1.5806429359451526,1.0904544380331491,4.699063711426139,1.124338673826123,0.4699063711426139,5.9440457650799345,1.4984329242866418e-07,1.2671108332178097e-14,5892236.067269184,8.82218879733605e-15,1.2192540916807248e-14
10,0,3.1824636166687804e-23,1.1111111111111116,2.4236587390551504e-16,-1.0484722795317003e-23,2.4236587390551504e-17,5.07698422180461,1.0360511890811756e-08,1.514122088202544e-16,501910081.6699369,2.282012458127063e-18,4.91516295194585e-18
10,0,5.1469227361403485e-14,2.0000000000000533,3.587392161621219e-15,-8.663632947781383e-14,3.587392161621219e-16,5.464438394406876,1.5986851545990056e-07,1.5867128252911207e-14,45784367.2785517,1.3710217901607312e-15,1.111087325612995e-15
10,0,2.1955369171280052,3.551502760376723,2.966227113463377,1.6664885525945314,0.29662271134633766,10.011951212806318,2.2384586833377172e-07,8.023513688819034e-14,8137123.768224599,4.584604094179913e-15,9.174318302356306e-15
10,0,2.1955369171280172,3.551502760376767,-2.9662271134633493,-1.6664885525945283,-0.29662271134633494,10.011951212806416,2.3012136720255748e-07,8.420207587201001e-14,7916187.0820589885,4.8561379027710905e-15,9.620465900703606e-15
10,0,4.924238020051244e-14,9.999999999999964,-7.509554484039854e-15,-1.0931637675138098e-14,-7.509554484039854e-16,23.110786299190544,2.8112375344763424e-08,5.899569174947969e-16,31081371.955816414,3.471703607169146e-17,3.397044968807835e-17
14,0,1.5524421396385881,0.7268883081468085,6.977370135560728,1.0126183446694021,0.49838358111148057,7.949191520598338,9.520015345090571e-08,5.708178032353999e-15,5707510.906363874,2.728271214644536e-15,3.134711040635172e-15
14,0,1.5524421396385886,0.7268883081468088,-6.9773701355607285,-1.0126183446694026,-0.4983835811114806,7.94919152059834,9.9167650929799e-08,5.731368240537637e-15,5716044.80174385,2.718759608966976e-15,3.1087211690867175e-15
14,0,1.3689547082414087e-21,1.0769230769230769,-2.2996833076484282e-15,-2.2456861587380074e-21,-1.6426309340345916e-16,7.047432904278965,3.165110311938307e-08,1.116886855441342e-15,467501551.4781546,1.0509574052175314e-18,1.855752700627856e-18
14,1,1.1337588264975758,1.2126181750038891,5.232915255867822,1.8370167282950598,0.3737796611334159,7.2858279123776235,7.872940319641734e-07,8.205750725302224e-13,2156313.184680929,1.226522413176883e-13,2.601244571732398e-13
