coupling,sector,particles,spacing,leading_coefficient,subleading_coefficient,theory_coefficient,leading_relative_difference
1.1,0,10000,0.35527930540047237,2.7315705485468453,4.744788372515421,2.879317227558483,-0.05131309520101734
1.1,0,25000,0.3067997532943991,2.7315705485468453,4.744788372515421,2.879317227558483,-0.05131309520101734
1.1,0,50000,0.3031136655336013,2.7315705485468453,4.744788372515421,2.879317227558483,-0.05131309520101734
1.1,0,100000,0.2676372694404563,2.7315705485468453,4.744788372515421,2.879317227558483,-0.05131309520101734
1.1,0,250000,0.2522738579864381,2.7315705485468453,4.744788372515421,2.879317227558483,-0.05131309520101734
1.1,1,10000,0.3534175960767243,3.234005665039412,0.4279202272435974,2.879317227558483,0.12318491136931332
1.1,1,25000,0.32996907717461,3.234005665039412,0.4279202272435974,2.879317227558483,0.12318491136931332
1.1,1,50000,0.2998335863412649,3.234005665039412,0.4279202272435974,2.879317227558483,0.12318491136931332
1.1,1,100000,0.2837415985413827,3.234005665039412,0.4279202272435974,2.879317227558483,0.12318491136931332
1.1,1,250000,0.2623208446748322,3.234005665039412,0.4279202272435974,2.879317227558483,0.12318491136931332
1.5,0,10000,0.633108869953503,4.84823534183372,8.507971451215429,7.024814731040727,-0.3098415364022769
1.5,0,25000,0.5638925495168223,4.84823534183372,8.507971451215429,7.024814731040727,-0.3098415364022769
1.5,0,50000,0.48547693583532237,4.84823534183372,8.507971451215429,7.024814731040727,-0.3098415364022769
1.5,0,100000,0.5131801180687035,4.84823534183372,8.507971451215429,7.024814731040727,-0.3098415364022769
1.5,0,250000,0.44425146392313763,4.84823534183372,8.507971451215429,7.024814731040727,-0.3098415364022769
1.5,1,10000,0.6738216207377263,7.012895435079813,-7.518705789554361,7.024814731040727,-0.0016967416817763536
1.5,1,25000,0.6171349979249499,7.012895435079813,-7.518705789554361,7.024814731040727,-0.0016967416817763536
1.5,1,50000,0.5851390579846338,7.012895435079813,-7.518705789554361,7.024814731040727,-0.0016967416817763536
1.5,1,100000,0.5510157675016671,7.012895435079813,-7.518705789554361,7.024814731040727,-0.0016967416817763536
1.5,1,250000,0.5168062513694167,7.012895435079813,-7.518705789554361,7.024814731040727,-0.0016967416817763536
2.0,0,10000,0.8742093352193478,8.995038488672009,-9.47492499840266,10.882796185405306,-0.1734625609606592
2.0,0,25000,0.8062199382529798,8.995038488672009,-9.47492499840266,10.882796185405306,-0.1734625609606592
2.0,0,50000,0.7010948503011605,8.995038488672009,-9.47492499840266,10.882796185405306,-0.1734625609606592
2.0,0,100000,0.7233299007712048,8.995038488672009,-9.47492499840266,10.882796185405306,-0.1734625609606592
2.0,0,250000,0.6792025018512504,8.995038488672009,-9.47492499840266,10.882796185405306,-0.1734625609606592
2.0,1,10000,0.9703139171497241,10.599291596281114,-15.300408256548263,10.882796185405306,-0.026050711994808285
2.0,1,25000,0.8966360691010777,10.599291596281114,-15.300408256548263,10.882796185405306,-0.026050711994808285
2.0,1,50000,0.8510281062153808,10.599291596281114,-15.300408256548263,10.882796185405306,-0.026050711994808285
2.0,1,100000,0.8044313885911833,10.599291596281114,-15.300408256548263,10.882796185405306,-0.026050711994808285
2.0,1,250000,0.7533510759822093,10.599291596281114,-15.300408256548263,10.882796185405306,-0.026050711994808285
