particles,coupling,sector,bin_index,normalized_energy,mean_energy,mean_spacing,spacing_std,level_pair_count
2000,0.5,0,0,0.024326811558212025,-950.5855896233841,1.7835468918024813,0.028349678883582956,56
2000,0.5,0,1,0.0746331833168968,-850.0533056477135,1.8692502355995804,0.021487276394184147,54
2000,0.5,0,2,0.12510513907615445,-749.1901185044027,1.9349269370537105,0.01662524674285803,52
2000,0.5,0,3,0.17515461882862687,-649.1712076704786,1.9859195041306452,0.012935449015959192,50
2000,0.5,0,4,0.22485649993150253,-549.8469381897105,2.0258702189164954,0.01019645217985138,49
2000,0.5,0,5,0.2749314869030198,-449.7770537137046,2.057357004070084,0.008017472883726682,49
2000,0.5,0,6,0.32516716169962695,-349.3860505901277,2.0814346242062514,0.005923566871429642,48
2000,0.5,0,7,0.3748570811437989,-250.08568529540162,2.0986825735317356,0.0040678692025927785,47
2000,0.5,0,8,0.42488693370699826,-150.10599744848,2.109982335602766,0.0024660337170816986,48
2000,0.5,0,9,0.4751166350443529,-49.72693168951265,2.115582786323087,0.0008174611774441599,47
2000,0.5,0,10,0.5248833649556468,49.72693168951258,2.115582786323083,0.0008174611774356498,47
2000,0.5,0,11,0.5751130662930016,150.10599744848,2.1099823356027634,0.0024660337170881565,48
2000,0.5,0,12,0.625142918856201,250.08568529540165,2.0986825735317356,0.004067869202603824,47
2000,0.5,0,13,0.674832838300373,349.3860505901277,2.0814346242062647,0.005923566871414319,48
2000,0.5,0,14,0.7250685130969801,449.77705371370473,2.0573570040700657,0.008017472883735461,49
2000,0.5,0,15,0.7751435000684973,549.8469381897104,2.025870218916509,0.01019645217985032,49
2000,0.5,0,16,0.8248453811713731,649.1712076704786,1.9859195041306361,0.012935449015960731,50
2000,0.5,0,17,0.8748948609238454,749.1901185044031,1.9349269370537217,0.01662524674286116,52
2000,0.5,0,18,0.9253668166831029,850.0533056477133,1.8692502355995468,0.02148727639421674,54
2000,0.5,0,19,0.9756731884417879,950.5855896233842,1.783546891802532,0.028349678883587807,56
2000,0.5,1,0,0.024360513086880413,-949.6935971833036,1.7844238841999527,0.028284264057451748,56
2000,0.5,1,1,0.07473200526337075,-849.1185084516152,1.8699392722313233,0.021442267078108652,54
2000,0.5,1,2,0.12477722822512717,-749.1948706459247,1.9349464164879486,0.016304495416751212,51
2000,0.5,1,3,0.17487443585723264,-649.1674367721184,1.985903525767399,0.013194893272529918,51
2000,0.5,1,4,0.22512494384423054,-548.8339131612466,2.026230309688543,0.010173006918491816,49
2000,0.5,1,5,0.274734907231474,-449.77934372014994,2.0573690950012327,0.007853420551978702,48
2000,0.5,1,6,0.3244941493897174,-350.42671430523933,2.081220582592221,0.00594274235391876,48
2000,0.5,1,7,0.374749010029715,-250.08449989640334,2.0986721967066924,0.004154791012119255,48
2000,0.5,1,8,0.42482135958056805,-150.10669932944674,2.109992350920836,0.0024142041308645346,47
2000,0.5,1,9,0.475095143857243,-49.72670072253133,2.115572943971332,0.0008360009358728471,48
2000,0.5,1,10,0.5254347466989847,50.78471563152136,2.115553292623264,0.0008338053146064654,47
2000,0.5,1,11,0.5751786404194306,150.10669932944668,2.109992350920846,0.0024142041308528065,47
2000,0.5,1,12,0.6252509899702838,250.08449989640346,2.0986721967066884,0.004154791012115158,48
2000,0.5,1,13,0.6755058506102815,350.4267143052395,2.0812205825922176,0.005942742353922551,48
2000,0.5,1,14,0.7252650927685247,449.7793437201499,2.0573690950012384,0.00785342055196789,48
2000,0.5,1,15,0.7748750561557683,548.8339131612466,2.026230309688552,0.01017300691845582,49
2000,0.5,1,16,0.8251255641427662,649.1674367721185,1.985903525767399,0.01319489327248731,51
2000,0.5,1,17,0.8752227717748714,749.1948706459248,1.9349464164879107,0.016304495416774006,51
2000,0.5,1,18,0.9252679947366281,849.1185084516151,1.8699392722313506,0.02144226707814313,54
2000,0.5,1,19,0.9756394869131183,949.6935971833037,1.7844238841999303,0.028284264057483847,56
