check,value,reference,absolute_error
tridiagonal_dense,0.0,0.0,0.0
normal_harmonic_gap,0.8663805698981832,0.8660254037844386,0.0003551661137446427
deformed_harmonic_gap,1.5766866793339886,1.5811388300841898,0.0044521507502011115
classical_mu_lambda_2,0.8660254037844386,0.8660254037844386,0.0
large_n_ground_energy,-2708.2929445397367,-2708.333333333333,0.04038879359632119
normal_spectrum_upper_gap,1.017897479149724,0.8663805698981832,0.1515169092515407
tunneling_log_slope,-0.1322513180550478,0.0,0.1322513180550478
critical_k_exponent,1.324731570647332,1.3333333333333333,0.008601762686001324
critical_n_exponent_mean,-0.3310326618340315,-0.3333333333333333,0.0023006714993017985
separatrix_wkb_index_lambda_1.1,11.626444794694137,12.0,0.3735552053058626
separatrix_wkb_index_lambda_1.5,90.92247680493941,90.0,0.9224768049394072
separatrix_wkb_index_lambda_2.0,177.67548283913243,180.0,2.324517160867572
