k,particles,excitation_energy,fitted_n_exponent,fitted_amplitude
8,1000,5.681382771273206,-0.331591331208677,56.14119082459092
8,2000,4.5160569623451465,-0.331591331208677,56.14119082459092
8,3000,3.9476841401512957,-0.331591331208677,56.14119082459092
8,4000,3.588103433148035,-0.331591331208677,56.14119082459092
8,5000,3.3317993910300174,-0.331591331208677,56.14119082459092
16,1000,14.134176418584673,-0.33142890966008715,139.52458010162403
16,2000,11.238800926105114,-0.33142890966008715,139.52458010162403
16,3000,9.824385952586226,-0.33142890966008715,139.52458010162403
16,4000,8.929211847163515,-0.33142890966008715,139.52458010162403
16,5000,8.291062215309466,-0.33142890966008715,139.52458010162403
32,1000,35.286726387975875,-0.3300777446333303,345.1901668394428
32,2000,28.102998321554992,-0.3300777446333303,345.1901668394428
32,3000,24.575475502716017,-0.3300777446333303,345.1901668394428
32,4000,22.339404608716222,-0.3300777446333303,345.1901668394428
32,5000,20.74421008627769,-0.3300777446333303,345.1901668394428
