particles,coupling,sector,pair_lower_sector_index,pair_upper_sector_index,full_spectrum_index_estimate,pair_midpoint_offset,pair_spacing,first_component_count,pair_lower_weight,pair_upper_weight,pair_mean_weight,outside_lower_weight,outside_upper_weight,outside_mean_weight,pair_minus_outside_mean,basis_interval_fraction,fixed_component_mu_width,separatrix_action,wkb_full_spectrum_index,wkb_index_relative_error,pair_lower_mass_50_component_count,pair_lower_mass_50_mu_width,pair_lower_mass_50_achieved_mass,pair_lower_mass_75_component_count,pair_lower_mass_75_mu_width,pair_lower_mass_75_achieved_mass,pair_lower_mass_90_component_count,pair_lower_mass_90_mu_width,pair_lower_mass_90_achieved_mass,pair_lower_mass_99_component_count,pair_lower_mass_99_mu_width,pair_lower_mass_99_achieved_mass,pair_upper_mass_50_component_count,pair_upper_mass_50_mu_width,pair_upper_mass_50_achieved_mass,pair_upper_mass_75_component_count,pair_upper_mass_75_mu_width,pair_upper_mass_75_achieved_mass,pair_upper_mass_90_component_count,pair_upper_mass_90_mu_width,pair_upper_mass_90_achieved_mass,pair_upper_mass_99_component_count,pair_upper_mass_99_mu_width,pair_upper_mass_99_achieved_mass,quoted_transition_index,transition_index_relative_error
480,1.1,0,1,2,2,-0.5893385354777365,0.37376521497046156,20,0.9491274781918513,0.9290415648274615,0.9390845215096564,0.9811843881203974,0.8158159551065877,0.8985001716134926,0.040584349896163774,0.08298755186721991,0.16666666666666666,0.10582319411437024,3.542148264898046,0.43537089629488834,5,0.041666666666666664,0.524957259984539,15,0.125,0.7826539400555365,19,0.15833333333333333,0.9265634177578285,24,0.2,0.991651762191934,2,0.016666666666666666,0.5817510413199328,9,0.075,0.7540923347179251,19,0.15833333333333333,0.9046864886164333,25,0.20833333333333334,0.9909048553554699,4.0,0.5
960,1.1,0,3,4,6,-0.5871457030135616,0.3403131022233197,20,0.7047231515765265,0.7786370791117295,0.741680115344128,0.6339379636493925,0.6793816884935651,0.6566598260714788,0.08502028927264926,0.04158004158004158,0.08333333333333333,0.10582319411437024,7.584296529796092,0.20889169134829258,6,0.025,0.5349431844785913,23,0.09583333333333333,0.7510553281598981,38,0.15833333333333333,0.9122768843073967,46,0.19166666666666665,0.9922197904749447,2,0.008333333333333333,0.5371608020771118,17,0.07083333333333333,0.7634164484670936,38,0.15833333333333333,0.9073649050784889,47,0.19583333333333333,0.9922602452764333,8.0,0.25
1440,1.1,0,5,6,10,-0.5892078439617308,0.3242649053977402,20,0.6566273120117543,0.7320511438270336,0.694339227919394,0.5792303694788782,0.6274436708790376,0.6033370201789579,0.0910022077404361,0.027739251040221916,0.05555555555555555,0.10582319411437024,11.626444794694137,0.13989184341514135,6,0.016666666666666666,0.5049421112729895,32,0.08888888888888889,0.7574905911955605,57,0.15833333333333333,0.9014526261056268,67,0.18611111111111112,0.9901767930160139,2,0.005555555555555556,0.5147204597722018,24,0.06666666666666667,0.7606200919988219,57,0.15833333333333333,0.9065823292080857,68,0.18888888888888888,0.9906940432471874,12.0,0.16666666666666666
480,1.5,0,14,15,28,-0.872969082462788,0.7492921555540306,20,0.6478955947381015,0.7296864702491407,0.6887910324936211,0.5661645487650295,0.6397560059132044,0.602960277339117,0.08583075515450411,0.08298755186721991,0.16666666666666666,0.7978116152871693,29.974158934979805,0.06586202933207123,8,0.06666666666666667,0.5205653681123151,38,0.31666666666666665,0.7519349380352816,73,0.6083333333333333,0.9059557296753808,81,0.675,0.9916366927146487,2,0.016666666666666666,0.5225942973043431,25,0.20833333333333334,0.7595434593543784,66,0.55,0.9029203509471889,81,0.675,0.991105635521452,30.0,0.06666666666666667
960,1.5,0,30,31,60,-0.3173731514149267,0.6583510582677832,20,0.6695267871464933,0.6162870017515804,0.6429068944490368,0.5694677586376616,0.5347641700287615,0.5521159643332116,0.09079093011582517,0.04158004158004158,0.08333333333333333,0.7978116152871693,60.44831786995961,0.007416548313619915,5,0.020833333333333332,0.5367410558056764,43,0.17916666666666667,0.7501428952729058,127,0.5291666666666667,0.9017168651310791,160,0.6666666666666666,0.990534181747354,7,0.029166666666666667,0.5057830088213012,59,0.24583333333333332,0.751360930039172,135,0.5625,0.9002184797822439,161,0.6708333333333333,0.9902006503346336,60.0,0.0
1440,1.5,0,45,46,90,-0.4807132773501053,0.6188120423506689,20,0.6226229948809706,0.6220544974887925,0.6223387461848815,0.5245564315602386,0.5202684159532862,0.5224124237567624,0.09992632242811905,0.027739251040221916,0.05555555555555555,0.7978116152871693,90.92247680493941,0.010145750944713521,6,0.016666666666666666,0.5166491470610053,66,0.18333333333333335,0.7504657415902645,193,0.5361111111111111,0.9014936502841869,240,0.6666666666666667,0.9921029578207599,7,0.019444444444444445,0.515432718434626,70,0.19444444444444445,0.7510765026159942,194,0.5388888888888889,0.9007833775314102,240,0.6666666666666667,0.9904087123518495,90.0,0.0
480,2.0,0,29,30,58,-0.48749115633995643,0.9929374000591906,20,0.6642797382578057,0.6599678962221247,0.6621238172399653,0.5693397496105256,0.5706336513491163,0.5699867004798209,0.09213711676014436,0.08298755186721991,0.16666666666666666,1.5548744109367574,58.891827613044136,0.015143486782308686,5,0.041666666666666664,0.529120065159424,41,0.3416666666666667,0.7500242435537795,101,0.8416666666666667,0.9005874671733837,121,1.0083333333333333,0.9931566178894997,4,0.03333333333333333,0.5048395020958569,42,0.35,0.7503877392879807,102,0.85,0.9028041020715019,121,1.0083333333333333,0.9911912815475687,60.0,0.03333333333333333
960,2.0,0,59,60,118,-0.18939086812969208,0.9551997329903088,20,0.6468978391718294,0.5837728727320265,0.6153353559519279,0.5432694934049623,0.5056299447358794,0.5244497190704209,0.09088563688150697,0.04158004158004158,0.08333333333333333,1.5548744109367574,118.28365522608827,0.0023980931731107775,4,0.016666666666666666,0.5021190870145921,61,0.25416666666666665,0.7506424408933311,192,0.8,0.9018839718669132,240,1.0,0.9921457348617222,9,0.0375,0.5100519188312093,86,0.35833333333333334,0.7507189479736445,204,0.85,0.9018961973368272,241,1.0041666666666667,0.9924751530042257,120.0,0.016666666666666666
1440,2.0,0,88,89,176,-0.8586753090110051,0.9280442114725247,20,0.5547269887074577,0.6245325461607074,0.5896297674340826,0.47897051352494774,0.5344286408257867,0.5066995771753672,0.0829301902587154,0.027739251040221916,0.05555555555555555,1.5548744109367574,177.67548283913243,0.009430017087103752,12,0.03333333333333333,0.5103257113285212,121,0.33611111111111114,0.7509422143530202,300,0.8333333333333334,0.9008594434090256,359,0.9972222222222222,0.9906941600072771,5,0.01388888888888889,0.5072697056995358,84,0.23333333333333334,0.7510689206814194,279,0.775,0.9000510538402567,359,0.9972222222222222,0.9909466609639327,180.0,0.022222222222222223
