particles,candidate_count,attempted_seed_count,search_real_seed_min,search_real_seed_max,search_imaginary_seed_min,search_imaginary_seed_max,nearest_real_coupling,nearest_imaginary_coupling,nearest_energy_per_particle,distance_to_lambda_one,near_real_count,near_real_near_separatrix_count,near_real_below_transition_count,near_real_above_transition_away_from_separatrix_count
10,7,180,0.6,1.8,0.02,0.7,1.5806429359451528,1.090454438033149,-0.4699063711426139,1.2354096893294941,0,0,0,0
14,12,260,0.6,1.8,0.02,0.7,1.5524421396385881,0.7268883081468085,0.49838358111148057,0.9129944852894737,0,0,0,0
18,15,340,0.6,1.8,0.02,0.7,1.490764448890744,0.5411046957972686,-0.5062716247142407,0.7305094360163258,0,0,0,0
22,27,420,0.6,1.8,0.02,0.7,1.4366684127834495,0.4316838901180178,-0.5086537593695395,0.6140279176961272,2,2,0,0
26,32,500,0.6,1.8,0.02,0.7,1.3929538339953456,0.3602818959178783,-0.5092283576557224,0.5331188987250617,2,2,0,0
30,44,580,0.6,1.8,0.02,0.7,1.3577041514246073,0.3101916756799918,0.5091398224943813,0.4734671431129721,4,4,0,0
