particles,coupling,sector,ordering,rms_normalized_spectrum_difference,max_normalized_spectrum_difference,fitted_rms_n_exponent
1280,1.0,0,sandwich,0.00021419181355990572,0.0006889495137103463,-1.0115247108126155
40,1.0,1,symmetric,0.0072492084599585305,0.015211535719573899,-1.015055604594939
80,1.0,1,symmetric,0.0035253238783386634,0.008318267986596295,-1.015055604594939
160,1.0,1,symmetric,0.0017369680085471504,0.004493547325374991,-1.015055604594939
320,1.0,1,symmetric,0.0008619254374698996,0.0023972332792884243,-1.015055604594939
640,1.0,1,symmetric,0.00042930064335890193,0.0012641041537844178,-1.015055604594939
1280,1.0,1,symmetric,0.00021423094976719172,0.0006598675323242764,-1.015055604594939
40,1.0,1,sandwich,0.008066031037696972,0.020377750358426483,-1.0435284747752531
80,1.0,1,sandwich,0.003799672492721538,0.011278713788776873,-1.0435284747752531
160,1.0,1,sandwich,0.0018207438473182157,0.006046443174439697,-1.0435284747752531
320,1.0,1,sandwich,0.000885985636608156,0.003165280878562604,-1.0435284747752531
640,1.0,1,sandwich,0.0004359387710471791,0.0016277330058453998,-1.0435284747752531
1280,1.0,1,sandwich,0.00021601460669028026,0.0008261276670452622,-1.0435284747752531
40,1.5,0,symmetric,0.014447338867156738,0.035302994537607324,-0.991703197554117
80,1.5,0,symmetric,0.007303331944612458,0.018479116892347935,-0.991703197554117
160,1.5,0,symmetric,0.0036880326686009367,0.009323108242145661,-0.991703197554117
320,1.5,0,symmetric,0.0018521637593289586,0.00467600722353656,-0.991703197554117
640,1.5,0,symmetric,0.0009284369374336035,0.0023410418005647138,-0.991703197554117
1280,1.5,0,symmetric,0.0004648846944427283,0.0011712175535334435,-0.991703197554117
40,1.5,0,sandwich,0.016637157943459872,0.04314541336911448,-1.0311987054088843
80,1.5,0,sandwich,0.008117573425296601,0.019767497138201806,-1.0311987054088843
160,1.5,0,sandwich,0.0038820425059710372,0.01021100692561272,-1.0311987054088843
320,1.5,0,sandwich,0.0019030161102528533,0.0048687367499915535,-1.0311987054088843
640,1.5,0,sandwich,0.0009420394737684276,0.0023531945282209143,-1.0311987054088843
1280,1.5,0,sandwich,0.0004690993009794711,0.0011742005069690364,-1.0311987054088843
40,1.5,1,symmetric,0.015399012513113703,0.035184672199266354,-1.0085228519975773
80,1.5,1,symmetric,0.007567696955278855,0.01847502020798797,-1.0085228519975773
160,1.5,1,symmetric,0.003752372215368986,0.009323108112490042,-1.0085228519975773
320,1.5,1,symmetric,0.0018688491827705187,0.004676007223536116,-1.0085228519975773
640,1.5,1,symmetric,0.0009327542602530086,0.0023410418005633815,-1.0085228519975773
1280,1.5,1,symmetric,0.0004660019023937683,0.0011712175535325553,-1.0085228519975773
40,1.5,1,sandwich,0.0169086813136677,0.040454061169410416,-1.03330797283562
80,1.5,1,sandwich,0.008051054746095118,0.019532105252965115,-1.03330797283562
160,1.5,1,sandwich,0.0038951254595199986,0.00954202995858977,-1.03330797283562
320,1.5,1,sandwich,0.001909319295919904,0.004726489425814773,-1.03330797283562
640,1.5,1,sandwich,0.0009439137587928302,0.00235319452821936,-1.03330797283562
1280,1.5,1,sandwich,0.0004690225596907973,0.001174200506967038,-1.03330797283562
40,2.0,0,symmetric,0.023268167153540693,0.049626956011552315,-0.9973510098179587
80,2.0,0,symmetric,0.011693863374046565,0.024966515393000765,-0.9973510098179587
160,2.0,0,symmetric,0.005857515418246287,0.01249749064814476,-0.9973510098179587
320,2.0,0,symmetric,0.002932982474908041,0.006250033935338406,-0.9973510098179587
640,2.0,0,symmetric,0.0014679498494719035,0.00312508753487184,-0.9973510098179587
1280,2.0,0,symmetric,0.0007344513887856711,0.0015625315596641265,-0.9973510098179587
40,2.0,0,sandwich,0.026721795096746333,0.05239417350095121,-1.034510836549816
80,2.0,0,sandwich,0.012765377402254856,0.02718409018817991,-1.034510836549816
160,2.0,0,sandwich,0.006163696969283212,0.013184084842515098,-1.034510836549816
320,2.0,0,sandwich,0.0030230071281784807,0.006550368932473516,-1.034510836549816
640,2.0,0,sandwich,0.0014886832055140522,0.0031317838686706345,-1.034510836549816
1280,2.0,0,sandwich,0.0007391853051693135,0.001564182201767128,-1.034510836549816
40,2.0,1,symmetric,0.024278536583254816,0.04960413553746856,-1.0082408375106604
80,2.0,1,symmetric,0.011938625058053886,0.024966514039211907,-1.0082408375106604
160,2.0,1,symmetric,0.0059211995175147926,0.012497490648143872,-1.0082408375106604
320,2.0,1,symmetric,0.0029494214489623125,0.006250033935338184,-1.0082408375106604
640,2.0,1,symmetric,0.0014721548537615175,0.00312508753487184,-1.0082408375106604
1280,2.0,1,symmetric,0.0007354995712051826,0.0015625315596656808,-1.0082408375106604
40,2.0,1,sandwich,0.026162912448807966,0.05231865391271162,-1.0279793713660876
80,2.0,1,sandwich,0.01253552696154929,0.025492649932966183,-1.0279793713660876
160,2.0,1,sandwich,0.006097783116811039,0.012614234103141886,-1.0279793713660876
320,2.0,1,sandwich,0.0029995948438013096,0.006277589736213507,-1.0279793713660876
640,2.0,1,sandwich,0.0014860423315378568,0.0031317838686704125,-1.0279793713660876
1280,2.0,1,sandwich,0.0007392757007331952,0.0015641822017651297,-1.0279793713660876
