particles,coupling,sector,ordering,rms_normalized_spectrum_difference,max_normalized_spectrum_difference,fitted_rms_n_exponent
40,0.5,0,symmetric,0.001766808312780689,0.0030641752740611095,-1.0002817892011635
80,0.5,0,symmetric,0.0008833536282151598,0.00159826307505051,-1.0002817892011635
160,0.5,0,symmetric,0.0004415255160890219,0.000816121710033646,-1.0002817892011635
320,0.5,0,symmetric,0.0002207073896268458,0.0004123922986291051,-1.0002817892011635
640,0.5,0,symmetric,0.00011033764968044224,0.00020729169416977555,-1.0002817892011635
1280,0.5,0,symmetric,5.5164537682769316e-05,0.00010392147391746764,-1.0002817892011635
40,0.5,0,sandwich,0.0018095713700187037,0.0032219207782910875,-1.0064947738164465
80,0.5,0,sandwich,0.0008942142390665069,0.0016422650992669041,-1.0064947738164465
160,0.5,0,sandwich,0.00044426272853988056,0.0008291631681718314,-1.0064947738164465
320,0.5,0,sandwich,0.00022139451334423117,0.0004166165971937197,-1.0064947738164465
640,0.5,0,sandwich,0.00011050978757499087,0.0002088205961201517,-1.0064947738164465
1280,0.5,0,sandwich,5.5207617067079585e-05,0.00010453882366090461,-1.0064947738164465
40,0.5,1,symmetric,0.0018918617494342034,0.003326545036058892,-1.018038009822458
80,0.5,1,symmetric,0.0009146366158892219,0.0016693461775287854,-1.018038009822458
160,0.5,1,symmetric,0.00044934437160702614,0.0008360407606403664,-1.018038009822458
320,0.5,1,symmetric,0.0002226615920993271,0.00041834876974289337,-1.018038009822458
640,0.5,1,symmetric,0.00011082611912170065,0.00020925519125403191,-1.018038009822458
1280,0.5,1,symmetric,5.5286643816846093e-05,0.00010464766347906274,-1.018038009822458
40,0.5,1,sandwich,0.0020348149823335463,0.004615238766821128,-1.037513936980159
80,0.5,1,sandwich,0.0009564453159053705,0.002394955647271324,-1.037513936980159
160,0.5,1,sandwich,0.0004606806254536958,0.0012204259242665216,-1.037513936980159
320,0.5,1,sandwich,0.00022561583553678876,0.0006161037207194076,-1.037513936980159
640,0.5,1,sandwich,0.00011158038181155995,0.00030954481444900317,-1.037513936980159
1280,0.5,1,sandwich,5.547721738641415e-05,0.0001551482496409129,-1.037513936980159
40,1.0,0,symmetric,0.0065584458710243035,0.01179010904194322,-0.9890067077632833
80,1.0,0,symmetric,0.003325566699409435,0.006799243846747571,-0.9890067077632833
160,1.0,0,symmetric,0.0016801682122380794,0.003803706599893708,-0.9890067077632833
320,1.0,0,symmetric,0.000846045487247827,0.002080478631878213,-0.9890067077632833
640,1.0,0,symmetric,0.0004249323222123199,0.0011181460265994314,-0.9890067077632833
1280,1.0,0,symmetric,0.00021304703360006013,0.0005927308782900376,-0.9890067077632833
40,1.0,0,sandwich,0.0071477715109853485,0.016441043201259387,-1.0115247108126155
80,1.0,0,sandwich,0.0035064948347687296,0.009008722469322716,-1.0115247108126155
160,1.0,0,sandwich,0.001733295214522809,0.00483378032146442,-1.0115247108126155
320,1.0,0,sandwich,0.0008611612996516876,0.0025531271991503512,-1.0115247108126155
640,1.0,0,sandwich,0.00042913171406444665,0.0013324185856096182,-1.0115247108126155
