model,param,realization,nmse_h1,nmse_h2,nmse_h3,runtime_s
cluster,0.5,0,0.2590861438962414,6.156963586382226,22.44802253932475,0.3
tfim,1.0,0,0.1223303165386086,0.5936594238292272,1.0336252574895275,0.3
