record_kind,parameter,minimum,maximum,samples
g_factor,0.02,0.8032479754631219,0.8032479754631219,8
g_factor,0.3925,3.9575815626537714,3.9575815626537714,8
g_factor,0.765,0.46824785184704787,0.46824785184704787,8
g_factor,1.1375,0.17656918286090043,0.17656918286090043,8
g_factor,1.51,0.08087314560331885,0.08087314560331885,8
g_factor,1.8825,0.05044198564077932,0.05044198564077932,8
g_factor,2.255,0.037980125593493494,0.037980125593493494,8
g_factor,2.6275,0.03241381611828263,0.03241381611828263,8
g_factor,3.0,0.030153099808265214,0.030153099808265214,8
tfim_spectrum,0.1,-6.003695132643934,6.003713361130355,2
tfim_spectrum,3.1622776601683795,-7.818394438059804,9.528637963054877,2
tfim_spectrum,100.0,-217.81629308787657,187.03771655230855,2
cluster_spectrum,0.0,-5.413895325512816,5.413895325512822,1
cluster_spectrum,0.125,-4.7560776488231555,4.756077648823165,1
cluster_spectrum,0.25,-4.141244810595749,4.141244810595753,1
cluster_spectrum,0.375,-3.594786411038217,3.5947864110382124,1
cluster_spectrum,0.5,-3.163921295388522,3.163921295388521,1
cluster_spectrum,0.625,-2.9277074877883327,2.9277074877883287,1
cluster_spectrum,0.75,-2.9557912013938608,2.9557912013938616,1
cluster_spectrum,0.875,-3.2166724584315034,3.2166724584315043,1
cluster_spectrum,1.0,-3.619478860719199,3.619478860719208,1
