panel,kind,depth,L,p,scaled_x,I3,standard_error
c,scan,31,8,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9900000000000001,0.880164845616463,0.0,0.35355339059327373
c,scan,31,12,0.7100000000000001,,-11.75,0.35355339059327373
f,collapse,31,12,0.7100000000000001,-2.488521379598216,-11.75,0.35355339059327373
c,scan,31,12,0.7275,,-11.083333333333334,0.35355339059327373
f,collapse,31,12,0.7275,-2.248663897227304,-11.083333333333334,0.35355339059327373
c,scan,31,12,0.7450000000000001,,-8.708333333333334,0.35355339059327373
f,collapse,31,12,0.7450000000000001,-2.008806414856391,-8.708333333333334,0.35355339059327373
c,scan,31,12,0.7625000000000001,,-7.75,0.39716255518124477
f,collapse,31,12,0.7625000000000001,-1.7689489324854792,-7.75,0.39716255518124477
c,scan,31,12,0.78,,-6.75,0.35355339059327373
f,collapse,31,12,0.78,-1.5290914501145674,-6.75,0.35355339059327373
c,scan,31,12,0.7975000000000001,,-5.708333333333333,0.35355339059327373
f,collapse,31,12,0.7975000000000001,-1.2892339677436542,-5.708333333333333,0.35355339059327373
c,scan,31,12,0.8150000000000001,,-4.875,0.35355339059327373
f,collapse,31,12,0.8150000000000001,-1.0493764853727425,-4.875,0.35355339059327373
c,scan,31,12,0.8325,,-3.2916666666666665,0.35355339059327373
f,collapse,31,12,0.8325,-0.8095190030018307,-3.2916666666666665,0.35355339059327373
c,scan,31,12,0.8500000000000001,,-1.7916666666666665,0.36697768194757985
f,collapse,31,12,0.8500000000000001,-0.5696615206309175,-1.7916666666666665,0.36697768194757985
c,scan,31,12,0.8675000000000002,,-0.8333333333333334,0.35355339059327373
f,collapse,31,12,0.8675000000000002,-0.3298040382600042,-0.8333333333333334,0.35355339059327373
c,scan,31,12,0.8850000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.8850000000000001,-0.08994655588909246,0.0,0.35355339059327373
c,scan,31,12,0.9025000000000001,,-0.041666666666666664,0.35355339059327373
f,collapse,31,12,0.9025000000000001,0.14991092648181925,-0.041666666666666664,0.35355339059327373
c,scan,31,12,0.9200000000000002,,-0.041666666666666664,0.35355339059327373
f,collapse,31,12,0.9200000000000002,0.3897684088527325,-0.041666666666666664,0.35355339059327373
c,scan,31,12,0.9375000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9375000000000001,0.6296258912236442,0.0,0.35355339059327373
c,scan,31,12,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9550000000000001,0.869483373594556,0.0,0.35355339059327373
c,scan,31,12,0.9725000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9725000000000001,1.1093408559654692,0.0,0.35355339059327373
c,scan,31,12,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9900000000000001,1.349198338336381,0.0,0.35355339059327373
c,scan,31,16,0.7100000000000001,,-15.75,0.35355339059327373
f,collapse,31,16,0.7100000000000001,-3.3694892736333344,-15.75,0.35355339059327373
c,scan,31,16,0.7275,,-14.791666666666668,0.35355339059327373
f,collapse,31,16,0.7275,-3.0447192231626525,-14.791666666666668,0.35355339059327373
c,scan,31,16,0.7450000000000001,,-13.083333333333332,0.35355339059327373
f,collapse,31,16,0.7450000000000001,-2.7199491726919685,-13.083333333333332,0.35355339059327373
c,scan,31,16,0.7625000000000001,,-10.458333333333332,0.3880021068507681
f,collapse,31,16,0.7625000000000001,-2.3951791222212866,-10.458333333333332,0.3880021068507681
c,scan,31,16,0.78,,-9.333333333333334,0.3618734322278728
f,collapse,31,16,0.78,-2.0704090717506043,-9.333333333333334,0.3618734322278728
c,scan,31,16,0.7975000000000001,,-7.416666666666666,0.35355339059327373
f,collapse,31,16,0.7975000000000001,-1.7456390212799204,-7.416666666666666,0.35355339059327373
c,scan,31,16,0.8150000000000001,,-6.166666666666667,0.35355339059327373
