depth,depth_over_n,moment,estimate,standard_error,haar_value,samples
2,0.09090909090909091,1,0.99494,0.020129719124713112,1,50000
2,0.09090909090909091,2,21.24978,1.9346503009161033,2,50000
2,0.09090909090909091,3,1459.48106,372.8364253720542,6,50000
2,0.09090909090909091,4,187591.39962,88254.52078097955,24,50000
4,0.18181818181818182,1,0.99524,0.00787436263831805,1,50000
4,0.18181818181818182,2,4.09072,0.1730638194983122,2,50000
4,0.18181818181818182,3,47.9708,9.410376864568276,6,50000
4,0.18181818181818182,4,1514.25832,585.8701825079645,24,50000
6,0.2727272727272727,1,0.99296,0.005494689490794908,1,50000
6,0.2727272727272727,2,2.49552,0.038866162791870815,2,50000
6,0.2727272727272727,3,10.89296,0.4817004002014935,6,50000
6,0.2727272727272727,4,81.75504,7.213089190534482,24,50000
8,0.36363636363636365,1,0.99146,0.004816493054090995,1,50000
8,0.36363636363636365,2,2.1429,0.027710260716402136,2,50000
8,0.36363636363636365,3,7.38482,0.30027869391156,6,50000
8,0.36363636363636365,4,42.98418,4.303243323710224,24,50000
10,0.45454545454545453,1,1.0023,0.004678283010532661,1,50000
10,0.45454545454545453,2,2.0989,0.03289365920137669,2,50000
10,0.45454545454545453,3,7.4049,0.7128449102554647,6,50000
10,0.45454545454545453,4,58.50394,21.360790402375603,24,50000
12,0.5454545454545454,1,0.99576,0.004550258733862384,1,50000
12,0.5454545454545454,2,2.02676,0.02463350998628261,2,50000
12,0.5454545454545454,3,6.3966,0.2650329530796583,6,50000
12,0.5454545454545454,4,34.44764,3.8307462519861,24,50000
14,0.6363636363636364,1,0.99136,0.004436631682032399,1,50000
14,0.6363636363636364,2,1.96696,0.0230936188907817,2,50000
14,0.6363636363636364,3,5.93032,0.24679289987489628,6,50000
14,0.6363636363636364,4,30.53416,3.5772856330061056,24,50000
16,0.7272727272727273,1,0.99776,0.004430743986944581,1,50000
16,0.7272727272727273,2,1.97708,0.021104520877954794,2,50000
16,0.7272727272727273,3,5.75492,0.18691288410486018,6,50000
16,0.7272727272727273,4,26.17844,2.445072549021547,24,50000
18,0.8181818181818182,1,0.99868,0.0044626856782961155,1,50000
18,0.8181818181818182,2,1.99312,0.020648747679402127,2,50000
18,0.8181818181818182,3,5.80888,0.1539728638941561,6,50000
18,0.8181818181818182,4,25.29064,1.638364052371502,24,50000
20,0.9090909090909091,1,1.00924,0.004501943779963934,1,50000
20,0.9090909090909091,2,2.03192,0.020966058613489463,2,50000
20,0.9090909090909091,3,5.97184,0.15592763452586644,6,50000
20,0.9090909090909091,4,26.10704,1.6488869574997373,24,50000
22,1.0,1,1.00244,0.004453703811161307,1,50000
22,1.0,2,1.99664,0.02127618451998747,2,50000
22,1.0,3,5.84024,0.18784980831999193,6,50000
22,1.0,4,26.61992,2.449269462921937,24,50000
24,1.0909090909090908,1,1.00528,0.004491218749172328,1,50000
24,1.0909090909090908,2,2.01912,0.02418931150255872,2,50000
24,1.0909090909090908,3,6.24952,0.2628878897862051,6,50000
24,1.0909090909090908,4,33.3324,3.8219080158766823,24,50000
26,1.1818181818181819,1,0.998,0.004469308614807203,1,50000
26,1.1818181818181819,2,1.99472,0.022283908406818532,2,50000
26,1.1818181818181819,3,5.9504,0.2191141196197733,6,50000
26,1.1818181818181819,4,28.80704,3.0637580456028193,24,50000
28,1.2727272727272727,1,1.00654,0.004526892358239641,1,50000
28,1.2727272727272727,2,2.03774,0.024019330806936492,2,50000
28,1.2727272727272727,3,6.32206,0.2516526108107336,6,50000
28,1.2727272727272727,4,32.99822,3.5978973986552836,24,50000
30,1.3636363636363635,1,1.01046,0.004477880391017153,1,50000
30,1.3636363636363635,2,2.02358,0.022041882781739207,2,50000
30,1.3636363636363635,3,6.01062,0.20575744765829823,6,50000
30,1.3636363636363635,4,28.38662,2.781390303272789,24,50000
32,1.4545454545454546,1,1.0011,0.004431700418504391,1,50000
32,1.4545454545454546,2,1.98418,0.020802174145049916,2,50000
32,1.4545454545454546,3,5.7633,0.17054170384880948,6,50000
32,1.4545454545454546,4,25.57306,2.0772713694583995,24,50000
34,1.5454545454545454,1,1.00652,0.004549149776306969,1,50000
34,1.5454545454545454,2,2.0478,0.02532239972195672,2,50000
34,1.5454545454545454,3,6.50396,0.2869518372715294,6,50000
34,1.5454545454545454,4,36.25404,4.2452207568581235,24,50000
36,1.6363636363636365,1,1.0024,0.004482085070782529,1,50000
36,1.6363636363636365,2,2.00924,0.022464255725567813,2,50000
36,1.6363636363636365,3,6.05572,0.2094699679165994,6,50000
36,1.6363636363636365,4,29.26868,2.8000955097493416,24,50000
38,1.7272727272727273,1,1.0082,0.004486408113085026,1,50000
38,1.7272727272727273,2,2.02284,0.02114939508889681,2,50000
38,1.7272727272727273,3,5.93948,0.1723665818868699,6,50000
38,1.7272727272727273,4,26.45628,2.085649716818732,24,50000
40,1.8181818181818181,1,1.00636,0.004472537431908379,1,50000
40,1.8181818181818181,2,2.01292,0.021879575768024295,2,50000
40,1.8181818181818181,3,5.95612,0.2045315128622166,6,50000
40,1.8181818181818181,4,27.98716,2.775460038312779,24,50000
42,1.9090909090909092,1,0.99238,0.0044317526465982296,1,50000
42,1.9090909090909092,2,1.96682,0.02135974500143039,2,50000
42,1.9090909090909092,3,5.77762,0.18923651537662342,6,50000
42,1.9090909090909092,4,26.67986,2.4570843265698814,24,50000
44,2.0,1,1.00456,0.004450166312353298,1,50000
44,2.0,2,1.99932,0.020810916669792626,2,50000
44,2.0,3,5.80852,0.17010435331881532,6,50000
44,2.0,4,25.65156,2.0742865438228746,24,50000
