panel,depth,measurement_fraction,time,entropy_density_mean,entropy_density_standard_deviation,entropy_density_standard_error,measurement_change_mean,measurement_change_standard_deviation,measurement_change_standard_error,realizations
A,3,0.1,0,0.0,0.0,0.0,,,,240
A,3,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,240
A,3,0.1,2,0.009090909090909113,0.00443474925262322,0.00028626183333359197,-0.14583333333333334,0.3536766443500567,0.02282972922517155,240
A,3,0.1,3,0.008641098484848498,0.004469576254781979,0.00028850990665624536,-0.07916666666666666,0.2705629752394673,0.017464764953379775,240
A,3,0.1,4,0.016761363636363658,0.005896477599306011,0.0003806159923899545,-0.23333333333333334,0.44314081242577724,0.028604616442497666,240
A,3,0.1,5,0.016358901515151538,0.0058746269420416625,0.0003792055385284794,-0.07083333333333333,0.2570823853536749,0.016594596617967673,240
A,3,0.1,6,0.024739583333333297,0.006480310756666542,0.0004183022606469717,-0.17916666666666667,0.44484886876224805,0.028714871004923256,240
A,3,0.1,7,0.024408143939393903,0.006365697443647638,0.00041090400310404043,-0.058333333333333334,0.23486249278256188,0.01516030871992703,240
A,3,0.1,8,0.03259943181818183,0.007073925933586646,0.0004566199555514306,-0.19583333333333333,0.41818412659712045,0.02699366929931569,240
A,3,0.1,9,0.032078598484848495,0.007058952453658958,0.00045565342157818543,-0.09166666666666666,0.28915786927079773,0.01866506020184368,240
A,3,0.1,10,0.040553977272727235,0.007625284353100895,0.0004922099884942628,-0.1875,0.391128075632672,0.02524720871932489,240
A,3,0.1,11,0.04000946969696968,0.007492339404843346,0.00048362842898486445,-0.09583333333333334,0.2949777194148491,0.019040729913265914,240
A,3,0.1,12,0.04836647727272715,0.008184889148587613,0.0005283323227172271,-0.17916666666666667,0.38429326173917144,0.024806023379592316,240
A,3,0.1,13,0.04798768939393927,0.008162855437429114,0.0005269100527776936,-0.06666666666666667,0.26617807401263666,0.017181720796275116,240
A,3,0.1,14,0.05665246212121205,0.008322630727822364,0.0005372235034248354,-0.19583333333333333,0.4377377815672719,0.028255852300263732,240
A,3,0.1,15,0.0563446969696969,0.008270021550874508,0.0005338275956552233,-0.05416666666666667,0.24457146651136627,0.01578702027926744,240
A,3,0.1,16,0.06479640151515155,0.008507227516443918,0.0005491391748930796,-0.20416666666666666,0.41416262917248814,0.02673408275677541,240
A,3,0.1,17,0.06467803030303033,0.008450973251836642,0.0005455079777267943,-0.020833333333333332,0.1431246250596513,0.009238654821470169,240
A,3,0.1,18,0.07298768939393947,0.008967157609319938,0.0005788275347285539,-0.19166666666666668,0.40490369397512294,0.02613642105972526,240
A,3,0.1,19,0.0726089015151516,0.009071988391332171,0.0005855943326102752,-0.06666666666666667,0.2499651300646891,0.016135179764551862,240
A,3,0.1,20,0.08106060606060615,0.009716419531449264,0.0006271921838344578,-0.2125,0.42001444486018985,0.02711181583516781,240
A,3,0.1,21,0.08058712121212132,0.00963965649785492,0.000622237151322537,-0.08333333333333333,0.2769630077661107,0.017877885276561038,240
