depth,critical_probability,critical_probability_error,critical_exponent,critical_exponent_error,cost,probability_at_boundary,exponent_at_boundary
1,0.16312500000000002,0.0175,1.75703125,0.10095472022925353,3.432296970828747,False,True
3,0.4134375,0.0175,1.25,0.08043309282798353,0.4938720049199795,False,False
5,0.5828125000000001,0.017500000000000016,1.22421875,0.11644804315935227,1.1517562144863698,False,False
7,0.7025000000000001,0.02745387546008356,1.0867187500000002,0.23324991824180566,0.5134498774531204,False,False
11,0.8221875000000001,0.017500000000000016,1.0265625,0.04985527285389984,0.3380810401280878,False,False
15,0.8631250000000001,0.01998102941438035,0.90625,0.18090926725137813,0.5930731089913206,False,False
23,0.8806250000000001,0.02410113690984769,0.871875,0.15469810920408644,0.3169371380201348,False,False
31,0.8981250000000001,0.017500000000000016,0.975,0.06916055797886478,0.5762987910323725,False,False
