campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
transition,d1,8,11,1,0.02750000000000001,101,half_chain_entropy,29.875,1.7360555546666385,0.6137883276106766,8
transition,d1,8,11,1,0.02750000000000001,101,tripartite_mutual_information,-24.5,2.4364950105649585,0.8614310721488354,8
transition,d1,8,11,1,0.06250000000000001,101,half_chain_entropy,22.958333333333332,1.030295072543753,0.3642643162093868,8
transition,d1,8,11,1,0.06250000000000001,101,tripartite_mutual_information,-15.875,0.6156039749451375,0.2176488726045501,8
transition,d1,8,11,1,0.09750000000000002,101,half_chain_entropy,15.291666666666668,1.3503379941380222,0.47741657627441797,8
transition,d1,8,11,1,0.09750000000000002,101,tripartite_mutual_information,-8.375,1.2400396819047415,0.438420234007626,8
transition,d1,8,11,1,0.1325,101,half_chain_entropy,8.375,1.8033258515820503,0.6375719691713366,8
transition,d1,8,11,1,0.1325,101,tripartite_mutual_information,-2.833333333333333,1.284832148879242,0.4542567625794979,8
transition,d1,8,11,1,0.16750000000000004,101,half_chain_entropy,4.5,1.259881576697424,0.44543540318737396,8
transition,d1,8,11,1,0.16750000000000004,101,tripartite_mutual_information,-0.125,0.2480079363809483,0.08768404680152521,8
transition,d1,8,11,1,0.2025,101,half_chain_entropy,2.041666666666667,0.6770032003863301,0.23935677693908453,8
transition,d1,8,11,1,0.2025,101,tripartite_mutual_information,-0.041666666666666664,0.1178511301977579,0.04166666666666666,8
transition,d1,8,11,1,0.23750000000000002,101,half_chain_entropy,1.2916666666666665,0.5175491695067657,0.18298126367784995,8
transition,d1,8,11,1,0.23750000000000002,101,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d1,8,11,1,0.2725,101,half_chain_entropy,0.6666666666666666,0.5345224838248488,0.1889822365046136,8
transition,d1,8,11,1,0.2725,101,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d1,12,11,1,0.02750000000000001,101,half_chain_entropy,43.83333333333333,1.3569339855976192,0.47974861141928277,8
transition,d1,12,11,1,0.02750000000000001,101,tripartite_mutual_information,-38.041666666666664,1.6177340609826727,0.5719553623386497,8
transition,d1,12,11,1,0.06250000000000001,101,half_chain_entropy,30.25,1.5811388300841898,0.5590169943749475,8
transition,d1,12,11,1,0.06250000000000001,101,tripartite_mutual_information,-23.791666666666668,1.859659467035116,0.6574889099191457,8
transition,d1,12,11,1,0.09750000000000002,101,half_chain_entropy,20.25,1.7343403668070776,0.6131819171274243,8
transition,d1,12,11,1,0.09750000000000002,101,tripartite_mutual_information,-13.166666666666668,1.3685817012571346,0.4838667007833708,8
transition,d1,12,11,1,0.1325,101,half_chain_entropy,11.458333333333332,2.8168286794769415,0.9958993303494466,8
transition,d1,12,11,1,0.1325,101,tripartite_mutual_information,-3.6249999999999996,1.7945021859106483,0.6344523322557509,8
transition,d1,12,11,1,0.16750000000000004,101,half_chain_entropy,4.416666666666666,1.6402671094904606,0.5799219980389809,8
