campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
dynamics,L32,32,11,44,0.4,28,half_chain_entropy_density,0.5033143939393939,0.009009745558657049,0.0018391066109180614,24
dynamics,L32,32,11,44,0.4,28,measurement_entropy_change,-5.25,0.7939992333804207,0.16207441482858728,24
dynamics,L32,32,11,44,0.4,29,half_chain_entropy_density,0.49881628787878785,0.007489056324830488,0.001528697220899814,24
dynamics,L32,32,11,44,0.4,29,measurement_entropy_change,-0.7916666666666666,0.8329709356935241,0.17002948025148282,24
dynamics,L32,32,11,44,0.4,30,half_chain_entropy_density,0.5035511363636364,0.006226938228516551,0.0012710684433079788,24
dynamics,L32,32,11,44,0.4,30,measurement_entropy_change,-5.333333333333333,1.12931940514656,0.23052135826937495,24
dynamics,L32,32,11,44,0.4,31,half_chain_entropy_density,0.4990530303030303,0.006193978777698124,0.0012643406235823536,24
dynamics,L32,32,11,44,0.4,31,measurement_entropy_change,-0.7916666666666666,0.883627241233132,0.1803696553203628,24
dynamics,L32,32,11,44,0.4,32,half_chain_entropy_density,0.5028409090909092,0.0074929599249521275,0.0015294940399379708,24
dynamics,L32,32,11,44,0.4,32,measurement_entropy_change,-5.5,1.3831281496162493,0.28232985128664,24
dynamics,L48,48,11,44,0.4,0,half_chain_entropy_density,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,1,half_chain_entropy_density,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,1,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,2,half_chain_entropy_density,0.041982323232323225,0.002716975387715047,0.0005546002786335297,24
dynamics,L48,48,11,44,0.4,2,measurement_entropy_change,-3.625,1.1726039399558574,0.23935677693908455,24
dynamics,L48,48,11,44,0.4,3,half_chain_entropy_density,0.041982323232323225,0.002716975387715047,0.0005546002786335297,24
dynamics,L48,48,11,44,0.4,3,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,4,half_chain_entropy_density,0.08254419191919192,0.004024116614366987,0.0008214193642212755,24
dynamics,L48,48,11,44,0.4,4,measurement_entropy_change,-4.333333333333333,1.2394482175782784,0.25300130797240716,24
dynamics,L48,48,11,44,0.4,5,half_chain_entropy_density,0.08254419191919192,0.004024116614366987,0.0008214193642212755,24
dynamics,L48,48,11,44,0.4,5,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L48,48,11,44,0.4,6,half_chain_entropy_density,0.12421085858585858,0.004866152585388466,0.0009932992370605743,24
dynamics,L48,48,11,44,0.4,6,measurement_entropy_change,-3.625,1.4084373085707127,0.2874960617247589,24
dynamics,L48,48,11,44,0.4,7,half_chain_entropy_density,0.12421085858585858,0.004866152585388466,0.0009932992370605743,24
