stage,m,d,L,p,time,observable,mean,standard_deviation,standard_error,realizations
base,3,9,24,0.2975,73,half_chain_entropy,15.75,0.66068747264341,0.23358829607557838,8
base,3,9,24,0.2975,73,tripartite_mutual_information,-11.916666666666668,1.0039604115384766,0.35495360752084687,8
base,3,9,24,0.395,73,half_chain_entropy,11.333333333333334,1.1268723396380222,0.39840953644479793,8
base,3,9,24,0.395,73,tripartite_mutual_information,-7.416666666666667,1.8750661363997314,0.6629359901107549,8
base,3,9,24,0.4925,73,half_chain_entropy,6.5,1.3915846853526148,0.491999483804091,8
base,3,9,24,0.4925,73,tripartite_mutual_information,-2.5833333333333335,0.8116219309075863,0.2869516855522369,8
base,3,9,24,0.5900000000000001,73,half_chain_entropy,2.0416666666666665,1.1606990230986765,0.4103690750748376,8
base,3,9,24,0.5900000000000001,73,tripartite_mutual_information,-0.25,0.38832158167381164,0.137292411841319,8
base,3,9,24,0.6875,73,half_chain_entropy,0.45833333333333326,0.4341567268764397,0.15349758283604314,8
base,3,9,24,0.6875,73,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,24,0.7849999999999999,73,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
base,3,9,24,0.7849999999999999,73,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,24,0.8825000000000001,73,half_chain_entropy,0.0,0.0,0.0,8
base,3,9,24,0.8825000000000001,73,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,24,0.98,73,half_chain_entropy,0.0,0.0,0.0,8
base,3,9,24,0.98,73,tripartite_mutual_information,0.0,0.0,0.0,8
base,5,15,8,0.2,49,half_chain_entropy,13.083333333333332,0.6107502542086027,0.21593282318115536,8
base,5,15,8,0.2,49,tripartite_mutual_information,-10.958333333333334,0.6025738445163695,0.2130420258115866,8
base,5,15,8,0.2975,49,half_chain_entropy,10.708333333333334,0.5756294001779327,0.20351572615808053,8
base,5,15,8,0.2975,49,tripartite_mutual_information,-8.25,0.811621930907586,0.2869516855522368,8
base,5,15,8,0.395,49,half_chain_entropy,8.75,0.3883215816738115,0.1372924118413189,8
base,5,15,8,0.395,49,tripartite_mutual_information,-6.541666666666666,0.5019802057692384,0.17747680376042346,8
base,5,15,8,0.4925,49,half_chain_entropy,6.208333333333334,0.7332792187825949,0.2592533540521734,8
base,5,15,8,0.4925,49,tripartite_mutual_information,-3.8333333333333335,1.0540925533894598,0.37267799624996495,8
