phase,cosine_potential,harmonic_comparator
-0.31499999999999995,-47.53981894570266,-47.519375000000004
-0.31275,-47.57455293419148,-47.5546859375
-0.3105,-47.60904607660766,-47.58974375
-0.3082499999999999,-47.643298198329774,-47.6245484375
-0.30599999999999994,-47.677309125956505,-47.6591
-0.30374999999999996,-47.71107868730762,-47.6933984375
-0.3015,-47.74460671142477,-47.72744375
-0.2992499999999999,-47.777893028572414,-47.761235937500004
-0.29699999999999993,-47.81093747023865,-47.794775
-0.29474999999999996,-47.843739869136044,-47.8280609375
-0.2925,-47.876300059202535,-47.86109375
-0.2902499999999999,-47.90861787560223,-47.893873437500005
-0.2879999999999999,-47.940693154726254,-47.9264
-0.28574999999999995,-47.97252573419357,-47.9586734375
-0.2835,-48.004115452851806,-47.99069375
-0.28125,-48.035462150778095,-48.0224609375
-0.2789999999999999,-48.06656566927984,-48.053975
-0.27674999999999994,-48.09742585089553,-48.0852359375
-0.27449999999999997,-48.12804253939558,-48.11624375
-0.27225,-48.15841557978306,-48.1469984375
-0.2699999999999999,-48.188544818294524,-48.1775
-0.26774999999999993,-48.21843010240077,-48.2077484375
-0.26549999999999996,-48.24807128080759,-48.23774375
-0.26325,-48.27746820345661,-48.2674859375
-0.2609999999999999,-48.30662072152595,-48.296975
-0.2587499999999999,-48.335528687431065,-48.3262109375
-0.25649999999999995,-48.36419195482542,-48.35519375
-0.25425,-48.39261037860131,-48.3839234375
-0.2519999999999999,-48.420783814890505,-48.4124
-0.24974999999999992,-48.44871212106506,-48.4406234375
-0.24749999999999994,-48.47639515573797,-48.468593750000004
-0.24524999999999997,-48.503832778763936,-48.4963109375
-0.243,-48.53102485124005,-48.523775
-0.2407499999999999,-48.55797123550651,-48.5509859375
-0.23849999999999993,-48.58467179514729,-48.57794375
-0.23624999999999996,-48.61112639499087,-48.6046484375
-0.23399999999999999,-48.637334901110904,-48.6311
-0.2317499999999999,-48.66329718082688,-48.6572984375
-0.22949999999999993,-48.689013102704806,-48.68324375
-0.22724999999999995,-48.71448253655789,-48.7089359375
-0.22499999999999998,-48.739705353447164,-48.734375
-0.2227499999999999,-48.76468142568219,-48.7595609375
-0.22049999999999992,-48.78941062682164,-48.78449375
-0.21824999999999994,-48.813892831674,-48.8091734375
-0.21599999999999997,-48.838127916298156,-48.8336
-0.21375,-48.86211575800404,-48.8577734375
-0.2114999999999999,-48.88585623535325,-48.881693750000004
-0.20924999999999994,-48.909349228159684,-48.9053609375
-0.20699999999999996,-48.932594617490096,-48.928775
-0.20475,-48.95559228566478,-48.9519359375
-0.2024999999999999,-48.97834211625807,-48.97484375
-0.20024999999999993,-49.00084399409899,-48.9974984375
-0.19799999999999995,-49.02309780527185,-49.0199
-0.19574999999999998,-49.04510343711678,-49.0420484375
-0.1934999999999999,-49.0668607782303,-49.06394375
-0.19124999999999992,-49.08836971846592,-49.0855859375
-0.18899999999999995,-49.109630148934684,-49.106975
-0.18674999999999997,-49.130641962005704,-49.1281109375
-0.1844999999999999,-49.151405051306725,-49.14899375
-0.1822499999999999,-49.17191931172465,-49.1696234375
-0.17999999999999994,-49.19218463940607,-49.19
-0.17774999999999996,-49.21220093175782,-49.2101234375
-0.1755,-49.231968087447456,-49.22999375
-0.1732499999999999,-49.2514860064038,-49.2496109375
-0.17099999999999993,-49.270754589817415,-49.268975
-0.16874999999999996,-49.28977374014116,-49.2880859375
-0.16649999999999998,-49.308543361090614,-49.30694375
-0.1642499999999999,-49.327063357644604,-49.325548437500004
-0.16199999999999992,-49.34533363604571,-49.3439
-0.15974999999999995,-49.36335410380066,-49.3619984375
-0.15749999999999997,-49.381124669680894,-49.37984375
-0.1552499999999999,-49.39864524372295,-49.3974359375
-0.1529999999999999,-49.41591573722896,-49.414775
-0.15074999999999994,-49.43293606276709,-49.4318609375
-0.14849999999999997,-49.44970613417198,-49.448693750000004
-0.14624999999999988,-49.46622586654518,-49.4652734375
-0.1439999999999999,-49.482495176255576,-49.4816
-0.14174999999999993,-49.498513980939826,-49.4976734375
-0.13949999999999996,-49.514282199502766,-49.51349375
-0.13724999999999998,-49.52979975211781,-49.5290609375
-0.1349999999999999,-49.5450665602274,-49.544375
-0.13274999999999992,-49.56008254654334,-49.5594359375
-0.13049999999999995,-49.574847635047234,-49.57424375
-0.12824999999999998,-49.58936175099086,-49.5887984375
-0.1259999999999999,-49.603624820896535,-49.6031
-0.12374999999999992,-49.61763677255749,-49.6171484375
-0.12149999999999994,-49.63139753503825,-49.63094375
-0.11924999999999997,-49.644907038674994,-49.6444859375
-0.11699999999999988,-49.65816521507588,-49.657775
-0.11474999999999991,-49.671171997121434,-49.6708109375
-0.11249999999999993,-49.68392731896482,-49.68359375
-0.11024999999999996,-49.69643111603227,-49.6961234375
-0.10799999999999998,-49.708683325023344,-49.7084
-0.1057499999999999,-49.72068388391124,-49.7204234375
-0.10349999999999993,-49.73243273194317,-49.73219375
-0.10124999999999995,-49.743929809640605,-49.7437109375
-0.09899999999999998,-49.75517505879963,-49.754975
-0.09674999999999989,-49.76616842249117,-49.7659859375
-0.09449999999999992,-49.77690984506137,-49.77674375
-0.09224999999999994,-49.78739927213178,-49.7872484375
-0.08999999999999997,-49.79763665059971,-49.7975
-0.08774999999999988,-49.807621928638454,-49.8074984375
-0.08549999999999991,-49.81735505569757,-49.81724375
-0.08324999999999994,-49.8268359825031,-49.8267359375
-0.08099999999999996,-49.83606466105789,-49.835975
-0.07874999999999988,-49.84504104464176,-49.8449609375
-0.0764999999999999,-49.853765087811816,-49.85369375
-0.07424999999999993,-49.86223674640258,-49.8621734375
-0.07199999999999995,-49.870455977526305,-49.870400000000004
-0.06974999999999998,-49.87842273957316,-49.8783734375
-0.0674999999999999,-49.88613699221142,-49.88609375
-0.06524999999999992,-49.893598696387706,-49.8935609375
-0.06299999999999994,-49.900807814327145,-49.900775
-0.06074999999999997,-49.907764309533604,-49.9077359375
-0.058499999999999885,-49.91446814678984,-49.914443750000004
-0.05624999999999991,-49.92091929215768,-49.9208984375
-0.05399999999999994,-49.927117712978216,-49.9271
-0.05174999999999996,-49.933063377871974,-49.9330484375
-0.04949999999999988,-49.93875625673902,-49.93874375
-0.0472499999999999,-49.94419632075917,-49.9441859375
-0.04499999999999993,-49.94938354239212,-49.949375
-0.042749999999999955,-49.954317895377564,-49.9543109375
-0.04049999999999987,-49.95899935473535,-49.95899375
-0.038249999999999895,-49.96342789676561,-49.9634234375
-0.03599999999999992,-49.96760349904884,-49.9676
-0.03374999999999995,-49.97152614044607,-49.9715234375
-0.03149999999999997,-49.975195801098955,-49.97519375
-0.029249999999999887,-49.97861246242983,-49.9786109375
-0.026999999999999913,-49.98177610714185,-49.981775
-0.02474999999999994,-49.98468671921907,-49.9846859375
-0.022499999999999964,-49.98734428392654,-49.98734375
-0.02024999999999988,-49.98974878781032,-49.9897484375
-0.017999999999999905,-49.99190021869764,-49.9919
-0.01574999999999993,-49.99379856569687,-49.9937984375
-0.013499999999999956,-49.995443819197625,-49.99544375
-0.011249999999999871,-49.996835970870826,-49.9968359375
-0.008999999999999897,-49.99797501366871,-49.997975
-0.006749999999999923,-49.998860941824866,-49.9988609375
-0.0044999999999999485,-49.9994937508543,-49.99949375
-0.0022499999999998632,-49.9998734375534,-49.9998734375
1.1102230246251565e-16,-50.0,-50.0
0.0022500000000000853,-49.9998734375534,-49.9998734375
0.0045000000000000595,-49.9994937508543,-49.99949375
0.006750000000000034,-49.998860941824866,-49.9988609375
0.009000000000000119,-49.99797501366871,-49.997975
0.011250000000000093,-49.996835970870826,-49.9968359375
0.013500000000000068,-49.995443819197625,-49.99544375
0.015750000000000042,-49.99379856569686,-49.9937984375
0.018000000000000127,-49.99190021869764,-49.9919
0.0202500000000001,-49.98974878781032,-49.9897484375
0.022500000000000075,-49.98734428392654,-49.98734375
0.02475000000000005,-49.98468671921907,-49.9846859375
0.027000000000000135,-49.98177610714185,-49.981775
0.02925000000000011,-49.97861246242983,-49.9786109375
0.031500000000000083,-49.975195801098955,-49.97519375
0.03375000000000006,-49.97152614044607,-49.9715234375
0.03600000000000014,-49.96760349904884,-49.9676
0.03825000000000012,-49.96342789676561,-49.9634234375
0.04050000000000009,-49.95899935473535,-49.95899375
0.042750000000000066,-49.954317895377564,-49.9543109375
0.04500000000000004,-49.94938354239212,-49.949375
0.047250000000000125,-49.94419632075917,-49.9441859375
0.0495000000000001,-49.93875625673902,-49.93874375
0.051750000000000074,-49.933063377871974,-49.9330484375
0.05400000000000005,-49.927117712978216,-49.9271
0.05625000000000013,-49.92091929215768,-49.9208984375
0.05850000000000011,-49.91446814678984,-49.91444375
0.06075000000000008,-49.907764309533604,-49.9077359375
0.06300000000000006,-49.900807814327145,-49.900775
0.06525000000000014,-49.893598696387706,-49.8935609375
0.06750000000000012,-49.88613699221142,-49.88609375
0.06975000000000009,-49.87842273957316,-49.8783734375
0.07200000000000006,-49.870455977526305,-49.8704
0.07425000000000004,-49.86223674640258,-49.8621734375
0.07650000000000012,-49.853765087811816,-49.85369375
0.0787500000000001,-49.84504104464176,-49.8449609375
0.08100000000000007,-49.83606466105788,-49.835975
0.08325000000000005,-49.8268359825031,-49.8267359375
0.08550000000000013,-49.81735505569756,-49.81724375
0.0877500000000001,-49.807621928638454,-49.8074984375
0.09000000000000008,-49.79763665059971,-49.7975
0.09225000000000005,-49.78739927213178,-49.7872484375
0.09450000000000014,-49.77690984506137,-49.77674375
0.09675000000000011,-49.76616842249117,-49.7659859375
0.09900000000000009,-49.75517505879963,-49.754975
0.10125000000000017,-49.743929809640605,-49.7437109375
0.10350000000000004,-49.73243273194317,-49.73219375
0.10575000000000012,-49.72068388391124,-49.7204234375
0.10799999999999998,-49.708683325023344,-49.7084
0.11025000000000007,-49.69643111603227,-49.6961234375
0.11250000000000016,-49.68392731896482,-49.68359375
0.11475000000000002,-49.67117199712143,-49.6708109375
0.1170000000000001,-49.65816521507588,-49.657775
0.11925000000000019,-49.644907038674994,-49.6444859375
0.12150000000000005,-49.63139753503825,-49.63094375
0.12375000000000014,-49.61763677255749,-49.6171484375
0.126,-49.603624820896535,-49.6031
