detuning_MHz,excited_population,derived_mean_photons
-12.0,1.2219591952546203e-05,4.0
-11.99,1.2228135766202792e-05,4.0
-11.98,1.2236691871807402e-05,4.0
-11.97,1.2245260299629342e-05,4.0
-11.96,1.2253841080046243e-05,4.0
-11.95,1.226243424354458e-05,4.0
-11.94,1.2271039820720145e-05,4.0
-11.93,1.2279657842278598e-05,4.0
-11.92,1.2288288339035933e-05,4.0
-11.91,1.2296931341919007e-05,4.0
-11.9,1.230558688196611e-05,4.0
-11.89,1.2314254990327385e-05,4.0
-11.88,1.2322935698265441e-05,4.0
-11.87,1.2331629037155839e-05,4.0
-11.86,1.2340335038487612e-05,4.0
-11.85,1.2349053733863828e-05,4.0
-11.84,1.2357785155002108e-05,4.0
-11.83,1.2366529333735162e-05,4.0
-11.82,1.237528630201132e-05,4.0
-11.81,1.2384056091895132e-05,4.0
-11.8,1.2392838735567824e-05,4.0
-11.79,1.2401634265327936e-05,4.0
-11.78,1.2410442713591818e-05,4.0
-11.77,1.2419264112894228e-05,4.0
-11.76,1.2428098495888849e-05,4.0
-11.75,1.2436945895348897e-05,4.0
-11.74,1.2445806344167652e-05,4.0
-11.73,1.2454679875359053e-05,4.0
-11.72,1.2463566522058256e-05,4.0
-11.71,1.2472466317522204e-05,4.0
-11.7,1.2481379295130251e-05,4.0
-11.69,1.2490305488384678e-05,4.0
-11.68,1.2499244930911328e-05,4.0
-11.67,1.2508197656460179e-05,4.0
-11.66,1.2517163698905943e-05,4.0
-11.65,1.2526143092248665e-05,4.0
-11.64,1.253513587061431e-05,4.0
-11.63,1.2544142068255369e-05,4.0
-11.62,1.2553161719551504e-05,4.0
-11.61,1.256219485901009e-05,4.0
-11.6,1.2571241521266874e-05,4.0
-11.59,1.258030174108661e-05,4.0
-11.58,1.2589375553363628e-05,4.0
-11.57,1.2598462993122501e-05,4.0
-11.56,1.260756409551865e-05,4.0
-11.55,1.2616678895839005e-05,4.0
-11.54,1.2625807429502597e-05,4.0
-11.53,1.2634949732061248e-05,4.0
-11.52,1.2644105839200171e-05,4.0
-11.51,1.2653275786738643e-05,4.0
-11.5,1.2662459610630647e-05,4.0
-11.49,1.2671657346965553e-05,4.0
-11.48,1.2680869031968703e-05,4.0
-11.47,1.2690094702002181e-05,4.0
-11.46,1.2699334393565375e-05,4.0
-11.45,1.2708588143295733e-05,4.0
-11.44,1.271785598796938e-05,4.0
-11.43,1.2727137964501807e-05,4.0
-11.42,1.273643410994858e-05,4.0
-11.41,1.2745744461506028e-05,4.0
-11.4,1.2755069056511868e-05,4.0
-11.39,1.2764407932445978e-05,4.0
-11.38,1.2773761126931058e-05,4.0
-11.37,1.278312867773336e-05,4.0
-11.36,1.2792510622763323e-05,4.0
-11.35,1.28019070000764e-05,4.0
-11.34,1.2811317847873665e-05,4.0
-11.33,1.2820743204502607e-05,4.0
-11.32,1.2830183108457795e-05,4.0
-11.31,1.283963759838167e-05,4.0
-11.3,1.2849106713065222e-05,4.0
-11.29,1.2858590491448758e-05,4.0
-11.28,1.2868088972622646e-05,4.0
-11.27,1.2877602195828035e-05,4.0
-11.26,1.2887130200457633e-05,4.0
-11.25,1.289667302605644e-05,4.0
-11.24,1.2906230712322536e-05,4.0
-11.23,1.2915803299107809e-05,4.0
-11.22,1.2925390826418775e-05,4.0
-11.21,1.2934993334417274e-05,4.0
-11.2,1.2944610863421343e-05,4.0
-11.19,1.2954243453905903e-05,4.0
-11.18,1.2963891146503627e-05,4.0
-11.17,1.2973553982005695e-05,4.0
-11.16,1.2983232001362585e-05,4.0
-11.15,1.2992925245684892e-05,4.0
-11.14,1.3002633756244131e-05,4.0
-11.13,1.301235757447353e-05,4.0
-11.12,1.3022096741968904e-05,4.0
-11.11,1.3031851300489389e-05,4.0
-11.1,1.3041621291958342e-05,4.0
-11.09,1.3051406758464143e-05,4.0
-11.08,1.3061207742261039e-05,4.0
-11.07,1.3071024285769973e-05,4.0
-11.06,1.3080856431579451e-05,4.0
-11.05,1.3090704222446394e-05,4.0
-11.04,1.3100567701296952e-05,4.0
-11.03,1.3110446911227452e-05,4.0
-11.02,1.3120341895505173e-05,4.0
-11.01,1.313025269756928e-05,4.0
-11.0,1.3140179361031693e-05,4.0
-10.99,1.315012192967795e-05,4.0
-10.98,1.3160080447468117e-05,4.0
-10.97,1.3170054958537686e-05,4.0
-10.96,1.3180045507198445e-05,4.0
-10.95,1.3190052137939434e-05,4.0
-10.94,1.3200074895427807e-05,4.0
-10.93,1.3210113824509784e-05,4.0
-10.92,1.3220168970211572e-05,4.0
-10.91,1.3230240377740269e-05,4.0
-10.9,1.324032809248482e-05,4.0
-10.89,1.325043216001696e-05,4.0
-10.879999999999999,1.326055262609215e-05,4.0
-10.87,1.3270689536650534e-05,4.0
-10.86,1.3280842937817891e-05,4.0
-10.85,1.3291012875906618e-05,4.0
-10.84,1.330119939741669e-05,4.0
-10.83,1.3311402549036624e-05,4.0
-10.82,1.3321622377644469e-05,4.0
-10.81,1.3331858930308819e-05,4.0
-10.8,1.3342112254289779e-05,4.0
-10.79,1.3352382397039962e-05,4.0
-10.78,1.3362669406205533e-05,4.0
-10.77,1.3372973329627196e-05,4.0
-10.76,1.3383294215341201e-05,4.0
-10.75,1.3393632111580403e-05,4.0
-10.74,1.3403987066775294e-05,4.0
-10.73,1.3414359129555005e-05,4.0
-10.72,1.3424748348748408e-05,4.0
-10.71,1.3435154773385107e-05,4.0
-10.7,1.3445578452696564e-05,4.0
-10.69,1.3456019436117108e-05,4.0
-10.68,1.3466477773285039e-05,4.0
-10.67,1.347695351404371e-05,4.0
-10.66,1.3487446708442597e-05,4.0
-10.65,1.3497957406738417e-05,4.0
-10.64,1.3508485659396193e-05,4.0
-10.629999999999999,1.3519031517090404e-05,4.0
-10.62,1.3529595030706064e-05,4.0
-10.61,1.354017625133988e-05,4.0
-10.6,1.3550775230301335e-05,4.0
-10.59,1.3561392019113893e-05,4.0
-10.58,1.3572026669516059e-05,4.0
-10.57,1.3582679233462603e-05,4.0
-10.56,1.3593349763125668e-05,4.0
-10.55,1.3604038310895982e-05,4.0
-10.54,1.3614744929384002e-05,4.0
-10.53,1.3625469671421078e-05,4.0
-10.52,1.3636212590060703e-05,4.0
-10.51,1.3646973738579643e-05,4.0
-10.5,1.3657753170479182e-05,4.0
-10.49,1.3668550939486334e-05,4.0
-10.48,1.367936709955505e-05,4.0
-10.47,1.3690201704867436e-05,4.0
-10.46,1.3701054809835017e-05,4.0
-10.45,1.3711926469099961e-05,4.0
-10.44,1.3722816737536336e-05,4.0
-10.43,1.3733725670251385e-05,4.0
-10.42,1.3744653322586756e-05,4.0
-10.41,1.3755599750119847e-05,4.0
-10.4,1.3766565008665007e-05,4.0
-10.39,1.37775491542749e-05,4.0
-10.379999999999999,1.3788552243241775e-05,4.0
-10.37,1.3799574332098772e-05,4.0
-10.36,1.3810615477621261e-05,4.0
-10.35,1.3821675736828159e-05,4.0
-10.34,1.3832755166983273e-05,4.0
-10.33,1.3843853825596643e-05,4.0
-10.32,1.385497177042589e-05,4.0
-10.31,1.3866109059477575e-05,4.0
-10.3,1.387726575100862e-05,4.0
-10.29,1.3888441903527605e-05,4.0
-10.28,1.389963757579624e-05,4.0
-10.27,1.3910852826830715e-05,4.0
-10.26,1.392208771590314e-05,4.0
-10.25,1.3933342302542926e-05,4.0
-10.24,1.3944616646538259e-05,4.0
-10.23,1.3955910807937519e-05,4.0
-10.22,1.3967224847050704e-05,4.0
-10.21,1.3978558824450915e-05,4.0
-10.2,1.398991280097583e-05,4.0
-10.19,1.4001286837729149e-05,4.0
-10.18,1.4012680996082105e-05,4.0
-10.17,1.402409533767495e-05,4.0
-10.16,1.4035529924418473e-05,4.0
-10.15,1.4046984818495492e-05,4.0
-10.14,1.405846008236241e-05,4.0
-10.129999999999999,1.4069955778750748e-05,4.0
-10.12,1.4081471970668666e-05,4.0
-10.11,1.4093008721402544e-05,4.0
-10.1,1.410456609451856e-05,4.0
-10.09,1.4116144153864239e-05,4.0
-10.08,1.4127742963570071e-05,4.0
-10.07,1.4139362588051084e-05,4.0
-10.06,1.4151003092008485e-05,4.0
-10.05,1.4162664540431263e-05,4.0
-10.04,1.4174346998597835e-05,4.0
-10.03,1.4186050532077667e-05,4.0
-10.02,1.4197775206732966e-05,4.0
-10.01,1.4209521088720314e-05,4.0
-10.0,1.4221288244492361e-05,4.0
-9.99,1.4233076740799524e-05,4.0
-9.98,1.4244886644691667e-05,4.0
-9.969999999999999,1.4256718023519841e-05,4.0
-9.96,1.426857094493797e-05,4.0
-9.95,1.4280445476904633e-05,4.0
-9.94,1.429234168768478e-05,4.0
-9.93,1.4304259645851505e-05,4.0
-9.92,1.4316199420287817e-05,4.0
-9.91,1.4328161080188434e-05,4.0
-9.9,1.4340144695061571e-05,4.0
-9.89,1.4352150334730732e-05,4.0
-9.879999999999999,1.4364178069336574e-05,4.0
-9.870000000000001,1.4376227969338705e-05,4.0
-9.86,1.4388300105517561e-05,4.0
-9.85,1.4400394548976241e-05,4.0
-9.84,1.4412511371142385e-05,4.0
-9.83,1.4424650643770091e-05,4.0
-9.82,1.4436812438941752e-05,4.0
-9.81,1.444899682907003e-05,4.0
-9.8,1.446120388689978e-05,4.0
-9.79,1.447343368550993e-05,4.0
-9.78,1.4485686298315493e-05,4.0
-9.77,1.4497961799069507e-05,4.0
-9.76,1.451026026186503e-05,4.0
-9.75,1.4522581761137127e-05,4.0
-9.74,1.4534926371664869e-05,4.0
-9.73,1.4547294168573369e-05,4.0
-9.719999999999999,1.455968522733584e-05,4.0
-9.71,1.4572099623775575e-05,4.0
-9.7,1.4584537434068092e-05,4.0
-9.69,1.459699873474319e-05,4.0
-9.68,1.4609483602686993e-05,4.0
-9.67,1.4621992115144154e-05,4.0
-9.66,1.4634524349719905e-05,4.0
-9.65,1.464708038438221e-05,4.0
-9.64,1.4659660297463944e-05,4.0
-9.629999999999999,1.4672264167665056e-05,4.0
-9.620000000000001,1.4684892074054734e-05,4.0
-9.61,1.4697544096073638e-05,4.0
-9.6,1.4710220313536081e-05,4.0
-9.59,1.4722920806632297e-05,4.0
-9.58,1.4735645655930674e-05,4.0
-9.57,1.474839494238001e-05,4.0
-9.56,1.4761168747311812e-05,4.0
-9.55,1.4773967152442587e-05,4.0
-9.54,1.4786790239876144e-05,4.0
-9.53,1.479963809210595e-05,4.0
-9.52,1.4812510792017453e-05,4.0
-9.51,1.4825408422890456e-05,4.0
-9.5,1.4838331068401502e-05,4.0
-9.49,1.4851278812626272e-05,4.0
-9.48,1.4864251740041997e-05,4.0
-9.469999999999999,1.4877249935529906e-05,4.0
-9.46,1.4890273484377619e-05,4.0
-9.45,1.4903322472281723e-05,4.0
-9.44,1.4916396985350152e-05,4.0
-9.43,1.4929497110104749e-05,4.0
-9.42,1.4942622933483795e-05,4.0
-9.41,1.4955774542844509e-05,4.0
-9.4,1.4968952025965641e-05,4.0
-9.39,1.498215547105004e-05,4.0
-9.379999999999999,1.4995384966727265e-05,4.0
-9.370000000000001,1.5008640602056155e-05,4.0
-9.36,1.5021922466527553e-05,4.0
-9.35,1.5035230650066852e-05,4.0
-9.34,1.5048565243036773e-05,4.0
-9.33,1.5061926336239974e-05,4.0
-9.32,1.5075314020921815e-05,4.0
-9.31,1.5088728388773095e-05,4.0
-9.3,1.5102169531932765e-05,4.0
-9.29,1.5115637542990746e-05,4.0
-9.28,1.5129132514990689e-05,4.0
-9.27,1.5142654541432829e-05,4.0
-9.26,1.5156203716276767e-05,4.0
-9.25,1.5169780133944392e-05,4.0
-9.24,1.5183383889322718e-05,4.0
-9.23,1.5197015077766796e-05,4.0
-9.219999999999999,1.5210673795102632e-05,4.0
-9.21,1.5224360137630125e-05,4.0
-9.2,1.5238074202126059e-05,4.0
