x,potential,energy_0,energy_1,energy_2,energy_3
-4.0,8.0,0.5,1.5,2.5,3.5
-3.99,7.960050000000001,0.5,1.5,2.5,3.5
-3.98,7.9202,0.5,1.5,2.5,3.5
-3.97,7.880450000000001,0.5,1.5,2.5,3.5
-3.96,7.8408,0.5,1.5,2.5,3.5
-3.95,7.8012500000000005,0.5,1.5,2.5,3.5
-3.94,7.7618,0.5,1.5,2.5,3.5
-3.93,7.72245,0.5,1.5,2.5,3.5
-3.92,7.683199999999999,0.5,1.5,2.5,3.5
-3.91,7.644050000000001,0.5,1.5,2.5,3.5
-3.9,7.6049999999999995,0.5,1.5,2.5,3.5
-3.89,7.566050000000001,0.5,1.5,2.5,3.5
-3.88,7.5272,0.5,1.5,2.5,3.5
-3.87,7.48845,0.5,1.5,2.5,3.5
-3.86,7.4498,0.5,1.5,2.5,3.5
-3.85,7.411250000000001,0.5,1.5,2.5,3.5
-3.84,7.3728,0.5,1.5,2.5,3.5
-3.83,7.33445,0.5,1.5,2.5,3.5
-3.82,7.2962,0.5,1.5,2.5,3.5
-3.81,7.25805,0.5,1.5,2.5,3.5
-3.8,7.22,0.5,1.5,2.5,3.5
-3.79,7.18205,0.5,1.5,2.5,3.5
-3.78,7.1442,0.5,1.5,2.5,3.5
-3.77,7.10645,0.5,1.5,2.5,3.5
-3.76,7.0687999999999995,0.5,1.5,2.5,3.5
-3.75,7.03125,0.5,1.5,2.5,3.5
-3.74,6.993800000000001,0.5,1.5,2.5,3.5
-3.73,6.95645,0.5,1.5,2.5,3.5
-3.7199999999999998,6.919199999999999,0.5,1.5,2.5,3.5
-3.71,6.88205,0.5,1.5,2.5,3.5
-3.7,6.845000000000001,0.5,1.5,2.5,3.5
-3.69,6.80805,0.5,1.5,2.5,3.5
-3.68,6.7712,0.5,1.5,2.5,3.5
-3.67,6.73445,0.5,1.5,2.5,3.5
-3.66,6.697800000000001,0.5,1.5,2.5,3.5
-3.65,6.66125,0.5,1.5,2.5,3.5
-3.64,6.6248000000000005,0.5,1.5,2.5,3.5
-3.63,6.58845,0.5,1.5,2.5,3.5
-3.62,6.5522,0.5,1.5,2.5,3.5
-3.61,6.51605,0.5,1.5,2.5,3.5
-3.6,6.48,0.5,1.5,2.5,3.5
-3.59,6.44405,0.5,1.5,2.5,3.5
-3.58,6.4082,0.5,1.5,2.5,3.5
-3.57,6.37245,0.5,1.5,2.5,3.5
-3.56,6.3368,0.5,1.5,2.5,3.5
-3.55,6.30125,0.5,1.5,2.5,3.5
-3.54,6.2658000000000005,0.5,1.5,2.5,3.5
-3.53,6.230449999999999,0.5,1.5,2.5,3.5
-3.52,6.1952,0.5,1.5,2.5,3.5
-3.51,6.160049999999999,0.5,1.5,2.5,3.5
-3.5,6.125,0.5,1.5,2.5,3.5
-3.49,6.090050000000001,0.5,1.5,2.5,3.5
-3.48,6.0552,0.5,1.5,2.5,3.5
-3.4699999999999998,6.020449999999999,0.5,1.5,2.5,3.5
-3.46,5.9858,0.5,1.5,2.5,3.5
-3.45,5.951250000000001,0.5,1.5,2.5,3.5
-3.44,5.916799999999999,0.5,1.5,2.5,3.5
-3.4299999999999997,5.882449999999999,0.5,1.5,2.5,3.5
-3.42,5.848199999999999,0.5,1.5,2.5,3.5
-3.41,5.814050000000001,0.5,1.5,2.5,3.5
-3.4,5.779999999999999,0.5,1.5,2.5,3.5
-3.39,5.74605,0.5,1.5,2.5,3.5
-3.38,5.712199999999999,0.5,1.5,2.5,3.5
-3.37,5.678450000000001,0.5,1.5,2.5,3.5
-3.36,5.644799999999999,0.5,1.5,2.5,3.5
-3.35,5.61125,0.5,1.5,2.5,3.5
-3.34,5.5778,0.5,1.5,2.5,3.5
-3.33,5.54445,0.5,1.5,2.5,3.5
-3.32,5.5112,0.5,1.5,2.5,3.5
-3.31,5.4780500000000005,0.5,1.5,2.5,3.5
-3.3,5.444999999999999,0.5,1.5,2.5,3.5
-3.29,5.41205,0.5,1.5,2.5,3.5
-3.2800000000000002,5.379200000000001,0.5,1.5,2.5,3.5
