t_us,omega1_MHz,omega2_MHz,delta1_MHz,delta2_MHz,P00,P01,P11,phi00_rad,phi01_rad,phi11_rad
0.000000000000000000e+00,-1.496727272727780460e-03,-2.181818181818304635e-03,1.813599999999999923e+01,1.860199999999999676e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000130e-04,-1.016802528019944418e-05,-1.482219428584518352e-05,1.813566189824134511e+01,1.860170433155388992e+01,9.999999999961368680e-01,9.999999999879276569e-01,9.999999999797186678e-01,3.845591395602331887e-14,1.222723146873162990e-13,2.060887154186121758e-13
1.250000000000000026e-03,4.446842276740081701e-03,6.482277371341993444e-03,1.813464677941521686e+01,1.860081644083922470e+01,9.999999999963080644e-01,9.999999999884550128e-01,9.999999999806024054e-01,-5.346047263755936496e-13,-1.699677828151370564e-12,-2.864750929927173631e-12
1.874999999999999931e-03,1.186631636301527237e-02,1.729783726387108117e-02,1.813295220395702501e+01,1.859933367289123751e+01,9.999999996955286630e-01,9.999999990484864654e-01,9.999999984014449339e-01,1.257801353198588000e-12,4.001433396486210458e-12,6.745065439773722652e-12
2.500000000000000052e-03,2.223499218823991874e-02,3.241252505574373360e-02,1.813057410954444748e+01,1.859725160664808286e+01,9.999999974582947093e-01,9.999999920574653700e-01,9.999999866566366968e-01,5.179190442724280936e-11,1.646844097681254479e-10,2.775769151090078214e-10
3.125000000000000173e-03,3.553440770130953524e-02,5.179942813602054358e-02,1.812750681652136109e+01,1.859456406076584400e+01,9.999999886522494830e-01,9.999999645421043803e-01,9.999999404319601659e-01,3.523075255204373639e-10,1.120171096508698325e-09,1.888034667496956908e-09
3.749999999999999861e-03,5.174100484710462966e-02,7.542420531647898996e-02,1.812374303548343590e+01,1.859126310175082608e+01,9.999999633637274288e-01,9.999998855330325398e-01,9.999998077023438681e-01,1.475892854898682739e-09,4.692397245329108778e-09,7.908901635759530680e-09
4.375000000000000416e-03,7.082626213090087441e-02,1.032452800741999466e-01,1.811927387701731362e+01,1.858733905440090339e+01,9.999999035424126381e-01,9.999996986536285881e-01,9.999994937648869486e-01,4.721552565143864335e-09,1.501071623532419889e-08,2.529987990550448794e-08
5.000000000000000104e-03,9.275685489137823481e-02,1.352140741856829309e-01,1.811408886358318426e+01,1.858278051454471935e+01,9.999997796341996148e-01,9.999993116189710429e-01,9.999988436039616291e-01,1.263392911743571966e-08,4.016329845547023842e-08,6.769266779350389857e-08
5.624999999999999792e-03,1.174948422494526551e-01,1.712752802470164926e-01,1.810817594352825921e+01,1.857757436406555840e+01,9.999995467720029785e-01,9.999985843667161811e-01,9.999976219623556428e-01,2.971363031374001610e-08,9.445353362016976377e-08,1.591934369265904985e-07
6.250000000000000347e-03,1.449978795280597588e-01,2.113671713237023908e-01,1.810152150721641462e+01,1.857170578819403417e+01,9.999991406035285690e-01,9.999973160711578268e-01,9.999954915421159773e-01,6.333895446317656873e-08,2.013269587083945583e-07,3.393149629535447322e-07
6.875000000000000035e-03,1.752194547734992613e-01,2.554219457339654276e-01,1.809411040525700187e+01,1.856515829505145376e+01,9.999984728427233627e-01,9.999952313161580841e-01,9.999919898000998453e-01,1.249151886242535388e-07,3.970193950665560042e-07,6.691236015084518937e-07
7.499999999999999722e-03,2.081091478531379713e-01,3.033661047421844503e-01,1.808592596881369730e+01,1.855791373742348327e+01,9.999974266375735166e-01,9.999919657216184143e-01,9.999865048354849018e-01,2.312626856289045394e-07,7.349610112504535336e-07,1.238659336869957446e-06
8.125000000000000278e-03,2.436129104581661875e-01,3.551208607261906458e-01,1.807695003197200734e+01,1.854995233674103972e+01,9.999958518510870809e-01,9.999870513313858789e-01,9.999782508891336130e-01,4.062497097931002730e-07,1.290954285226452229e-06,2.175658860650916056e-06
8.750000000000000833e-03,2.816733652045505520e-01,4.106025731844761273e-01,1.806716295614188184e+01,1.854125270924349778e+01,9.999935603545344609e-01,9.999799020777021541e-01,9.999662439874190678e-01,6.826706921386031047e-07,2.169126689603016998e-06,3.655582687033282228e-06
9.374999999999999653e-03,3.222301219013247731e-01,4.697232097686946939e-01,1.805654365646977766e+01,1.853179189429656404e+01,9.999903214323451195e-01,9.999697996384953047e-01,9.999492782657937173e-01,1.104365168725162936e-06,3.508641744326742937e-06,5.912918319810409599e-06
1.000000000000000021e-02,3.652201089435488379e-01,5.323908293637752420e-01,1.804506963023239408e+01,1.852154538483521762e+01,9.999858573964727215e-01,9.999558799989657354e-01,9.999259035001167861e-01,1.728567405163763957e-06,5.491135250281660904e-06,9.253703095028635559e-06
1.062500000000000076e-02,4.105779176885132609e-01,5.985100840940436040e-01,1.803271698718209137e+01,1.851048715989958282e+01,9.999798395045774724e-01,9.999371210182690373e-01,9.998944043568682716e-01,2.628471648437126996e-06,8.348827402695124035e-06,1.406918315587841033e-05
1.124999999999999958e-02,4.582361575885577909e-01,6.679827370095603456e-01,1.801946048181216398e+01,1.849858971922986228e+01,9.999718842711426969e-01,9.999123312858798629e-01,9.998527818472797701e-01,3.895993200132472091e-06,1.237324643491979822e-05,2.085049966681295930e-05
1.187500000000000014e-02,5.081258197829008338e-01,7.407081921033540350e-01,1.800527354750789399e+01,1.848582411988362040e+01,9.999615502537578804e-01,9.998801405308842538e-01,9.997987374358204837e-01,5.644701171421637378e-06,1.792448578334564436e-05,3.020427038797040675e-05
1.250000000000000069e-02,5.601766467944726546e-01,8.165840332280939196e-01,1.799012833254743526e+01,1.847216001483726089e+01,9.999483353884042192e-01,9.998389918214364291e-01,9.997296602111281905e-01,8.012894947660352351e-06,2.544090477936460649e-05,4.286891459371608627e-05
1.312499999999999951e-02,6.143175059363782387e-01,8.955065684203766807e-01,1.797399573791458138e+01,1.845756569353090271e+01,9.999316749378790448e-01,9.997871357615489840e-01,9.996426174782763185e-01,1.116679313510106601e-05,3.544917280747052798e-05,5.973155244073516726e-05
1.375000000000000007e-02,6.704767640064982492e-01,9.773713761027674751e-01,1.795684545688354916e+01,1.844200812431419934e+01,9.999109401066752500e-01,9.997226268588935705e-01,9.995343490762688132e-01,1.530380114574411774e-05,4.857454891282715826e-05,8.184529659596313507e-05
1.437500000000000062e-02,7.285826608380661096e-01,1.062073849618172305e+00,1.793864601633404376e+01,1.842545299874832310e+01,9.998854373639137760e-01,9.996433222010560060e-01,9.994012656649118309e-01,2.065582164532871076e-05,6.555128313515844922e-05,1.104467444525567081e-04
1.499999999999999944e-02,7.885636792789451066e-01,1.149509736558229855e+00,1.791936481975300310e+01,1.840786477771755258e+01,9.998544085035889761e-01,9.995468825394782098e-01,9.992394511618502007e-01,2.749257087423425121e-05,8.723302246857278866e-05,1.469734737226398953e-04
1.562500000000000000e-02,8.503489091927085575e-01,1.239575669377126710e+00,1.789896819187764976e+01,1.838920673930200422e+01,9.998170314585931306e-01,9.994307758408638165e-01,9.990446694448136267e-01,3.612486336527790591e-05,1.146031033192162606e-04,1.930813426255863262e-04
1.625000000000000056e-02,9.138684031103910810e-01,1.332169683834389939e+00,1.787742142493268105e+01,1.836944102836100612e+01,9.997724218720833722e-01,9.992922833258712778e-01,9.988123753670536953e-01,4.690782782297821333e-05,1.487846136156388544e-04,2.506613982154464620e-04
1.687500000000000111e-02,9.790535212128136378e-01,1.427191721884567777e+00,1.785468882641284694e+01,1.834852870777489997e+01,9.997196354168913501e-01,9.991285079752237896e-01,9.985377300668442091e-01,6.024401787638393419e-05,1.910501112249319156e-04,3.218562024389852016e-04
1.750000000000000167e-02,1.045837263389201466e+00,1.524544115727698879e+00,1.783073376836028956e+01,1.832642981129136217e+01,9.996576708411633039e-01,9.989363854446269286e-01,9.982156204857738357e-01,7.658638303709284936e-05,2.428308908931324365e-04,4.090753950254194483e-04
1.812499999999999875e-02,1.114154586198212060e+00,1.624132049851621407e+00,1.780551873808466468e+01,1.830310339792044871e+01,9.995854737064214790e-01,9.987126972927357071e-01,9.978406829465336081e-01,9.644106743634975158e-05,3.057256993665930845e-04,5.150103249400493589e-04
1.874999999999999931e-02,1.183942702651856527e+00,1.725863998034776081e+00,1.777900539027234217e+01,1.827850760782099115e+01,9.995019407729915928e-01,9.984540863915289943e-01,9.974073305798981659e-01,1.203700067181154179e-04,3.815088074280201355e-04,6.426475974797719176e-04
1.937499999999999986e-02,1.255141362850540121e+00,1.829652132435189760e+00,1.775115460042951554e+01,1.825259971961944672e+01,9.994059249774431830e-01,9.981570743562879766e-01,9.969097843336325315e-01,1.489932967558880257e-04,4.721373580313130078e-04,7.952814016898598730e-04
2.000000000000000042e-02,1.327693113618056087e+00,1.935412702067137891e+00,1.772192651960268606e+01,1.822533620910060037e+01,9.992962409374264166e-01,9.978180808034627924e-01,9.963421072438393145e-01,1.829913115582326873e-04,5.797579212550123522e-04,9.765245021419029182e-04
2.062500000000000097e-02,1.401543535417887343e+00,2.043066378160185437e+00,1.769128063031852349e+01,1.819667280920818797e+01,9.991716709112968831e-01,9.974334442194083827e-01,9.956982416026129989e-01,2.231065517434082735e-04,7.067121991128704709e-04,1.190317799713801238e-03
2.125000000000000153e-02,1.476641454975940126e+00,2.152538564104869323e+00,1.765917580368373763e+01,1.816656457129193569e+01,9.990309711331927245e-01,9.969994442015975844e-01,9.949720486153169619e-01,2.701452092051000848e-04,8.555418360543142397e-04,1.440938387328441353e-03
2.187500000000000208e-02,1.552939132188909666e+00,2.263759667913862295e+00,1.762557035758448976e+01,1.813496592753638836e+01,9.988728784389313553e-01,9.965123248166904979e-01,9.941573501069119745e-01,3.249784379654203502e-04,1.028992303952855347e-03,1.733006048119149550e-03
2.249999999999999917e-02,1.630392420060892800e+00,2.376665335365734322e+00,1.759042211592350569e+01,1.810183075450522594e+01,9.986961170941788257e-01,9.959683188068745308e-01,9.932479718098515820e-01,3.885433256251449950e-04,1.230015843223057235e-03,2.071488164698394047e-03
