t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.5837917664003645e-14,-0.0009090909090900824,-4.03,-2.0
0.000625,0.999999999784696,0.9999999995601234,0.9999999993355513,7.890501585450238e-10,1.6119892087829157e-09,2.434927814931598e-09,0.14247578109480102,0.14596072831538592,-4.03,-2.0
0.00125,0.9999999960150199,0.9999999919915874,0.9999999879681529,2.5351831300923777e-08,5.218168119824895e-08,7.901153065148492e-08,0.5693566994560978,0.5860405146037083,-4.03,-2.0
0.001875,0.9999999751151559,0.9999999509666827,0.9999999268182012,1.92215673155971e-07,3.962520787048618e-07,6.002884833655742e-07,1.2790064404836001,1.3177446526096075,-4.03,-2.0
0.0025,0.9999999005616997,0.9999998075533726,0.9999997145450489,8.073373778394455e-07,1.6655215366867537e-06,2.5237057030835786e-06,2.26870766333289,2.3384417563511875,-4.03,-2.0
0.003125,0.9999996924369762,0.9999994133553997,0.9999991342738921,2.4526554698311998e-06,5.062432476332646e-06,7.672209497489035e-06,3.534676716491695,3.6444715479020355,-4.03,-2.0
0.00375,0.9999991995611534,0.9999984902296092,0.9999977808986135,6.068546035908895e-06,1.2531941936622104e-05,1.8995337847549365e-05,5.072084120633721,5.231168326704986,-4.03,-2.0
0.004375,0.9999981648981379,0.9999965677291481,0.9999949705627904,1.302833326821684e-05,2.691787928732481e-05,4.0807425306876866e-05,6.8750807006419405,7.092890869936494,-4.03,-2.0
0.005,0.9999961850912793,0.9999929096689789,0.9999896342574834,2.5203179655708396e-05,5.2100651913189466e-05,7.89981241142712e-05,8.936829216149775,9.22305856057735,-4.03,-2.0
0.005625,0.9999926651570524,0.9999864315218884,0.999980197925549,4.501589057070987e-05,9.311348881135828e-05,0.00014121108696363294,11.249541308295626,11.614193497422516,-4.03,-2.0
0.00625,0.9999867695348233,0.9999756106987507,0.9999644519869889,7.54823957827e-05,0.00015623486088278682,0.00023698732594112926,13.80451954981109,14.257968300473019,-4.03,-2.0
0.006875,0.9999773708267494,0.9999583920471196,0.9999394136273921,0.00012023990610465773,0.0002490551575267119,0.00037787040897940827,16.592204356248565,17.145259286262153,-4.03,-2.0
0.0075,0.9999629976318067,0.9999320910184353,0.999901185360196,0.0001835609921663206,0.00038051615244638626,0.0005774713129089726,19.60222548826814,20.266204650942175,-4.03,-2.0
0.008125,0.9999417828798846,0.9998932968991897,0.9998448132696045,0.00027035310764844667,0.0005609223069682479,0.0008514915065171991,22.82345784861703,23.610267264636384,-4.03,-2.0
0.00875,0.9999114140385816,0.9998377783729108,0.9997641481304541,0.0003861433877045961,0.0008019235671659075,0.0012177037467280272,26.24408125289664,27.166301648876164,-4.03,-2.0
0.009375,0.9998690865383822,0.9997603936209307,0.999651712519822,0.0005370488825664488,0.0011164699848129622,0.0016958910869546706,29.85164383057212,30.922624680107962,-4.03,-2.0
0.01,0.9998114617640997,0.9996550072491595,0.999498577217108,0.0007297327075415083,0.0015187391479196677,0.0023077455879105813,33.63312869206377,34.86708953645896,-4.03,-2.0
0.010625,0.9997346309631613,0.9995144164763643,0.999294250496519,0.0009713468728720365,0.002024037954186042,0.003076729035049741,37.57502347929872,38.98716238237447,-4.03,-2.0
0.01125,0.9996340863714296,0.9993302890564394,0.9990265840669652,0.0012694627900473598,0.0026486806654513195,0.004027898540736263,41.663392400890686,43.27000126653187,-4.03,-2.0
0.011875,0.999504700707814,0.9990931151754261,0.9986816991283595,0.0016319906487742841,0.003409845491372465,0.005187700334122525,45.8839503392633,47.702536692729694,-4.03,-2.0
0.0125,0.9993407159437104,0.9987921750514708,0.9982439352539673,0.0020670890511160778,0.004325412264850392,0.006583735479045227,50.222138605606816,52.271553311354296,-4.03,-2.0
0.013125,0.999135741974497,0.9984155233510383,0.9976958238906419,0.0025830664929831215,0.005413784161944157,0.008244501830958928,54.663201909633024,56.963772170625376,-4.03,-2.0
0.01375,0.9988827655890468,0.9979499910727272,0.9970180875966189,0.0031882764891557613,0.006693696864620957,0.01019911723841993,59.19226610471496,61.7659329621774,-4.03,-2.0
0.014375,0.9985741699930675,0.9973812053923056,0.9961896659823968,0.003891008303352539,0.0081840189470066,0.012477029585755695,63.794416265204674,66.66487569468164,-4.03,-2.0
0.015,0.9982017650691549,0.996693628052871,0.9951877695945991,0.004699375327069433,0.009903547446935335,0.015107719555051968,68.45477465153233,71.64762123216809,-4.03,-2.0
0.015625,0.997756828458434,0.9958706129362842,0.9939879631826685,0.005621203132558872,0.01187080248564687,0.018120401812976805,73.15857812010954,76.70145014045183,-4.03,-2.0
0.01625,0.9972301573428816,0.9948944831740557,0.9925642794494918,0.006663919130072582,0.014103824501473294,0.021543729816808632,77.89125453907467,81.81397929556844,-4.03,-2.0
0.016875,0.9966121304770795,0.9937466274526318,0.990889363284598,0.00783444564496838,0.016619977316125745,0.02540550886704418,82.63849777750723,86.97323572231733,-4.03,-2.0
0.0175,0.9958927796340783,0.9924076142205146,0.9889346449611274,0.00913909814466729,0.019435760043168937,0.02973242168984047,87.38634084485385,92.16772714880878,-4.03,-2.0
0.018125,0.9950618693223269,0.9908573217233009,0.9866705394758362,0.01058349029168415,0.022566630800591625,0.034549770796487245,92.12122676889575,97.3865087842072,-4.03,-2.0
0.01875,0.9941089834987077,0.989075081506912,0.9840666687437152,0.012172447447034607,0.026026845207586913,0.03988124195534093,96.8300768145795,102.61924585151982,-4.03,-2.0
0.019375,0.9930236180332102,0.9870398332692212,0.9810921037560189,0.013909930116859481,0.029829312503769856,0.04574869294889128,101.50035566233215,107.85627143514519,-4.03,-2.0
0.02,0.991795277768651,0.9847302894159788,0.97771562460162,0.015798968600958307,0.0339854716785184,0.052171971133848416,106.1201331830041,113.0886392337936,-4.03,-2.0
0.020625,0.9904135770233823,0.9821251078806069,0.9739059965874027,0.017841609775758993,0.03850518926372759,0.05916876216021505,110.67814246719838,118.30817084312089,-4.03,-2.0
0.02125,0.9888683422069072,0.9792030713963761,0.9696322600584582,0.020038876593668764,0.04339667960283089,0.06675447089057363,115.1638337893456,123.50749722876948,-4.03,-2.0
0.021875000000000002,0.9871497149384147,0.9759432705684339,0.9648640300123725,0.02239074060448054,0.04866644776894535,0.07494213453940635,119.56742421131581,128.68009408924473,-4.03,-2.0
0.0225,0.9852482538015939,0.9723252871961621,0.9595718000310399,0.02489610762796879,0.05431925500649504,0.08374236762288145,123.87994255648918,133.82031084893012,-4.03,-2.0
0.023125,0.9831550328269276,0.9683293739577716,0.9537272443600745,0.0275528166109984,0.060358106550985724,0.09316333838773705,128.09326951286548,138.923393064292,-4.03,-2.0
0.02375,0.9808617350052171,0.9639366270525145,0.9473035126388831,0.030357651598524438,0.0667842617329013,0.1032107765373147,132.20017265282428,143.98549807066783,-4.03,-2.0
0.024375,0.9783607395120809,0.9591291494282426,0.9402755134992926,0.03330636655717667,0.0735972660289006,0.11388801182601016,136.1943361873654,149.00370374268974,-4.03,-2.0
0.025,0.9756452016624181,0.9538902033042465,0.9326201849399667,0.03639372249145456,0.08079500413265173,0.12519604215204172,140.07038530389175,153.97601028806073,-4.03,-2.0
0.025625000000000002,0.9727091247562999,0.9482043511281523,0.9243167500905508,0.039613535956282586,0.08837377228953391,0.1371336284800977,143.82390496865213,158.90133504178064,-4.03,-2.0
0.02625,0.9695474228805206,0.9420575837374214,0.9153469563110093,0.04295873779076054,0.09632836738595651,0.14969741267593006,147.45145310764545,163.7795002756979,-4.03,-2.0
0.026875,0.9661559735736889,0.9354374337326827,0.9056952941946796,0.04642144078065735,0.10465218998079262,0.16288205381718335,150.95056811290925,168.61121408612712,-4.03,-2.0
0.0275,0.9625316592314038,0.928333071555215,0.8953491921045865,0.04999301498289688,0.11333735863289007,0.17668037886815835,154.31977065447438,173.39804446991405,-4.03,-2.0
0.028125,0.9586723963981351,0.9207353821426386,0.8842991824495151,0.05366416954996689,0.12237483334146848,0.19108354437541486,157.55855981166337,178.1423867464278,-4.03,-2.0
0.02875,0.9545771526163208,0.9126370213290244,0.872539037967792,0.05742503993610004,0.13175454627553274,0.20608120652596806,160.66740357064427,182.84742452920796,-4.03,-2.0
0.029375000000000002,0.9502459510806012,0.9040324528350517,0.860065879084686,0.06126527929637593,0.14146553788618377,0.22166169677136072,163.64772376803174,187.5170844960865,-4.03,-2.0
0.03,0.945679863738228,0.8949179678799822,0.8468802552843041,0.06517415270683591,0.15149609596363867,0.23781219935448128,166.5018755926456,192.15598525023594,-4.03,-2.0
0.030625,0.9408809935395955,0.8852916896596695,0.832986203768643,0.06914063266413661,0.16183389451844965,0.25451892581751157,169.23312178911786,196.76938060648018,-4.03,-2.0
0.03125,0.9358524463827154,0.875153564216876,0.8183912873688849,0.07315349428481843,0.17246612895742297,0.27176728080333357,171.84560173768023,201.3630976770615,-4.03,-2.0
0.031875,0.9305982931167641,0.8645053382883631,0.80310661203065,0.07720140877244441,0.18337964420199926,0.2895420136088904,174.3442956139973,205.94347016861246,-4.03,-2.0
