t_us,omega1_MHz,omega2_MHz,delta1_MHz,delta2_MHz,P00,P01,P11,phi00_rad,phi01_rad,phi11_rad
0.000000000000000000e+00,9.090909090900823860e-04,6.459479416000910960e-16,9.330000000000000071e+00,5.269999999999998685e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000130e-04,6.686997461109456253e-03,9.313449517856558970e-04,9.330000000000000071e+00,5.269999999999998685e+00,9.999999999690085684e-01,9.999999999686381980e-01,9.999999999682680496e-01,1.621799872020280656e-13,1.630007923480620628e-13,1.638215974940964134e-13
1.250000000000000026e-03,2.399293915858761658e-02,3.771239623678726300e-03,9.330000000000000071e+00,5.269999999999998685e+00,9.999999988574457266e-01,9.999999988333927448e-01,9.999999988093402070e-01,1.010097161235365774e-11,1.020744631203417128e-11,1.031392101171470583e-11
1.874999999999999931e-03,5.274377624713527668e-02,8.656832344288741335e-03,9.330000000000000071e+00,5.269999999999998685e+00,9.999999884971295661e-01,9.999999882164356535e-01,9.999999879357421850e-01,1.438586433101518165e-10,1.457182963766676914e-10,1.475779494431835403e-10
2.500000000000000052e-03,9.280158821549314152e-02,1.581526975866606385e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999999383849863532e-01,9.999999367544133433e-01,9.999999351238405554e-01,1.003048217426678437e-09,1.017407597588029393e-09,1.031766977749379728e-09
3.125000000000000173e-03,1.439746377854256298e-01,2.556155703870320942e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999997708766048543e-01,9.999997643903107969e-01,9.999997579040169615e-01,4.608771556766405319e-09,4.679894102912256149e-09,4.751016649058106152e-09
3.749999999999999861e-03,2.060187112704125190e-01,3.829558422961101827e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999993274979950275e-01,9.999993071407285994e-01,9.999992867834627264e-01,1.613307499320022499e-08,1.639969197405247150e-08,1.666630895490472793e-08
4.375000000000000416e-03,2.786388261488419449e-01,5.449834060565256905e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999983273826140717e-01,9.999982730379080031e-01,9.999982186932051542e-01,4.665359437260617874e-08,4.747953566549754711e-08,4.830547695838886915e-08
5.000000000000000104e-03,3.614912941852649886e-01,7.472734490368602989e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999963190814253888e-01,9.999961900641631818e-01,9.999960610469180722e-01,1.171199686313661784e-07,1.193475971670047861e-07,1.215752257026426792e-07
5.624999999999999792e-03,4.541861259979039778e-01,9.961132511036457915e-02,9.330000000000000071e+00,5.269999999999998685e+00,9.999926272011447903e-01,9.999923469592115755e-01,9.999920667173567423e-01,2.636787969120496769e-07,2.690871335641153257e-07,2.744954702161755218e-07
6.250000000000000347e-03,5.562897606279668672e-01,1.298441870583149915e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.999862954944861437e-01,9.999857277817993939e-01,9.999851600694354969e-01,5.444566667038554433e-07,5.565462794882759995e-07,5.686358922726582274e-07
6.875000000000000035e-03,6.673281014317464788e-01,1.661783164008280023e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.999760281519479710e-01,9.999749410428979690e-01,9.999738539350302435e-01,1.047849563690781685e-06,1.073130890213250683e-06,1.098412216735459854e-06
7.499999999999999722e-03,7.867898375048568704e-01,2.094172635471477639e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.999601311243314639e-01,9.999581440988565273e-01,9.999561570773299879e-01,1.902313408215581658e-06,1.952347467851299722e-06,2.002381527485513033e-06
8.125000000000000278e-03,9.141300278732384932e-01,2.604078658172962468e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.999364553368697006e-01,9.999329633032795206e-01,9.999294712818843633e-01,3.287596268375922214e-06,3.382130204058455931e-06,3.476664139733348563e-06
8.750000000000000833e-03,1.048773923860630841e+00,3.200318653844491656e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.999023436389566921e-01,9.998964101736762533e-01,9.998904767436056495e-01,5.447299742825234175e-06,5.618957917497303662e-06,5.790616092134739667e-06
9.374999999999999653e-03,1.190121003379457587e+00,3.891970854847241479e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.998545832684518908e-01,9.998447935444045864e-01,9.998350039162113845e-01,8.702606845005455384e-06,9.003744867224706931e-06,9.304882889301855148e-06
1.000000000000000021e-02,1.337549189402384098e+00,4.688282308616704142e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.997893654981678813e-01,9.997736273657408246e-01,9.997578894810585926e-01,1.346696814405853976e-05,1.397947556204801980e-05,1.449198297950378947e-05
1.062500000000000076e-02,1.490419223565149665e+00,5.598573814516762948e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.997022539770502592e-01,9.996775334877383568e-01,9.996528136097240225e-01,2.026149848802628292e-05,2.111054893201633735e-05,2.195959937415489633e-05
1.124999999999999958e-02,1.648079164736603097e+00,6.632142508854717011e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.995881630835034004e-01,9.995501384571857661e-01,9.995121152773744910e-01,2.973080473071968157e-05,3.110380239189550455e-05,3.247680004709554058e-05
1.187500000000000014e-02,1.809868981476497440e+00,7.798162834618111994e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.994413473778518409e-01,9.993839630787934025e-01,9.993265820746458639e-01,4.265894164947997265e-05,4.483120182343705698e-05,4.700346197934493307e-05
1.250000000000000069e-02,1.975125206591998639e+00,9.105586648269695660e-01,9.330000000000000071e+00,5.269999999999998685e+00,9.992554029803654148e-01,9.991703032714914778e-01,9.990852108102901141e-01,5.998517954564435258e-05,6.335420934588657685e-05,6.672323909487416663e-05
1.312499999999999951e-02,2.143185621504846594e+00,1.056304322656315353e+00,9.330000000000000071e+00,5.269999999999998685e+00,9.990232814166630781e-01,9.988991006119045668e-01,9.987749352439305728e-01,8.281926342430710145e-05,8.794987656043665668e-05,9.308048955922311278e-05
