model,param,realization,runtime_s,chi_m_tot,chi_p_tot,chi_d_tot,I_m_tot,I_p_tot,C_m_tot,C_p_tot,beta_W_irr_tot,beta_W_relax_tot,chi_m_tau1_tot,chi_m_tau2_tot,chi_p_h2_tot,chi_p_h3_tot,identity_residual_max,n_eval,n_seq
tfim,0.1,0,418.0,1.3768121137531644,1.350276876436367,0.0265352373167973,1.0488379986026288,1.0270339739318057,0.32797411515054753,0.3232429025045427,0.030890554364376637,0.00435531704756776,1.006778872655142,0.5932112466001169,0.9551549164903173,0.5254940879954741,8.881784197001252e-16,2000,300
tfim,0.1,1,417.9,1.289818554883964,1.2670237779546198,0.022794776929344174,0.9710858714742283,0.9528571700735444,0.318732683409769,0.31416660788103346,0.026483240273531286,0.00368846334417472,0.9433570024673914,0.5560518736562079,0.8964670062982187,0.49200294387156207,8.881784197001252e-16,2000,300
tfim,0.1,2,418.4,1.2769130367973704,1.2545924670343656,0.022320569763004894,0.9594491444651734,0.9416225525444366,0.31746389233222017,0.31296991448991807,0.025903750200176007,0.003583180437169788,0.933857124339978,0.5499282033889719,0.8878732523152366,0.48753466571240844,8.881784197001252e-16,2000,300
tfim,0.1,3,417.8,1.3584019343776097,1.3325627917146772,0.025839142662932524,1.0326327512871272,1.0113756043851323,0.3257691830905025,0.3211871873294805,0.030053593206958766,0.004214450544031581,0.992322314864746,0.584221891796052,0.942637324548881,0.5182752410422609,8.881784197001252e-16,2000,300
tfim,0.1,4,419.4,1.3455843722563547,1.3205512946801727,0.025033077576182006,1.020627871098914,1.000249901490644,0.3249565011574165,0.32030139318952044,0.029140033862359468,0.004106956286179661,0.9847388412367346,0.5820073525043634,0.9351178328271041,0.5154128281535351,8.881784197001252e-16,2000,300
tfim,0.1,5,417.6,1.3370009237070155,1.3122117883371387,0.024789135369876814,1.0130766490168446,0.9929856721025683,0.32392427469013985,0.31922611623456043,0.028798182101925227,0.0040090467320479765,0.9771157366405019,0.5748712222333086,0.9279318620730312,0.5095385099207621,8.881784197001252e-16,2000,300
tfim,0.1,6,416.7,1.336925561000334,1.3120187929794906,0.02490676802084346,1.013472269259796,0.993182621575234,0.32345329174056325,0.31883617140425957,0.02900446881359063,0.004097700792751178,0.9777138713028202,0.5766912294585556,0.9277552946439269,0.5089351674993718,8.881784197001252e-16,2000,300
tfim,0.1,7,417.3,1.349062769059378,1.3237914312881927,0.025271337771185287,1.0242819684473217,1.0036101970885918,0.3247808006120505,0.32018123419957867,0.029378089442039935,0.004106751670874235,0.9858165438558526,0.5802508543275469,0.9362456444952776,0.5138504073957479,8.881784197001252e-16,2000,300
tfim,0.1778279410038923,0,414.6,1.4059275309937336,1.37821015703862,0.027717373955113533,1.0758802994603052,1.0529033414953979,0.33004723153344306,0.32530681554318486,0.032316790505622216,0.004599416550533987,1.0278462514160043,0.6055088685996455,0.9743854970107306,0.5353204031196221,8.881784197001252e-16,2000,300
tfim,0.1778279410038923,1,416.0,1.2579014522762302,1.2363488129548448,0.021552639321385403,0.9424349696008765,0.9253034858838252,0.3154664826753524,0.3110453270710227,0.024998207615278944,0.003445568293865474,0.9198659137909257,0.5404395090488232,0.8750714384775473,0.48044844162386857,8.881784197001252e-16,2000,300
