model,param,realization,runtime_s,chi_m_tot,chi_p_tot,chi_d_tot,I_m_tot,I_p_tot,C_m_tot,C_p_tot,beta_W_irr_tot,beta_W_relax_tot,chi_m_tau1_tot,chi_m_tau2_tot,chi_p_h2_tot,chi_p_h3_tot,identity_residual_max,n_eval,n_seq
cluster,0.0,0,730.2,1.748375141615321,1.6898815560436709,0.058493585571650186,1.4182399484644144,1.365827349028888,0.33013519315091155,0.3240542070148087,0.06706112540195015,0.008567539830315872,1.257105293892923,0.6993064469706254,1.1587342181454683,0.6220584588965616,8.881784197001252e-16,2000,500
cluster,0.0625,0,731.8,1.709333585410553,1.6434468972144947,0.06588668819605825,1.3967473385433813,1.338839675071787,0.3125862468671665,0.30460722214270675,0.07617577716042243,0.010289088964360607,1.2333701931862988,0.6869068088832417,1.1255554629630096,0.6110561061616302,8.881784197001252e-16,2000,500
cluster,0.125,0,732.1,1.7039310573150988,1.6196044262622986,0.08432663105280014,1.3962816023885116,1.3248661426716986,0.3076494549265738,0.29473828359055565,0.09798670137636013,0.013660070323564309,1.2474486590216873,0.6956949071871592,1.107624413740778,0.6135833577787024,8.881784197001252e-16,2000,500
cluster,0.1875,0,733.4,1.719835934562378,1.6120415722789385,0.10779436228343942,1.409032990632899,1.3092663279416943,0.3108029439294886,0.30277524433723335,0.12756063851882718,0.019766276235377016,1.3000146334415827,0.7482078368520626,1.1117084868909064,0.641272559340992,8.881784197001252e-16,2000,500
cluster,0.25,0,733.0,1.7078164942658445,1.584111556709963,0.12370493755588141,1.361150572355113,1.2324816327789216,0.346665921910694,0.3516299239310037,0.1580269022409182,0.03432196468501088,1.330498760969005,0.803193184213987,1.1027076007684529,0.6607095507445364,8.881784197001252e-16,2000,500
cluster,0.3125,0,733.6,1.779470101869416,1.6172615745805214,0.16220852728889446,1.4018603320833067,1.2159878674975628,0.37760976978618443,0.40127370708290955,0.21535212483818686,0.05314359754930143,1.4477818180194237,0.9342161645004072,1.131700079927462,0.7070527785395138,8.881784197001252e-16,2000,500
cluster,0.375,0,732.6,1.7805470261125222,1.588104961058125,0.1924420650543972,1.273762000391251,1.0379298693165993,0.5067850257212454,0.5501750917415142,0.30437749112298607,0.1119354260686001,1.5278929433685868,1.0644445980179942,1.1356098255490785,0.7635599004163551,8.881784197001252e-16,2000,500
cluster,0.4375,0,734.3,1.5277780372436882,1.3753019030543978,0.1524761341892904,1.1299349525148754,0.9629832213285434,0.3978430847287866,0.41231868172588293,0.23350319682981344,0.0810270626405488,1.2843393668781031,0.8530053106451017,0.9822816125545293,0.6436919756555586,8.881784197001252e-16,2000,500
cluster,0.5,0,775.7,1.4082724944778642,1.274148423832358,0.13412407064550624,1.0889843985151266,0.9376603217329329,0.31928809596272956,0.33648810209942004,0.20842856123962902,0.07430449059413922,1.1635166180976344,0.7419213076850761,0.9067965696436282,0.5847917268549927,8.881784197001252e-16,2000,500
cluster,0.5625,0,782.4,1.5279169288014214,1.3751924167342175,0.15272451206720383,1.130781528313082,0.9634677796738771,0.3971354004883594,0.41172463706035123,0.23353005595414897,0.08080554388696569,1.2840389301559214,0.851959403748781,0.9814124292627144,0.6423221409804878,8.881784197001252e-16,2000,500
cluster,0.625,0,781.0,1.7783091383163567,1.5855460614003998,0.19276307691595695,1.2723782075648762,1.036651428260038,0.5059309307514466,0.5488946331403292,0.30462243738895217,0.11185936047301312,1.525353488508308,1.0614341163559007,1.132770758872292,0.7605026711086103,8.881784197001252e-16,2000,500
cluster,0.6875,0,781.7,1.7805970680272605,1.6185039747810412,0.16209309324621923,1.402196269963393,1.216594761485415,0.37840079806382865,0.40190921329563456,0.21540166265709917,0.053308569410875126,1.4498217914118827,0.937475675649631,1.133493371787682,0.7091259417630011,8.881784197001252e-16,2000,500
cluster,0.75,0,781.6,1.7087422059487603,1.5850330722833434,0.1237091336654168,1.3616132926030993,1.2329610979297776,0.34712891334563656,0.35207197435358184,0.1581113852330126,0.03440225156760989,1.3309703091503864,0.8036627884081353,1.1031379164706316,0.6612710405020072,8.881784197001252e-16,2000,500
cluster,0.8125,0,781.7,1.719064457847685,1.6113742566762244,0.10769020117146066,1.4080502546118305,1.308392526695962,0.3110142032358736,0.3029817299802875,0.1276169002378462,0.019926699066432605,1.3006340905063993,0.7505628922837442,1.1118441995550779,0.6424521309376545,8.881784197001252e-16,2000,500
cluster,0.875,0,780.5,1.703549975328018,1.6192187974854728,0.08433117784254529,1.3961803278767793,1.3247501731195044,0.30736964745122264,0.29446862436595955,0.09785444618355885,0.013523268341030372,1.2459393162056331,0.6933986584768599,1.106414411235205,0.6118208710218789,8.881784197001252e-16,2000,500
cluster,0.9375,0,779.4,1.7128988029976169,1.6467895665075654,0.06610923649005152,1.3997571820907009,1.3417508361319586,0.31314162090689646,0.30503873037563944,0.07629844977019228,0.01018921328014124,1.2365265238992436,0.688993548688098,1.1277889609034064,0.6119259404111084,8.881784197001252e-16,2000,500
cluster,1.0,0,306.9,1.7492277513565466,1.6907357094713436,0.05849204188520307,1.4188517828259197,1.366399091206839,0.3303759685306238,0.3243366182644547,0.06713253749570487,0.00864049561053033,1.258127692736052,0.7005190614823165,1.1599941674527359,0.623228028430916,8.881784197001252e-16,2000,500
