model,param,realization,runtime_s,chi_m_tot,chi_p_tot,chi_d_tot,I_m_tot,I_p_tot,C_m_tot,C_p_tot,beta_W_irr_tot,beta_W_relax_tot,chi_m_tau1_tot,chi_m_tau2_tot,chi_p_h2_tot,chi_p_h3_tot,identity_residual_max,n_eval,n_seq
cluster,0.0,0,584.7,1.6886155380146173,1.6357841557781194,0.05283138223649786,1.3650752989887938,1.3177997743386225,0.32354023902585705,0.317984381439534,0.060316513465701056,0.007485131229264068,1.2126766378963882,0.6742343103354265,1.1221189576468422,0.5982595782402118,8.881784197001252e-16,2000,500
cluster,0.0625,0,586.6,1.6977048743705723,1.6328244518349186,0.06488042253565363,1.386552780900006,1.3294122736937641,0.31115209347056716,0.30341217814112764,0.0750060027471788,0.01012558021151602,1.2246835996778649,0.6821823593014011,1.1189430548714108,0.6075784693885873,8.881784197001252e-16,2000,500
cluster,0.125,0,587.6,1.7320842808939645,1.646547851739916,0.08553642915404858,1.4235650590381042,1.352263814809251,0.30851922185586944,0.2942840369306192,0.09942215108062448,0.013885721926572003,1.2662515527190124,0.7057451152386189,1.1259244635181078,0.6226753947074299,8.881784197001252e-16,2000,500
cluster,0.1875,0,589.2,1.7850014056062844,1.6671231165950942,0.11787828901119024,1.4720350243570763,1.3681805563885243,0.31296638124914367,0.2989425602065663,0.1379823463493232,0.020104057338159002,1.3427386879914156,0.7575793218524987,1.1431127837907082,0.6579555939342137,8.881784197001252e-16,2000,500
cluster,0.25,0,589.9,1.8637011763922002,1.7167003289787184,0.14700084741348185,1.5306190007858929,1.379603251927965,0.33308217560629205,0.3370970770507864,0.17849114292529084,0.03149029551181043,1.4681036353703893,0.8859106581348231,1.1989906799925367,0.7288842968874336,8.881784197001252e-16,2000,500
cluster,0.3125,0,590.8,1.9397656054009178,1.7532218957997796,0.1865437096011382,1.5228212522449978,1.3097361637409666,0.41694435315595213,0.4434857320588277,0.24450528670586424,0.05796157710469612,1.6064475383823615,1.0430754843004766,1.2441191260908235,0.8009199527666473,8.881784197001252e-16,2000,500
cluster,0.375,0,591.6,1.9860284674672024,1.7767394636674796,0.20928900379972282,1.4660615983860534,1.2041387107714652,0.5199668690812133,0.5726007528960018,0.2998258559713738,0.09053685217164513,1.7301363742985716,1.220717144724886,1.2953824063848889,0.8816461962303221,8.881784197001252e-16,2000,500
cluster,0.4375,0,590.3,2.116370229284881,1.8703682735957852,0.246001955689096,1.4840039188617302,1.1612524162249667,0.6323663104231534,0.7091158573708454,0.3697935155249588,0.12379155983587176,1.9283054647532185,1.4716198624246446,1.3815818337819987,0.9699545698530447,8.881784197001252e-16,2000,500
cluster,0.5,0,588.5,2.250192364595893,1.9620911528453533,0.2881012117505395,1.2956561002577232,0.913476460531033,0.9545362643381842,1.0486146923142792,0.4985528466479017,0.21045163489739788,2.152022254274407,1.7795273231423652,1.4891268697622633,1.129116263937386,8.881784197001252e-16,2000,500
cluster,0.5625,0,589.7,1.7162302132196334,1.5017794108003075,0.2144508024193259,0.8760555357223572,0.6386632974373354,0.8401746774972708,0.8631161133630056,0.4154013732539766,0.20095057083465356,1.6159384313510796,1.310510564674333,1.1316216974945132,0.8498033430614753,8.881784197001252e-16,2000,500
cluster,0.625,0,589.3,1.4685953851997642,1.3062161026723391,0.16237928252742506,0.8500707807173784,0.6606435548836886,0.618524604482406,0.6455725477886661,0.324181022757736,0.16180174023030616,1.3174807717062453,0.9906654700881408,0.9672597731600279,0.6882037044772114,8.881784197001252e-16,2000,500
cluster,0.6875,0,590.0,1.3352275520979453,1.2046063458191476,0.1306212062787977,0.8667435195529203,0.7131800977325478,0.4684840325450168,0.4914262480866213,0.2688110240573076,0.1381898177784813,1.1360068318415828,0.788916182269995,0.8698889052964494,0.5840413441924461,8.881784197001252e-16,2000,500
cluster,0.75,0,588.8,1.2585077386110255,1.148320087266376,0.11018765134464958,0.8919993002673099,0.7692682271815263,0.3665084383436713,0.3790518600848184,0.2355333347947841,0.12534568345013844,1.021689536820236,0.658090200292043,0.8126628114395018,0.5217203010258595,8.881784197001252e-16,2000,500
cluster,0.8125,0,588.7,1.1975495899366075,1.1117815370923685,0.08576805284423905,0.9156918237229297,0.8295933253775933,0.2818577662136841,0.2821882117147445,0.20106381912734866,0.11529576628310809,0.9201555947247941,0.5519171999951009,0.7678478093638961,0.4601980684734479,8.881784197001252e-16,2000,500
cluster,0.875,0,586.2,1.1611793698578432,1.1002175454033276,0.06096182445451559,0.9323275316821311,0.875729883118586,0.22885183817570154,0.22448766228475914,0.17150943354655676,0.11054760909204898,0.8650653754664841,0.5077683088779845,0.7580072399694133,0.43108955882234135,8.881784197001252e-16,2000,500
cluster,0.9375,0,584.5,1.1402451836753928,1.09024007779938,0.05000510587601292,0.9264523325851641,0.8801333849612423,0.21379285109024515,0.2101066928381048,0.16302169031332323,0.11301658443724434,0.8408128623064388,0.49309643843711237,0.7533950671616716,0.42461213214812643,8.881784197001252e-16,2000,500
cluster,1.0,0,290.2,1.1136920132472006,1.073481088699209,0.04021092454799158,0.8981393878069666,0.8607830879860909,0.21555262544025466,0.21269800071309408,0.15823668768781454,0.11802576313979858,0.8180913807311434,0.4803587501648665,0.7433227320219546,0.4112507806350134,8.881784197001252e-16,2000,500
