model,param,realization,nmse_h1,nmse_h2,nmse_h3,runtime_s
tfim,0.1,0,0.022381147425816025,0.15047531241877515,0.3836502397587512,124.6
tfim,0.1,1,0.022424485136064414,0.15332571106595488,0.38968901137344336,124.1
tfim,0.1,2,0.01982285768948326,0.14430900330327895,0.3761123990681615,124.7
tfim,0.1,3,0.020972387522382972,0.14671750086380847,0.3785002532975149,125.3
tfim,0.1778279410038923,0,0.017339666416462066,0.12882692053705413,0.3436367000834794,124.7
tfim,0.1778279410038923,1,0.01738409546261385,0.13068673180895757,0.3486176458693493,124.9
tfim,0.1778279410038923,2,0.01629202863929905,0.12703961067855152,0.34398094815701863,125.0
tfim,0.1778279410038923,3,0.016263032102018134,0.1260456539503701,0.3421860221443469,124.7
tfim,0.31622776601683794,0,0.014364291375166337,0.10914595700457953,0.28391647880183235,123.9
tfim,0.31622776601683794,1,0.01352767974339787,0.10432846223787773,0.2699305705532963,125.1
tfim,0.31622776601683794,2,0.01371748712880724,0.10663785833412226,0.2726337263006604,124.8
tfim,0.31622776601683794,3,0.014502580032578738,0.11452822667240278,0.3081200615339428,124.8
tfim,0.5623413251903491,0,0.008691021417477723,0.05746950262359195,0.12258385272155387,124.4
tfim,0.5623413251903491,1,0.009474476698521486,0.06571635217323463,0.14705242224798717,124.6
tfim,0.5623413251903491,2,0.009425359303723988,0.06432856800027274,0.14219893291692123,124.6
tfim,0.5623413251903491,3,0.010067385254863833,0.06918013473593877,0.1521988356145167,124.7
tfim,1.0,0,0.005031780806874395,0.02628192251392721,0.048392590879006304,123.8
tfim,1.0,1,0.007729834608711043,0.046514395747051,0.09020048012583917,125.5
tfim,1.0,2,0.007585716390537253,0.04932368176385997,0.10188036641177775,124.6
tfim,1.0,3,0.006585075347853125,0.03924320148401189,0.07538485019893673,125.2
tfim,1.7782794100389228,0,0.0036195586493803647,0.016491171047883897,0.024488946907680758,124.9
tfim,1.7782794100389228,1,0.006002891503473949,0.03475742384173039,0.06424092080110297,125.0
tfim,1.7782794100389228,2,0.005673046294297473,0.031574335259539815,0.05288255458258433,125.3
tfim,1.7782794100389228,3,0.00410087186872335,0.0213009161964699,0.03910021288675741,125.7
tfim,3.1622776601683795,0,0.0029819020395549225,0.01121442919821718,0.015186590880574235,123.6
tfim,3.1622776601683795,1,0.005048460364128524,0.0243536817257503,0.04240745214381156,124.3
tfim,3.1622776601683795,2,0.005718498420081588,0.030011147711118107,0.04919459829907494,124.8
tfim,3.1622776601683795,3,0.004269155744219027,0.01791558275334264,0.025372793814288384,124.7
tfim,5.623413251903491,0,0.004418552811564107,0.017192056259618213,0.02056293825930785,125.0
tfim,5.623413251903491,1,0.007723237219712494,0.04194825853091507,0.07497442465288101,125.0
tfim,5.623413251903491,2,0.008216568888195273,0.04595411805538296,0.0870174184065956,124.9
tfim,5.623413251903491,3,0.003782314309031952,0.013542818008241184,0.015261788939411498,124.3
tfim,10.0,0,0.008148543502613218,0.045625442159267046,0.06746425909167689,123.8
tfim,10.0,1,0.00793764673694651,0.04576128261606581,0.08044201142545693,123.9
tfim,10.0,2,0.014393812061253296,0.05287196799670546,0.06861505001438968,124.5
tfim,10.0,3,0.011860777581754378,0.04506915428700802,0.0642965952425737,124.3
tfim,17.78279410038923,0,0.009335376208733506,0.05282825292006973,0.09649443666861778,125.0
tfim,17.78279410038923,1,0.01484354317313903,0.10097500070949997,0.21512775711897086,124.6
tfim,17.78279410038923,2,0.03195795765358126,0.12998108108057355,0.2338907671776207,124.4
tfim,17.78279410038923,3,0.02368135555160454,0.10755742878429418,0.18735971559591813,124.9
tfim,31.622776601683793,0,0.02217119949597561,0.08688863551457454,0.14909433475454936,123.3
tfim,31.622776601683793,1,0.022194407074296367,0.11681658175715304,0.23146634244911352,123.8
tfim,31.622776601683793,2,0.07264001992366481,0.21748576532606856,0.36245381231527596,124.5
tfim,31.622776601683793,3,0.05850861538996739,0.16247893371461966,0.23633854646851588,123.9
tfim,56.23413251903491,0,0.01686832268457559,0.10485986483453219,0.21943988717302865,124.0
tfim,56.23413251903491,1,0.059437193727902356,0.1801772937662493,0.2981279858835655,124.2
tfim,56.23413251903491,2,0.11573026767523538,0.3879187759070711,0.6789440886287799,124.7
tfim,56.23413251903491,3,0.15910314437934436,0.2544869558205625,0.31184638902968864,124.6
tfim,100.0,0,0.02155269490059294,0.13142250023388963,0.23916328397663952,82.5
tfim,100.0,1,0.3837595370850703,0.4543455683057251,0.4550187684819542,80.9
tfim,100.0,2,0.5495116241019598,0.7209329816602363,0.8723082787434299,80.1
tfim,100.0,3,0.7820441477412944,0.7744049814625927,0.6274668490679194,80.1
