panel,mechanism,n_sites,seed,eta_final,dark_final
cd,rescue,6,13,0.9992736356119278,3.226713321787637e-05
cd,rescue,6,14,0.9991342624070955,2.1214988206689612e-05
cd,rescue,6,15,0.9993389272115295,1.2909508750010035e-05
cd,rescue,6,16,0.9991873105219666,0.0002703004861052318
cd,rescue,6,17,0.9990461393494902,4.246988599091946e-05
cd,rescue,6,18,0.9994691591149507,9.393045270251218e-06
cd,rescue,6,19,0.9994516858355069,1.2817749533258494e-05
cd,dephasing,6,0,0.789003724801982,0.16568545686825603
cd,dephasing,6,1,0.790054369077333,0.16495745500462156
cd,dephasing,6,2,0.7896362479133658,0.16529546106191584
cd,dephasing,6,3,0.7892806537250115,0.1654889696618409
cd,dephasing,6,4,0.802225743208633,0.15397371670297133
cd,dephasing,6,5,0.7957921482057667,0.15982472296267075
cd,dephasing,6,6,0.8178709990933573,0.13968825842204324
cd,dephasing,6,7,0.7913170311070142,0.1639558793469631
cd,dephasing,6,8,0.795151798739394,0.1608555066095928
cd,dephasing,6,9,0.7991078447710506,0.15682377058304595
cd,dephasing,6,10,0.7936998642309363,0.1619784046358105
cd,dephasing,6,11,0.7953177355954225,0.1601477058118811
cd,dephasing,6,12,0.7960198264379597,0.1569157843066955
cd,dephasing,6,13,0.7898550438701116,0.16433431205212018
cd,dephasing,6,14,0.801606034042259,0.15534014549940475
cd,dephasing,6,15,0.7973753800213033,0.1589402625961776
cd,dephasing,6,16,0.8003061253739718,0.15023490255072935
cd,dephasing,6,17,0.8037628836395436,0.1531377317496289
cd,dephasing,6,18,0.7882943513207311,0.1663167705146809
cd,dephasing,6,19,0.7928390987774842,0.16260106695190862
