target_id,n_sites,thermal_ratio,rate_ratio,gamma_rec,gamma_abs,eta_rescue,eta_rescue_sem,eta_deph,delta_eta,samples,parameter_match,artifact_stage
T004,6,0.029999999999999995,0.020000000000000004,0.010000000000000002,3.338237795364999e-17,0.37507947398736047,0.0078763177016512,0.6624271723114653,-0.28734769832410484,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.020000000000000004,0.010000000000000002,1.4505239678964109e-11,0.375079473955174,0.007876317702000134,0.6624271723114653,-0.2873476983562913,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.020000000000000004,0.010000000000000002,4.0156457021218595e-08,0.37507938487711895,0.007876318669333712,0.6624271723114653,-0.28734778743434636,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.020000000000000004,0.010000000000000002,5.074293406865882e-06,0.37506821418733566,0.007876439979392047,0.6624271723114653,-0.28735895812412965,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.020000000000000004,0.010000000000000002,9.738660972735104e-05,0.3748635304128378,0.007878663890244001,0.6624271723114653,-0.2875636418986275,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.020000000000000004,0.010000000000000002,0.0005914225349836695,0.3737731159645487,0.00789054637502947,0.6624271723114653,-0.2886540563469166,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.020000000000000004,0.010000000000000002,0.0017790749411824207,0.3711858326727056,0.007918966149235965,0.6624271723114653,-0.2912413396387597,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.020000000000000004,0.010000000000000002,0.0034850853674870154,0.36755122983328803,0.00795937953852052,0.6624271723114653,-0.2948759424781773,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.020000000000000004,0.010000000000000002,0.005254154953793832,0.3638805921784572,0.008000698275157994,0.6624271723114653,-0.2985465801330081,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.020000000000000004,0.010000000000000002,0.006750808089821467,0.3608503621664509,0.008035129812317503,0.6624271723114653,-0.3015768101450144,15,paper_subset,exploratory
T004,6,4.168486483119412,0.020000000000000004,0.010000000000000002,0.007867102848427409,0.3586335927347865,0.008060472200585148,0.6624271723114653,-0.3037935795766788,15,paper_subset,exploratory
T004,6,6.827537778224365,0.020000000000000004,0.010000000000000002,0.008637553712819771,0.3571246640723112,0.008077785687155248,0.6624271723114653,-0.3053025082391541,15,paper_subset,exploratory
T004,6,11.182781160944813,0.020000000000000004,0.010000000000000002,0.009144584990800491,0.35614085453332867,0.008089098100314227,0.6624271723114653,-0.30628631777813664,15,paper_subset,exploratory
T004,6,18.31620688975598,0.020000000000000004,0.010000000000000002,0.009468671725821599,0.35551580268400157,0.008096294281862008,0.6624271723114653,-0.30691136962746374,15,paper_subset,exploratory
T004,6,29.999999999999996,0.020000000000000004,0.010000000000000002,0.009672161004820061,0.355124838413583,0.00810079873531314,0.6624271723114653,-0.3073023338978823,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.028606523738550924,0.014303261869275462,4.7747689369018366e-17,0.4251971325658305,0.006769531836378322,0.6624271723114653,-0.23723003974563478,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.028606523738550924,0.014303261869275462,2.0747224160482874e-11,0.4251971325148141,0.006769531837020897,0.6624271723114653,-0.2372300397966512,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.028606523738550924,0.014303261869275462,5.743683205167947e-08,0.4251969913479512,0.0067695336115993834,0.6624271723114653,-0.23723018096351411,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.028606523738550924,0.014303261869275462,7.2578947399940635e-06,0.4251792888018375,0.006769756156739389,0.6624271723114653,-0.23724788350962783,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.028606523738550924,0.014303261869275462,0.00013929461814912307,0.42485501026205097,0.006773836305522714,0.6624271723114653,-0.23757216204941434,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.028606523738550924,0.014303261869275462,0.0008459271393262152,0.4231303576182834,0.006795646730392599,0.6624271723114653,-0.23929681469318193,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.028606523738550924,0.014303261869275462,0.0025446574768797996,0.41905746237123903,0.006847854113856987,0.6624271723114653,-0.24336970994022628,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.028606523738550924,0.014303261869275462,0.0049848088647946875,0.41338111621586965,0.006922091427557796,0.6624271723114653,-0.24904605609559566,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.028606523738550924,0.014303261869275462,0.007515155420586407,0.4077012132716292,0.006997837128926775,0.6624271723114653,-0.2547259590398361,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.028606523738550924,0.014303261869275462,0.009655857593793967,0.403051473561091,0.007060733161048362,0.6624271723114653,-0.2593756987503743,15,paper_subset,exploratory
T004,6,4.168486483119412,0.028606523738550924,0.014303261869275462,0.011252523219358011,0.3996720558871201,0.007106850806707092,0.6624271723114653,-0.2627551164243452,15,paper_subset,exploratory
T004,6,6.827537778224365,0.028606523738550924,0.014303261869275462,0.01235451926643937,0.3973822841815352,0.007138257359230596,0.6624271723114653,-0.2650448881299301,15,paper_subset,exploratory
T004,6,11.182781160944813,0.028606523738550924,0.014303261869275462,0.013079739380926533,0.39589393845315135,0.007158729903157174,0.6624271723114653,-0.26653323385831396,15,paper_subset,exploratory
T004,6,18.31620688975598,0.028606523738550924,0.014303261869275462,0.013543289124863073,0.39495019797454756,0.007171732281516479,0.6624271723114653,-0.26747697433691775,15,paper_subset,exploratory
T004,6,29.999999999999996,0.028606523738550924,0.014303261869275462,0.013834345169373579,0.394360629947513,0.007179862615297716,0.6624271723114653,-0.26806654236395233,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.04091666002021387,0.020458330010106936,6.829477046978897e-17,0.4895996857128208,0.005422982852752437,0.6624271723114653,-0.1728274865986445,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.04091666002021387,0.020458330010106936,2.9675298022794527e-11,0.4895996856320008,0.005422982853815224,0.6624271723114653,-0.17282748667946451,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.04091666002021387,0.020458330010106936,8.215340497767656e-08,0.48959946195430043,0.00542298579980009,0.6624271723114653,-0.17282771035716488,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.04091666002021387,0.020458330010106936,1.0381156908577202e-05,0.48957141295136825,0.005423355259593948,0.6624271723114653,-0.17285575936009706,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.04091666002021387,0.020458330010106936,0.00019923674003676376,0.48905779224202944,0.005430132997520885,0.6624271723114653,-0.17336938006943586,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.04091666002021387,0.020458330010106936,0.0012099517396109924,0.48633204920977113,0.005466486109562439,0.6624271723114653,-0.17609512310169417,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.04091666002021387,0.020458330010106936,0.003639690225942154,0.47993413826361586,0.005554200583485733,0.6624271723114653,-0.18249303404784945,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.04091666002021387,0.020458330010106936,0.007129902656144415,0.47110753277458184,0.0056800516702421346,0.6624271723114653,-0.19131963953688347,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.04091666002021387,0.020458330010106936,0.010749123596895234,0.46237790085471014,0.005809066477029499,0.6624271723114653,-0.20004927145675516,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.04091666002021387,0.020458330010106936,0.013811025973646716,0.45530600484668377,0.005916187282580912,0.6624271723114653,-0.20712116746478154,15,paper_subset,exploratory
T004,6,4.168486483119412,0.04091666002021387,0.020458330010106936,0.01609477862965802,0.4502073365219325,0.00599454113540951,0.6624271723114653,-0.2122198357895328,15,paper_subset,exploratory
T004,6,6.827537778224365,0.04091666002021387,0.020458330010106936,0.01767099243368913,0.4467720422894832,0.006047751634765465,0.6624271723114653,-0.2156551300219821,15,paper_subset,exploratory
T004,6,11.182781160944813,0.04091666002021387,0.020458330010106936,0.018708293754726713,0.44454741166201267,0.006082357062220453,0.6624271723114653,-0.21787976064945264,15,paper_subset,exploratory
T004,6,18.31620688975598,0.04091666002021387,0.020458330010106936,0.019371321092422702,0.44314016641131176,0.006104298846181974,0.6624271723114653,-0.21928700590015354,15,paper_subset,exploratory
T004,6,29.999999999999996,0.04091666002021387,0.020458330010106936,0.019787626174749627,0.4422623590216029,0.006118003626866363,0.6624271723114653,-0.22016481328986243,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.05852417030852325,0.029262085154261624,9.768379863314517e-17,0.5686977481796179,0.003928826096688008,0.6624271723114653,-0.09372942413184737,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.05852417030852325,0.029262085154261624,4.2445355866882225e-11,0.5686977480534574,0.003928826098112682,0.6624271723114653,-0.0937294242580079,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.05852417030852325,0.029262085154261624,1.1750616648483454e-07,0.5686973989256489,0.003928830043066892,0.6624271723114653,-0.09372977338581645,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.05852417030852325,0.029262085154261624,1.4848440576941773e-05,0.5686536196166153,0.003929324865872324,0.6624271723114653,-0.09377355269485,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.05852417030852325,0.029262085154261624,0.00028497352667265893,0.5678523158722454,0.003938430812506756,0.6624271723114653,-0.09457485643921992,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.05852417030852325,0.029262085154261624,0.001730625658084141,0.5636113376316412,0.003988136058676368,0.6624271723114653,-0.09881583467982413,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.05852417030852325,0.029262085154261624,0.005205944242469297,0.5537316766841346,0.00411304968457437,0.6624271723114653,-0.10869549562733072,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.05852417030852325,0.029262085154261624,0.01019808647932762,0.5402696256602294,0.004300808317066462,0.6624271723114653,-0.1221575466512359,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.05852417030852325,0.029262085154261624,0.015374752967160062,0.5271408102542403,0.004499243535877553,0.6624271723114653,-0.135286362057225,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.05852417030852325,0.029262085154261624,0.019754272118443397,0.5166357627780456,0.004666131469975714,0.6624271723114653,-0.14579140953341974,15,paper_subset,exploratory
T004,6,4.168486483119412,0.05852417030852325,0.029262085154261624,0.023020783346801698,0.5091323873297701,0.004788581429605841,0.6624271723114653,-0.15329478498169524,15,paper_subset,exploratory
T004,6,6.827537778224365,0.05852417030852325,0.029262085154261624,0.025275283226904078,0.5041095115546376,0.004871692090676837,0.6624271723114653,-0.15831766075682774,15,paper_subset,exploratory
T004,6,11.182781160944813,0.05852417030852325,0.029262085154261624,0.026758962470118667,0.5008706042643055,0.004925667480915966,0.6624271723114653,-0.1615565680471598,15,paper_subset,exploratory
T004,6,18.31620688975598,0.05852417030852325,0.029262085154261624,0.027707307833874095,0.49882730670757996,0.004959847002527727,0.6624271723114653,-0.16359986560388534,15,paper_subset,exploratory
T004,6,29.999999999999996,0.05852417030852325,0.029262085154261624,0.028302759894877325,0.4975549110059904,0.00498117515332254,0.6624271723114653,-0.1648722613054749,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.08370865336048837,0.041854326680244185,1.3971969522354478e-16,0.6598419734660469,0.0025745467509030377,0.6624271723114653,-0.0025851988454184127,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.08370865336048837,0.041854326680244185,6.07107040098604e-11,0.6598419732761427,0.0025745467515837553,0.6624271723114653,-0.002585199035322616,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.08370865336048837,0.041854326680244185,1.680721470487268e-07,0.6598414477349389,0.0025745486405903363,0.6624271723114653,-0.0025857245765263936,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.08370865336048837,0.041854326680244185,2.123811339223738e-05,0.6597755486557749,0.0025747860872129763,0.6624271723114653,-0.0026516236556903827,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.08370865336048837,0.041854326680244185,0.00040760509778099956,0.658570013291908,0.0025793319530660465,0.6624271723114653,-0.003857159019557299,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.08370865336048837,0.041854326680244185,0.0024753591985264647,0.6522094284885864,0.0026095374510648876,0.6624271723114653,-0.010217743822878878,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.08370865336048837,0.041854326680244185,0.007446198377688522,0.6375188769329763,0.0027165433528779526,0.6624271723114653,-0.024908295378489043,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.08370865336048837,0.041854326680244185,0.014586590147934037,0.6177774852168529,0.002929316004317269,0.6624271723114653,-0.04464968709461237,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.08370865336048837,0.041854326680244185,0.021990911786471026,0.5988179839134452,0.003189023892243434,0.6624271723114653,-0.0636091883980201,15,paper_subset,exploratory
T004,6,2.5450286947322147,0.08370865336048837,0.041854326680244185,0.028255052714702283,0.5838470923145387,0.003420286210918305,0.6624271723114653,-0.07858007999692662,15,paper_subset,exploratory
T004,6,4.168486483119412,0.08370865336048837,0.041854326680244185,0.03292722926451603,0.5732587704188163,0.0035932829714325773,0.6624271723114653,-0.08916840189264896,15,paper_subset,exploratory
T004,6,6.827537778224365,0.08370865336048837,0.041854326680244185,0.03615189948145147,0.5662183758800086,0.0037113586020389696,0.6624271723114653,-0.09620879643145674,15,paper_subset,exploratory
T004,6,11.182781160944813,0.08370865336048837,0.041854326680244185,0.03827404475602215,0.5616984084089717,0.003788124847486674,0.6624271723114653,-0.10072876390249363,15,paper_subset,exploratory
T004,6,18.31620688975598,0.08370865336048837,0.041854326680244185,0.039630487964052864,0.558854879459764,0.003836727201629804,0.6624271723114653,-0.10357229285170133,15,paper_subset,exploratory
T004,6,29.999999999999996,0.08370865336048837,0.041854326680244185,0.04048217863996576,0.5570872478432416,0.003867042195446562,0.6624271723114653,-0.10533992446822371,15,paper_subset,exploratory
T004,6,0.029999999999999995,0.11973067897394704,0.05986533948697352,1.9984473890777168e-16,0.7559017089629863,0.0019658700615447344,0.6624271723114653,0.09347453665152095,15,paper_subset,exploratory
T004,6,0.04913681120862191,0.11973067897394704,0.05986533948697352,8.68361097721105e-11,0.7559017086949221,0.001965870058403918,0.6624271723114653,0.09347453638345682,15,paper_subset,exploratory
T004,6,0.08048087385839177,0.11973067897394704,0.05986533948697352,2.403979932169312e-07,0.7559009668792603,0.001965861363824765,0.6624271723114653,0.09347379456779503,15,paper_subset,exploratory
T004,6,0.1318191168228237,0.11973067897394704,0.05986533948697352,3.037742974585374e-05,0.7558079509913701,0.0019647722070479452,0.6624271723114653,0.0933807786799048,15,paper_subset,exploratory
T004,6,0.21590570190034555,0.11973067897394704,0.05986533948697352,0.0005830082452813267,0.7541072060978126,0.0019452293075285835,0.6624271723114653,0.09168003378634726,15,paper_subset,exploratory
T004,6,0.3536305904380761,0.11973067897394704,0.05986533948697352,0.0035405710837043843,0.7451604538472211,0.00185471010325544,0.6624271723114653,0.08273328153575576,15,paper_subset,exploratory
T004,6,0.5792093186649748,0.11973067897394704,0.05986533948697352,0.010650492532665303,0.7246635618087535,0.0017362397855179906,0.6624271723114653,0.06223638949728816,15,paper_subset,exploratory
T004,6,0.9486832980505137,0.11973067897394704,0.05986533948697352,0.0208635818665694,0.6974700456362775,0.001789903764829395,0.6624271723114653,0.03504287332481215,15,paper_subset,exploratory
T004,6,1.5538424037693628,0.11973067897394704,0.05986533948697352,0.03145417700260313,0.6717125964647601,0.0020317472851456757,0.6624271723114653,0.009285424153294808,15,paper_subset,exploratory
