target_id,series_id,gamma,m,region,source
T003,non_bloch_theory_boundary,0.23,2.0529,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.23,2.0535,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.24,1.660588745030457,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.24,2.339411254969543,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.24,2.0576,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.24,2.058,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.25,1.6464466094067263,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.25,2.353553390593274,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.25,2.0625,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.25,2.0625,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.26,1.6323044737829953,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.26,2.3676955262170045,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.26,2.0675999999999997,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.26,2.0677,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.27,1.6181623381592642,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.27,2.3818376618407355,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.27,2.0728999999999997,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.27,2.0728999999999997,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.28,1.6040202025355335,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.28,2.3959797974644665,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.28,2.0784000000000002,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.28,2.0781,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.29,1.5898780669118024,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.29,2.4101219330881976,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.29,2.0841000000000003,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.29,2.0833,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.3,1.5757359312880714,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.3,2.4242640687119286,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.3,2.09,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.3,2.0885,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.31,1.5615937956643404,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.31,2.4384062043356596,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.31,2.0961,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.31,2.0947999999999998,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.32,1.5474516600406096,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.32,2.4525483399593906,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.32,2.1024000000000003,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.32,2.1010999999999997,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.33,1.5333095244168786,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.33,2.466690475583121,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.33,2.1089,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.33,2.1074,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.34,1.5191673887931476,bloch_gap_closing,analytic_bloch_reference
