target_id,series_id,parameter_set,time,x,y,intensity,source
T004,fig2a_wavepacket,fig2a,0.0,1.0,1.0,2.8189171326038893e-06,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,2.0,1.0,1.0873762916225368e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,3.0,1.0,3.79531618157569e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,4.0,1.0,0.00011986340654683194,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,5.0,1.0,0.0003425277977334138,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,6.0,1.0,0.0008856774351834727,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,7.0,1.0,0.002072172423048896,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,8.0,1.0,0.004386789054018841,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,9.0,1.0,0.008403073541244335,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,10.0,1.0,0.014564652574723407,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,11.0,1.0,0.02284192211036948,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,12.0,1.0,0.03241423041432014,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,13.0,1.0,0.04162069571435987,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,14.0,1.0,0.048356349487117596,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,15.0,1.0,0.050835632542064316,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,16.0,1.0,0.048356349487117596,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,17.0,1.0,0.04162069571435987,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,18.0,1.0,0.03241423041432014,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,19.0,1.0,0.02284192211036948,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,20.0,1.0,0.014564652574723407,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,21.0,1.0,0.008403073541244335,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,22.0,1.0,0.004386789054018841,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,23.0,1.0,0.002072172423048896,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,24.0,1.0,0.0008856774351834727,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,25.0,1.0,0.0003425277977334138,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,26.0,1.0,0.00011986340654683194,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,27.0,1.0,3.79531618157569e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,28.0,1.0,1.0873762916225368e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,29.0,1.0,2.8189171326038893e-06,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,30.0,1.0,6.612342039074369e-07,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,1.0,2.0,2.307934146841209e-06,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,2.0,2.0,8.90268410119263e-06,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,3.0,2.0,3.107342075510516e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,4.0,2.0,9.813585710858001e-05,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,5.0,2.0,0.0002804380417884205,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,6.0,2.0,0.0007251313534919398,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,7.0,2.0,0.0016965512884302492,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,8.0,2.0,0.003591599105791092,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,9.0,2.0,0.00687985472859264,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,10.0,2.0,0.011924528970822463,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,11.0,2.0,0.01870138409117141,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,12.0,2.0,0.02653852727755955,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,13.0,2.0,0.03407614354584739,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,14.0,2.0,0.03959083043168988,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,15.0,2.0,0.04162069571435987,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,16.0,2.0,0.03959083043168988,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,17.0,2.0,0.03407614354584739,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,18.0,2.0,0.02653852727755955,independent_numerics
T004,fig2a_wavepacket,fig2a,0.0,19.0,2.0,0.01870138409117141,independent_numerics
