rabi_frequency_mhz,frequency_normalized,intensity_normalized,decay_normalized,motion_normalized,intensity_absolute,decay_absolute,frequency_per_variance_mhz_minus_2,motion_per_variance_mhz_minus_2,generated_data_provenance
1.5,26.35111111111111,1.0,5.133333333333333,26.35111111111111,7.470139074335728e-05,0.005198635356683061,1.3660522665757169,1.3333333333333333,formula_numerics
1.5145212090157232,25.84822535622003,1.0,5.084115002261458,25.84822535622003,7.470139074335728e-05,0.005148790910688156,1.3399824654807666,1.307887941788836,formula_numerics
1.529182995038965,25.354936695030467,1.0,5.035368575887019,25.354936695030467,7.470139074335728e-05,0.005099424372572161,1.3144101816080773,1.2829281512074786,formula_numerics
1.5439867189684653,24.871061976187224,1.0,4.987089529594113,24.871061976187224,7.470139074335728e-05,0.00505053116016075,1.2893259203172591,1.2584446943592793,formula_numerics
1.5589337548775597,24.39642154360357,1.0,4.939273382148792,24.39642154360357,7.470139074335728e-05,0.0050021067352134215,1.2647203681640524,1.2344284808704789,formula_numerics
1.5740254901417219,23.930839169757363,1.0,4.8919156952831235,23.930839169757363,7.470139074335728e-05,0.004954146603002268,1.240584389442376,1.2108705938484077,formula_numerics
1.5892633255673378,23.47414199026021,1.0,4.8450120732832245,23.47414199026021,7.470139074335728e-05,0.0049066463118947684,1.216909022792362,1.1877622865707644,formula_numerics
1.6046486755217289,23.02616043967524,1.0,4.79855816258126,23.02616043967524,7.470139074335728e-05,0.004859601452940594,1.1936854778731245,1.1650949792380794,formula_numerics
1.6201829680644317,22.58672818855978,1.0,4.752549651351344,22.58672818855978,7.470139074335728e-05,0.004813007659462373,1.1709051320990278,1.1428602557881486,formula_numerics
1.6358676450797505,22.1556820817095,1.0,4.706982269109318,22.1556820817095,7.470139074335728e-05,0.004766860606650382,1.1485595274382374,1.1210498607712684,formula_numerics
1.6517041624105917,21.732862077581128,1.0,4.66185178631637,21.732862077581128,7.470139074335728e-05,0.00472115601116111,1.1266403672723657,1.0996556962850965,formula_numerics
1.6676939899935945,21.318111188871168,1.0,4.617154013986448,21.318111188871168,7.470139074335728e-05,0.004675889630719688,1.1051395133160544,1.0786698189680133,formula_numerics
1.6838386119955693,20.911275424228705,1.0,4.572884803297444,20.911275424228705,7.470139074335728e-05,0.004631057263726122,1.084048982595338,1.0580844370498586,formula_numerics
1.7001395269512578,20.51220373108046,1.0,4.529040045206099,20.51220373108046,7.470139074335728e-05,0.0045866547488653,1.0633609444836736,1.0378919074589539,formula_numerics
1.7165982479024255,20.120747939547083,1.0,4.485615670066606,20.120747939547083,7.470139074335728e-05,0.004542677964720747,1.0430677177945387,1.0180847329843354,formula_numerics
1.7332163025383025,19.736762707429648,1.0,4.442607647252866,19.736762707429648,7.470139074335728e-05,0.004499122829392071,1.0231617679295082,0.9986555594921394,formula_numerics
1.749995233337381,19.36010546624611,1.0,4.400011984784372,19.36010546624611,7.470139074335728e-05,0.004455985300116087,1.003635704080763,0.9795971731951144,formula_numerics
1.7669365977105882,18.990636368297572,1.0,4.357824728955672,18.990636368297572,7.470139074335728e-05,0.004413261372891571,0.9844822764869844,0.9609024979742404,formula_numerics
1.7840419681458457,18.628218234744693,1.0,4.316041963969384,18.628218234744693,7.470139074335728e-05,0.004370947082107604,0.9656943737416122,0.9425645927514602,formula_numerics
1.8013129323540242,18.272716504675124,1.0,4.274659811572744,18.272716504675124,7.470139074335728e-05,0.004329038500175497,0.9472650201524823,0.9245766489125549,formula_numerics
1.8187510934163162,17.923999185142833,1.0,4.233674430697622,17.923999185142833,7.470139074335728e-05,0.004287531737164225,0.9291873731518427,0.9069319877791955,formula_numerics
1.8363580699330317,17.58193680216093,1.0,4.193082017103998,17.58193680216093,7.470139074335728e-05,0.00424642294043937,0.9114547207558041,0.8896240581292424,formula_numerics
1.8541354961738368,17.24640235262973,1.0,4.152878803026851,17.24640235262973,7.470139074335728e-05,0.0042057082943055225,0.89406047907227,0.8726464337643649,formula_numerics
1.8720850222294445,16.917271257182286,1.0,4.113061056826447,16.917271257182286,7.470139074335728e-05,0.004165384019652109,0.8769981898564292,0.8559928111240824,formula_numerics
1.8902083141647767,16.59442131392968,1.0,4.073625082641955,16.59442131392968,7.470139074335728e-05,0.0041254463736026155,0.8602615181128951,0.8396570069453371,formula_numerics
1.9085070541736064,16.27773265308921,1.0,4.034567220048417,16.27773265308921,7.470139074335728e-05,0.004085891649167179,0.8438442497436104,0.8236329559667335,formula_numerics
1.926982940734698,15.967087692478328,1.0,3.995883843716973,15.967087692478328,7.470139074335728e-05,0.004046716174898506,0.827740289240636,0.8079147086765893,formula_numerics
1.9456376887694586,15.662371093858008,1.0,3.9575713630783724,15.662371093858008,7.470139074335728e-05,0.004007916314551091,0.8119436574229739,0.7924964291039638,formula_numerics
1.9644730298011184,15.363469720109181,1.0,3.919626221989691,15.363469720109181,7.470139074335728e-05,0.003969488466743699,0.7964484892165749,0.7773723926518392,formula_numerics
1.983490712115447,15.070272593226528,1.0,3.8820448984042586,15.070272593226528,7.470139074335728e-05,0.003931429064625093,0.7812490314767203,0.7625369839716576,formula_numerics
2.00269250092303,14.782670853113808,1.0,3.8448239040447363,14.782670853113808,7.470139074335728e-05,0.0038937345755429543,0.7663396408519568,0.7479846948784182,formula_numerics
2.0220801785231126,14.50055771716563,1.0,3.8079597840793475,14.50055771716563,7.470139074335728e-05,0.003856401500715992,0.7517147816887967,0.733710122305564,formula_numerics
2.041655544469036,14.223828440620482,1.0,3.7714491168011905,14.223828440620482,7.470139074335728e-05,0.003819426374909177,0.7373690239764031,0.7197079662988942,formula_numerics
2.061420415735266,13.952380277670478,1.0,3.735288513310649,13.952380277670478,7.470139074335728e-05,0.0037828057661121127,0.7232970413305059,0.7059730280487674,formula_numerics
2.0813766268860463,13.686112443313188,1.0,3.6994746172008246,13.686112443313188,7.470139074335728e-05,0.0037465362752204688,0.7094936090157823,0.692500207959851,formula_numerics
2.1015260302456817,13.424926075931596,1.0,3.664004104246009,13.424926075931596,7.470139074335728e-05,0.0037106145357204837,0.6959536020059883,0.6792845037577128,formula_numerics
2.121870496070468,13.168724200588098,1.0,3.628873682093123,13.168724200588098,7.470139074335728e-05,0.0036750372133764844,0.6826719930811045,0.6663210086315446,formula_numerics
2.1424119127222925,12.917411693018993,1.0,3.5940800899561203,12.917411693018993,7.470139074335728e-05,0.0036398010059214008,0.6696438509607959,0.6536049094123288,formula_numerics
2.1631521868439023,12.670895244316245,1.0,3.5596200983133364,12.670895244316245,7.470139074335728e-05,0.003604902642750262,0.6568643384734993,0.6411314847857773,formula_numerics
2.184093243535888,12.429083326283047,1.0,3.5254905086077097,12.429083326283047,7.470139074335728e-05,0.0035703388846166076,0.6443287107604428,0.6288961035393681,formula_numerics
2.205237026535364,12.191886157450703,1.0,3.491688152949903,12.191886157450703,7.470139074335728e-05,0.0035361065233318317,0.6320323135139474,0.616894222842842,formula_numerics
