principal_quantum_number,rabi_frequency_mhz,blockade_limited_spacing_um,rabi_scaling_exponent,generated_data_provenance
10.0,139.79922452902275,0.07627990033507456,1.6031659324143401,formula_numerics
10.25,134.37318979449913,0.08030664880274227,1.6031659324143401,formula_numerics
10.5,129.28102894044798,0.08444121818559654,1.6031659324143401,formula_numerics
10.75,124.49496358170356,0.08868382523877459,1.6031659324143401,formula_numerics
11.0,119.99010121529744,0.09303468203642158,1.6031659324143401,formula_numerics
11.25,115.74407833918642,0.09749399617822287,1.6031659324143401,formula_numerics
11.5,111.73675445678447,0.10206197098237953,1.6031659324143401,formula_numerics
11.75,107.94994878973468,0.10673880566619634,1.6031659324143401,formula_numerics
12.0,104.36721297755918,0.11152469551532664,1.6031659324143401,formula_numerics
12.25,100.97363421545388,0.11641983204261122,1.6031659324143401,formula_numerics
12.5,97.75566423030426,0.12142440313735259,1.6031659324143401,formula_numerics
12.75,94.70097026624214,0.12653859320578237,1.6031659324143401,formula_numerics
13.0,91.79830488072689,0.131762583303406,1.6031659324143401,formula_numerics
13.25,89.03739186837791,0.1370965512598432,1.6031659324143401,formula_numerics
13.5,86.40882605474923,0.14254067179672456,1.6031659324143401,formula_numerics
13.75,83.90398505342006,0.14809511663915345,1.6031659324143401,formula_numerics
14.0,81.51495137106937,0.15376005462119638,1.6031659324143401,formula_numerics
14.25,79.23444348768736,0.1595356517858235,1.6031659324143401,formula_numerics
14.5,77.05575474162622,0.165422071479684,1.6031659324143401,formula_numerics
14.75,74.97269901894997,0.1714194744430699,1.6031659324143401,formula_numerics
15.0,72.97956238926675,0.17752801889538913,1.6031659324143401,formula_numerics
15.25,71.07105995059926,0.18374786061644494,1.6031659324143401,formula_numerics
15.5,69.24229724766752,0.1900791530237931,1.6031659324143401,formula_numerics
15.75,67.48873571433379,0.1965220472464269,1.6031659324143401,formula_numerics
16.0,65.80616166443622,0.20307669219502011,1.6031659324143401,formula_numerics
16.25,64.19065841791168,0.20974323462894093,1.6031659324143401,formula_numerics
16.5,62.638581202703925,0.2165218192202326,1.6031659324143401,formula_numerics
16.75,61.146534518904815,0.22341258861474256,1.6031659324143401,formula_numerics
17.0,59.7113516910648,0.2304156834905684,1.6031659324143401,formula_numerics
17.25,58.33007636862953,0.2375312426139763,1.6031659324143401,formula_numerics
17.5,56.999945763830354,0.2447594028929357,1.6031659324143401,formula_numerics
17.75,55.718375441774064,0.2521002994284067,1.6031659324143401,formula_numerics
18.0,54.482945499518316,0.2595540655635031,1.6031659324143401,formula_numerics
18.25,53.29138799007319,0.26712083293064875,1.6031659324143401,formula_numerics
18.5,52.14157546394813,0.27480073149683515,1.6031659324143401,formula_numerics
18.75,51.031510515415114,0.2825938896070819,1.6031659324143401,formula_numerics
19.0,49.9593162333799,0.2905004340261946,1.6031659324143401,formula_numerics
19.25,48.92322746789329,0.2985204899789074,1.6031659324143401,formula_numerics
19.5,47.921582833108786,0.3066541811884957,1.6031659324143401,formula_numerics
19.75,46.95281737608385,0.314901629913933,1.6031659324143401,formula_numerics
20.0,46.01545584838528,0.323262956985667,1.6031659324143401,formula_numerics
20.25,45.10810652412961,0.3317382818400825,1.6031659324143401,formula_numerics
20.5,44.22945551398112,0.3403277225527141,1.6031659324143401,formula_numerics
20.75,43.37826152984323,0.3490313958702698,1.6031659324143401,formula_numerics
21.0,42.553351059597524,0.357849417241522,1.6031659324143401,formula_numerics
21.25,41.75361391534425,0.3667819008471187,1.6031659324143401,formula_numerics
21.5,40.97799912224062,0.3758289596283644,1.6031659324143401,formula_numerics
21.75,40.22551111827586,0.3849907053150196,1.6031659324143401,formula_numerics
22.0,39.49520623821157,0.3942672484521615,1.6031659324143401,formula_numerics
22.25,38.786189457494565,0.4036586984261494,1.6031659324143401,formula_numerics
22.5,38.09761137425467,0.41316516348973326,1.6031659324143401,formula_numerics
22.75,37.42866540956177,0.4227867507863445,1.6031659324143401,formula_numerics
23.0,36.77858520796456,0.43252356637360173,1.6031659324143401,formula_numerics
23.25,36.14664222199051,0.44237571524606933,1.6031659324143401,formula_numerics
23.5,35.53214346577614,0.4523433013572955,1.6031659324143401,formula_numerics
23.75,34.934429424334766,0.46242642764116365,1.6031659324143401,formula_numerics
24.0,34.35287210617454,0.4726251960325848,1.6031659324143401,formula_numerics
24.25,33.786873228066,0.48293970748755677,1.6031659324143401,formula_numerics
24.5,33.23586252173829,0.49337006200261735,1.6031659324143401,formula_numerics
24.75,32.699296153169,0.503916358633715,1.6031659324143401,formula_numerics
25.0,32.17665524593298,0.5145786955145204,1.6031659324143401,formula_numerics
25.25,31.667444500800297,0.5253571698742014,1.6031659324143401,formula_numerics
25.5,31.171190904430507,0.5362518780546811,1.6031659324143401,formula_numerics
25.75,30.68744252060557,0.5472629155274008,1.6031659324143401,formula_numerics
26.0,30.215767357985264,0.5583903769096038,1.6031659324143401,formula_numerics
26.25,29.755752308859805,0.5696343559801634,1.6031659324143401,formula_numerics
26.5,29.307002153822047,0.580994945694965,1.6031659324143401,formula_numerics
26.75,28.86913862768847,0.5924722382018656,1.6031659324143401,formula_numerics
27.0,28.441799542369115,0.6040663248552421,1.6031659324143401,formula_numerics
27.25,28.024637962725354,0.6157772962301454,1.6031659324143401,formula_numerics
27.5,27.61732143176301,0.627605242136073,1.6031659324143401,formula_numerics
27.75,27.219531241790815,0.6395502516303755,1.6031659324143401,formula_numerics
28.0,26.830961748432355,0.651612413031308,1.6031659324143401,formula_numerics
28.25,26.45131972461588,0.6637918139307415,1.6031659324143401,formula_numerics
28.5,26.08032375188271,0.6760885412065424,1.6031659324143401,formula_numerics
28.75,25.71770364655364,0.6885026810346364,1.6031659324143401,formula_numerics
29.0,25.363199918474486,0.7010343189007622,1.6031659324143401,formula_numerics
29.25,25.01656326022916,0.7136835396119309,1.6031659324143401,formula_numerics
29.5,24.677554064862214,0.726450427307596,1.6031659324143401,formula_numerics
29.75,24.34594197029402,0.7393350654705476,1.6031659324143401,formula_numerics
30.0,24.02150542874158,0.7523375369375377,1.6031659324143401,formula_numerics
30.25,23.7040312995777,0.7654579239096465,1.6031659324143401,formula_numerics
30.5,23.393314464171475,0.778696307962397,1.6031659324143401,formula_numerics
30.75,23.089157461354674,0.7920527700556271,1.6031659324143401,formula_numerics
31.0,22.791370142252443,0.8055273905431274,1.6031659324143401,formula_numerics
31.25,22.49976934330331,0.8191202491820485,1.6031659324143401,formula_numerics
31.5,22.214178576373662,0.8328314251420924,1.6031659324143401,formula_numerics
