phase_flip_probability,symmetric_infidelity,first_order_ssb_infidelity,first_order_slope,product_state_phase_flip_fidelity,symmetric_state_phase_flip_fidelity,single_qubit_gate_count,generated_data_provenance
0.002,0.0,0.0,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,5e-05,4.9444444444444446e-05,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0001,9.888888888888889e-05,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00015000000000000001,0.00014833333333333335,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0002,0.00019777777777777778,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00025,0.00024722222222222224,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00030000000000000003,0.0002966666666666667,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00035,0.0003461111111111111,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0004,0.00039555555555555557,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00045000000000000004,0.0004450000000000001,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0005,0.0004944444444444445,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00055,0.0005438888888888889,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0006000000000000001,0.0005933333333333334,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0006500000000000001,0.0006427777777777779,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0007,0.0006922222222222222,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.00075,0.0007416666666666667,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
0.002,0.0008,0.0007911111111111111,0.9888888888888889,0.9973354666666666,0.9966706666666667,10,formula_numerics
