normalized_frequency,haar_frequency_response,symmetric_haar_frequency_response,haar_intensity_response,symmetric_haar_intensity_response,generated_data_provenance
0.0,115.54324516596891,121.34155916082409,1.1001108950400547,1.1672092303649575,analytic_reference
0.005,115.48299176383843,121.29769896485975,1.1004935115046348,1.1672001389386568,analytic_reference
0.01,115.40767919932868,121.23551535409045,1.1008986663759197,1.1671979884238417,analytic_reference
0.015,115.3174035270324,121.15508322213745,1.1013272832929313,1.1672030615789768,analytic_reference
0.02,115.21226903101345,121.05648758100453,1.1017802916238884,1.1672156250217924,analytic_reference
0.025,115.09238819728274,120.93982353591527,1.1022586226022,1.1672359255137903,analytic_reference
0.03,114.95788168075609,120.80519625270709,1.1027632049939795,1.1672641859399295,analytic_reference
0.035,114.8088782667073,120.65272091781281,1.1032949602733992,1.1673006009837885,analytic_reference
0.04,114.64551482673414,120.48252269086697,1.1038547972844657,1.1673453325025862,analytic_reference
0.045,114.46793626925847,120.29473664998211,1.1044436063707326,1.16739850461111,analytic_reference
0.05,114.27629548458701,120.08950772974754,1.1050622529581875,1.1674601984888164,analytic_reference
0.055,114.070753284562,119.86699065200852,1.105711570581092,1.1675304469301875,analytic_reference
0.06,113.85147833683645,119.62734984949296,1.1063923533459954,1.167609228664718,analytic_reference
0.065,113.61864709381118,119.37075938235711,1.1071053478355222,1.167696462479713,analytic_reference
0.07,113.372443716276,119.09740284773005,1.1078512444608932,1.1677920011862333,analytic_reference
0.075,113.11305999180026,118.80747328234237,1.1086306682804972,1.1678956254759791,analytic_reference
0.08,112.84069524792251,118.50117305833052,1.109444169311167,1.1680070377244944,analytic_reference
0.085,112.55555626019196,118.17871377231562,1.1102922123691237,1.1681258558036494,analytic_reference
0.09,112.25785715511834,117.84031612785967,1.1111751664887397,1.1682516069737192,analytic_reference
0.095,111.94781930809032,117.48620981140954,1.1120932939792572,1.168383721932323,analytic_reference
0.1,111.62567123632627,117.11663336184387,1.1130467391922505,1.1685215291037494,analytic_reference
0.105,111.29164848692321,116.73183403374323,1.1140355170857028,1.1686642492575716,analytic_reference
0.11,110.94599352007519,116.33206765450974,1.1150595016839477,1.168810990549588,analytic_reference
0.115,110.5889555875328,115.91759847546717,1.1161184145460028,1.1689607440808765,analytic_reference
0.12,110.22079060638146,115.48869901707647,1.117211813367802,1.169112380071701,analytic_reference
0.125,109.84176102821597,115.04564990840774,1.1183390808560434,1.1692646447460726,analytic_reference
0.13,109.4521357037946,114.58873972101296,1.119499414022489,1.169416158019613,analytic_reference
0.135,109.05218974325626,114.11826479734798,1.120691814057099,1.1695654120779015,analytic_reference
0.14,108.64220437198871,113.63452907389681,1.1219150769459385,1.1697107709245642,analytic_reference
0.145,108.222466782237,113.13784389915428,1.1231677850048842,1.1698504709679864,analytic_reference
0.15,107.79326998054474,112.62852784662691,1.1244482995023595,1.169982622702674,analytic_reference
0.155,107.35491263112245,112.10690652301511,1.1257547545432092,1.1701052135261871,analytic_reference
0.16,106.90769889523983,111.57331237174279,1.1270850523810276,1.1702161117153371,analytic_reference
0.165,106.45193826674073,111.02808447200253,1.1284368603175043,1.170313071566379,analytic_reference
0.17,105.9879454037816,110.47156833348879,1.1298076093344123,1.170393739683622,analytic_reference
0.17500000000000002,105.51603995689634,109.90411568699122,1.131194494586692,1.1704556623796867,analytic_reference
0.18,105.0365463934921,109.32608427102492,1.1325944778636627,1.1704962941291728,analytic_reference
0.185,104.54979381888228,108.7378376146744,1.1340042920999702,1.1705130069963123,analytic_reference
0.19,104.05611579396465,108.13974481683043,1.1354204479887415,1.1705031009369382,analytic_reference
0.195,103.55585014965433,107.53218032199973,1.1368392427170666,1.1704638148564102,analytic_reference
0.2,103.04933879818198,106.91552369286974,1.1382567708090179,1.1703923382886297,analytic_reference
0.20500000000000002,102.53692754137035,106.2901593798098,1.1396689370247288,1.170285823547478,analytic_reference
0.21,102.01896587600166,105.6564764874921,1.1410714712264458,1.1701413981914153,analytic_reference
0.215,101.4958067963914,105.01486853881629,1.1424599450849915,1.1699561776349465,analytic_reference
