t_over_T,g_plus,g_minus,r_plus,r_minus,concurrence,trace_error,minimum_eigenvalue,max_mode_residual
0.0,0.5,0.0,0.5,0.0,0.0,0.0,-1.582501385132391e-16,0.0
0.025,0.4999596311841541,4.036881584587593e-05,0.4999596181787146,4.038182128543455e-05,9.962383914489053e-05,0.0,3.95040031709503e-14,0.00968301332168391
0.05,0.4998723025796873,0.00012769742031271125,0.4998714766600146,0.0001285233399854202,0.001054969428818144,0.0,1.2502120323195624e-12,0.01726412165466643
0.07500000000000001,0.4990652696647723,0.0009347303352276737,0.49905600738194034,0.0009439926180596636,0.002824327655833699,0.0,4.923601200768633e-10,0.047006212893387425
0.1,0.499947238106636,5.276189336400616e-05,0.49989590861608035,0.00010409138391967443,0.01002684872504041,0.0,8.811415386260559e-14,0.01094914282300176
0.125,0.49884183313587394,0.0011581668641260923,0.49865119671909963,0.0013488032809003958,0.017342409964567446,0.0,9.3763401551423e-10,0.05224575182537746
0.15000000000000002,0.4999159479675519,8.405203244812864e-05,0.4993597232566311,0.0006402767433689172,0.033184306220988086,0.0,3.56478020736935e-13,0.013907906505654096
0.17500000000000002,0.4983701847185733,0.001629815281426722,0.4970210973592398,0.0029789026407602004,0.04875672401182614,0.0,2.6192873574211186e-09,0.06180728066842111
0.2,0.49986120703404524,0.00013879296595473156,0.49695038800131974,0.0030496119986802572,0.07601694288084054,0.0,1.6053215285373268e-12,0.01704188061259476
0.225,0.49909549548396814,0.0009045045160318288,0.4934654734353642,0.006534526564635851,0.10427087640416499,0.0,4.4605552564064164e-10,0.04571656368137878
0.25,0.4995665202422722,0.00043347975772781155,0.489471462155064,0.010528537844936015,0.1411930227477857,0.0,4.897998194835386e-11,0.031128131060329037
0.275,0.49931677769118793,0.0006832223088120704,0.4824363909787576,0.017563609021242377,0.182306752638858,0.0,1.9202238955767155e-10,0.039344537818424924
0.30000000000000004,0.49922030419529967,0.0007796958047003311,0.47254018660467423,0.02745981339532577,0.229334483313815,0.0,2.8553238798030923e-10,0.042146955774138226
