mode,frequency_over_com,closure_residual_abs
1,0.9999999999999971,3.3497901103251175e-15
2,1.7320508075688752,4.623282480531262e-15
3,2.4168423481991836,1.8619006149354546e-15
4,3.0671821118581644,7.502224783007543e-15
5,3.6914404150743403,1.0640924456569287e-14
6,4.295508978559686,4.133624374154424e-15
7,4.8834694071613365,8.252325904466731e-15
8,5.458191822187297,1.967320211922957e-15
9,6.0217624569023,6.795299577401158e-15
10,6.575751632831298,8.718078878130083e-15
