waist_um,stark_shift_MHz,peak_intensity_W_m2,beam_power_mW,power_over_w0_four
0.7,12.775895765045195,45429041582.99767,34.96628810770882,1.4563218703752113e+23
1.0,26.073256663357547,92712329761.21976,145.63218703752116,1.456321870375212e+23
1.5,58.664827492554494,208602741962.7445,737.2629468774512,1.456321870375212e+23
